UTC,Open,High,Low,Close,Volume
10.08.2023 00:00:00.000 UTC,84.203,84.288,84.098,84.273,0.074961
10.08.2023 01:00:00.000 UTC,84.278,84.323,84.123,84.178,0.142601
10.08.2023 02:00:00.000 UTC,84.173,84.293,84.133,84.223,0.108824
10.08.2023 03:00:00.000 UTC,84.228,84.293,84.208,84.253,0.069189
10.08.2023 04:00:00.000 UTC,84.258,84.383,84.253,84.333,0.061226
10.08.2023 05:00:00.000 UTC,84.328,84.647,84.293,84.623,0.149278
10.08.2023 06:00:00.000 UTC,84.618,84.683,84.308,84.353,0.226469
10.08.2023 07:00:00.000 UTC,84.333,84.873,84.323,84.513,0.344551
10.08.2023 08:00:00.000 UTC,84.503,84.733,84.288,84.563,0.443063
10.08.2023 09:00:00.000 UTC,84.567,84.673,84.077,84.148,0.279132
10.08.2023 10:00:00.000 UTC,84.143,84.243,83.963,84.028,0.276816
10.08.2023 11:00:00.000 UTC,84.033,84.133,83.838,83.853,0.268748
10.08.2023 12:00:00.000 UTC,83.833,84.223,83.652,83.963,0.703143
10.08.2023 13:00:00.000 UTC,83.973,84.118,83.433,83.913,1.096326
10.08.2023 14:00:00.000 UTC,83.923,84.133,83.463,83.483,0.821381
10.08.2023 15:00:00.000 UTC,83.488,83.823,83.203,83.583,0.781131
10.08.2023 16:00:00.000 UTC,83.593,83.683,83.063,83.118,0.577042
10.08.2023 17:00:00.000 UTC,83.113,83.258,82.653,82.743,0.604857
10.08.2023 18:00:00.000 UTC,82.748,83.083,82.593,83.003,0.681757
10.08.2023 19:00:00.000 UTC,82.993,83.003,82.678,82.853,0.180996
10.08.2023 20:00:00.000 UTC,82.847,82.877,82.757,82.837,0.011632
10.08.2023 22:00:00.000 UTC,82.853,82.903,82.823,82.858,0.028404
10.08.2023 23:00:00.000 UTC,82.853,82.883,82.812,82.878,0.032886
11.08.2023 00:00:00.000 UTC,82.873,82.983,82.833,82.963,0.060193
11.08.2023 01:00:00.000 UTC,82.953,83.133,82.938,83.033,0.197568
