UTC,Open,High,Low,Close,Volume
09.05.2018 00:00:00.000 UTC,70.175,70.325,70.115,70.245,0.103986
09.05.2018 01:00:00.000 UTC,70.25,70.685,70.21,70.565,0.22714
09.05.2018 02:00:00.000 UTC,70.56,70.615,70.51,70.585,0.085394
09.05.2018 03:00:00.000 UTC,70.58,70.66,70.52,70.61,0.077398
09.05.2018 04:00:00.000 UTC,70.615,70.635,70.57,70.59,0.04466
09.05.2018 05:00:00.000 UTC,70.59,70.63,70.52,70.565,0.089986
09.05.2018 06:00:00.000 UTC,70.56,70.595,70.435,70.575,0.143088
09.05.2018 07:00:00.000 UTC,70.575,71.135,70.52,70.905,0.33182
09.05.2018 08:00:00.000 UTC,70.915,71.12,70.83,71.105,0.325598
09.05.2018 09:00:00.000 UTC,71.1,71.13,70.87,70.99,0.225011
09.05.2018 10:00:00.000 UTC,70.995,71.035,70.715,70.815,0.24407
09.05.2018 11:00:00.000 UTC,70.81,71.04,70.805,70.965,0.252478
09.05.2018 12:00:00.000 UTC,70.96,71,70.645,70.79,0.355894
09.05.2018 13:00:00.000 UTC,70.795,70.89,70.585,70.88,0.408844
09.05.2018 14:00:00.000 UTC,70.88,71.26,70.64,70.765,0.923437
09.05.2018 15:00:00.000 UTC,70.78,71.115,70.78,70.955,0.57213
09.05.2018 16:00:00.000 UTC,70.955,71.33,70.955,71.055,0.38431
09.05.2018 17:00:00.000 UTC,71.06,71.285,71.06,71.13,0.336139
09.05.2018 18:00:00.000 UTC,71.125,71.23,70.905,71.14,0.403866
09.05.2018 19:00:00.000 UTC,71.135,71.16,71.085,71.145,0.083642
09.05.2018 20:00:00.000 UTC,71.145,71.295,71.135,71.225,0.080003
09.05.2018 22:00:00.000 UTC,71.21,71.27,71.165,71.215,0.080875
09.05.2018 23:00:00.000 UTC,71.22,71.47,71.195,71.4,0.071558
10.05.2018 00:00:00.000 UTC,71.395,71.52,71.365,71.475,0.089126
10.05.2018 01:00:00.000 UTC,71.48,71.715,71.48,71.62,0.124579
10.05.2018 02:00:00.000 UTC,71.625,71.71,71.625,71.645,0.048511
10.05.2018 03:00:00.000 UTC,71.645,71.71,71.64,71.705,0.046655
10.05.2018 04:00:00.000 UTC,71.71,71.72,71.645,71.7,0.038592
10.05.2018 05:00:00.000 UTC,71.695,71.695,71.575,71.615,0.053638
10.05.2018 06:00:00.000 UTC,71.61,71.85,71.565,71.755,0.127126
10.05.2018 07:00:00.000 UTC,71.75,71.755,71.51,71.635,0.21952
10.05.2018 08:00:00.000 UTC,71.63,71.755,71.495,71.615,0.232835
10.05.2018 09:00:00.000 UTC,71.61,71.665,71.445,71.615,0.193523
10.05.2018 10:00:00.000 UTC,71.62,71.68,71.435,71.46,0.170463
10.05.2018 11:00:00.000 UTC,71.455,71.59,71.43,71.54,0.196606
10.05.2018 12:00:00.000 UTC,71.53,71.63,71.325,71.365,0.257285
10.05.2018 13:00:00.000 UTC,71.36,71.41,70.79,70.79,0.540404
10.05.2018 14:00:00.000 UTC,70.795,71.21,70.535,70.845,0.59231
10.05.2018 15:00:00.000 UTC,70.85,71.185,70.81,71.07,0.398653
10.05.2018 16:00:00.000 UTC,71.065,71.13,70.745,70.88,0.269747
