UTC,Open,High,Low,Close,Volume
14.12.2023 00:00:00.000 UTC,69.888,69.903,69.813,69.883,0.038309
14.12.2023 01:00:00.000 UTC,69.866,70.078,69.863,69.878,0.143623
14.12.2023 02:00:00.000 UTC,69.873,69.873,69.583,69.688,0.107327
14.12.2023 03:00:00.000 UTC,69.683,69.703,69.533,69.543,0.071592
14.12.2023 04:00:00.000 UTC,69.533,69.693,69.523,69.693,0.028356
14.12.2023 05:00:00.000 UTC,69.688,69.793,69.563,69.773,0.056673
14.12.2023 06:00:00.000 UTC,69.778,69.793,69.683,69.768,0.089412
14.12.2023 07:00:00.000 UTC,69.773,69.873,69.753,69.808,0.103647
14.12.2023 08:00:00.000 UTC,69.813,70.443,69.753,70.248,0.377022
14.12.2023 09:00:00.000 UTC,70.253,70.793,70.208,70.708,0.284722
14.12.2023 10:00:00.000 UTC,70.713,70.893,70.583,70.818,0.221974
14.12.2023 11:00:00.000 UTC,70.813,70.923,70.513,70.593,0.18864
14.12.2023 12:00:00.000 UTC,70.603,70.953,70.503,70.933,0.235553
14.12.2023 13:00:00.000 UTC,70.923,71.468,70.793,71.458,0.524621
14.12.2023 14:00:00.000 UTC,71.463,71.973,71.443,71.903,0.765138
14.12.2023 15:00:00.000 UTC,71.908,72.113,71.723,71.853,0.694213
14.12.2023 16:00:00.000 UTC,71.858,72.283,71.763,72.063,0.650368
14.12.2023 17:00:00.000 UTC,72.073,72.424,72.023,72.293,0.49638
14.12.2023 18:00:00.000 UTC,72.298,72.353,72.093,72.273,0.42191
14.12.2023 19:00:00.000 UTC,72.263,72.273,71.413,71.503,0.711707
14.12.2023 20:00:00.000 UTC,71.513,71.718,71.458,71.718,0.117724
14.12.2023 21:00:00.000 UTC,71.695,71.695,71.53,71.585,0.127343
14.12.2023 23:00:00.000 UTC,71.923,71.998,71.853,71.873,0.029204
15.12.2023 00:00:00.000 UTC,71.883,71.938,71.843,71.938,0.03261
15.12.2023 01:00:00.000 UTC,71.933,72.138,71.933,72.043,0.118561
15.12.2023 02:00:00.000 UTC,72.038,72.268,72.038,72.263,0.077186
15.12.2023 03:00:00.000 UTC,72.258,72.358,72.208,72.298,0.066334
15.12.2023 04:00:00.000 UTC,72.303,72.303,72.163,72.203,0.041953
15.12.2023 05:00:00.000 UTC,72.198,72.198,72.023,72.053,0.085728
15.12.2023 06:00:00.000 UTC,72.048,72.128,71.903,72.108,0.119923
15.12.2023 07:00:00.000 UTC,72.113,72.163,71.903,71.953,0.126769
15.12.2023 08:00:00.000 UTC,71.943,72.313,71.773,72.268,0.420511
15.12.2023 09:00:00.000 UTC,72.273,72.393,72.013,72.073,0.349059
15.12.2023 10:00:00.000 UTC,72.083,72.373,71.943,72.313,0.216196
15.12.2023 11:00:00.000 UTC,72.323,72.323,72.088,72.143,0.206466
15.12.2023 12:00:00.000 UTC,72.147,72.528,72.113,72.453,0.186606
15.12.2023 13:00:00.000 UTC,72.463,72.523,71.763,72.298,0.644034
15.12.2023 14:00:00.000 UTC,72.293,72.313,71.313,71.468,1.289697
15.12.2023 15:00:00.000 UTC,71.463,71.643,70.623,71.503,1.204359
15.12.2023 16:00:00.000 UTC,71.498,71.978,71.403,71.883,0.792765
15.12.2023 17:00:00.000 UTC,71.873,72.183,71.703,72.168,0.515976
15.12.2023 18:00:00.000 UTC,72.163,72.168,71.703,71.963,0.542607
15.12.2023 19:00:00.000 UTC,71.968,72.037,71.677,71.803,0.523339
15.12.2023 20:00:00.000 UTC,71.793,72.013,71.713,71.973,0.15029
15.12.2023 21:00:00.000 UTC,71.955,72.09,71.89,72.055,0.449137
17.12.2023 23:00:00.000 UTC,72.058,72.503,72.038,72.493,0.072336
18.12.2023 00:00:00.000 UTC,72.488,72.618,72.208,72.218,0.081282
18.12.2023 01:00:00.000 UTC,72.213,72.293,71.933,72.063,0.199644
18.12.2023 02:00:00.000 UTC,72.073,72.193,72.043,72.053,0.09386
18.12.2023 03:00:00.000 UTC,72.063,72.133,71.997,72.073,0.064988
18.12.2023 04:00:00.000 UTC,72.083,72.123,72.063,72.107,0.033484
18.12.2023 05:00:00.000 UTC,72.113,72.283,72.038,72.253,0.084523
18.12.2023 06:00:00.000 UTC,72.243,72.573,72.203,72.548,0.114311
18.12.2023 07:00:00.000 UTC,72.543,72.543,72.153,72.198,0.144877
18.12.2023 08:00:00.000 UTC,72.193,72.393,72.093,72.223,0.331508
18.12.2023 09:00:00.000 UTC,72.213,72.223,71.308,71.433,0.455088
18.12.2023 10:00:00.000 UTC,71.413,71.423,70.963,71.313,0.443491
18.12.2023 11:00:00.000 UTC,71.308,72.498,71.173,72.458,0.750686
18.12.2023 12:00:00.000 UTC,72.453,72.643,72.098,72.573,0.43019
18.12.2023 13:00:00.000 UTC,72.563,73.658,72.513,73.583,0.869456
18.12.2023 14:00:00.000 UTC,73.588,74.493,73.573,74.443,0.949054
18.12.2023 15:00:00.000 UTC,74.453,74.593,73.503,73.798,0.972829
18.12.2023 16:00:00.000 UTC,73.788,74.067,73.407,73.653,0.813506
18.12.2023 17:00:00.000 UTC,73.648,73.833,73.487,73.663,0.462706
18.12.2023 18:00:00.000 UTC,73.668,73.668,72.983,73.023,0.596936
18.12.2023 19:00:00.000 UTC,73.013,73.098,72.408,72.898,0.804329
18.12.2023 20:00:00.000 UTC,72.903,73.028,72.873,72.993,0.146279
18.12.2023 21:00:00.000 UTC,72.97,72.99,72.82,72.845,0.39731
18.12.2023 23:00:00.000 UTC,72.898,72.908,72.723,72.757,0.034468
19.12.2023 00:00:00.000 UTC,72.753,72.933,72.703,72.923,0.03663
19.12.2023 01:00:00.000 UTC,72.928,73.053,72.768,72.893,0.187152
19.12.2023 02:00:00.000 UTC,72.898,72.903,72.693,72.783,0.11407
19.12.2023 03:00:00.000 UTC,72.788,72.813,72.697,72.728,0.053089
19.12.2023 04:00:00.000 UTC,72.733,72.833,72.708,72.788,0.042865
19.12.2023 05:00:00.000 UTC,72.783,72.863,72.653,72.693,0.086353
19.12.2023 06:00:00.000 UTC,72.698,72.803,72.683,72.728,0.110626
19.12.2023 07:00:00.000 UTC,72.733,72.793,72.573,72.593,0.166214
19.12.2023 08:00:00.000 UTC,72.588,72.778,72.123,72.553,0.511528
19.12.2023 09:00:00.000 UTC,72.598,72.823,72.343,72.488,0.382484
19.12.2023 10:00:00.000 UTC,72.483,72.893,72.433,72.873,0.28998
19.12.2023 11:00:00.000 UTC,72.878,72.933,72.658,72.803,0.207388
19.12.2023 12:00:00.000 UTC,72.793,72.798,72.443,72.503,0.264895
19.12.2023 13:00:00.000 UTC,72.493,72.923,72.473,72.818,0.502742
19.12.2023 14:00:00.000 UTC,72.823,73.753,72.803,73.653,0.835935
19.12.2023 15:00:00.000 UTC,73.658,74.053,73.253,74.023,0.837313
19.12.2023 16:00:00.000 UTC,74.013,74.383,73.758,74.163,0.674477
19.12.2023 17:00:00.000 UTC,74.168,74.373,73.768,74.123,0.480261
19.12.2023 18:00:00.000 UTC,74.108,74.123,73.663,73.928,0.361831
19.12.2023 19:00:00.000 UTC,73.933,74.153,73.613,74.133,0.426998
19.12.2023 20:00:00.000 UTC,74.123,74.383,74.083,74.333,0.172587
19.12.2023 21:00:00.000 UTC,74.31,74.32,73.995,74.13,0.561495
19.12.2023 23:00:00.000 UTC,74.083,74.128,73.923,74.098,0.046642
20.12.2023 00:00:00.000 UTC,74.108,74.123,73.983,74.018,0.0293
20.12.2023 01:00:00.000 UTC,74.013,74.113,73.988,74.103,0.101254
20.12.2023 02:00:00.000 UTC,74.098,74.098,73.923,74.053,0.087164
20.12.2023 03:00:00.000 UTC,74.043,74.058,73.873,73.903,0.060173
20.12.2023 04:00:00.000 UTC,73.908,73.943,73.843,73.873,0.044008
20.12.2023 05:00:00.000 UTC,73.867,74.053,73.867,74.038,0.07387
20.12.2023 06:00:00.000 UTC,74.043,74.083,74.003,74.073,0.069181
20.12.2023 07:00:00.000 UTC,74.063,74.263,74.002,74.183,0.149615
20.12.2023 08:00:00.000 UTC,74.188,74.853,74.173,74.613,0.374393
20.12.2023 09:00:00.000 UTC,74.623,74.643,74.368,74.618,0.271759
20.12.2023 10:00:00.000 UTC,74.628,75.013,74.608,74.843,0.301129
20.12.2023 11:00:00.000 UTC,74.833,75.003,74.753,74.903,0.220092
20.12.2023 12:00:00.000 UTC,74.913,74.983,74.843,74.883,0.197343
20.12.2023 13:00:00.000 UTC,74.873,75.053,74.513,74.973,0.482612
20.12.2023 14:00:00.000 UTC,74.983,75.353,74.823,75.083,0.812564
20.12.2023 15:00:00.000 UTC,75.093,75.143,74.383,74.583,0.875231
20.12.2023 16:00:00.000 UTC,74.573,75.198,74.553,74.623,0.769855
20.12.2023 17:00:00.000 UTC,74.613,74.773,73.813,73.828,0.648616
20.12.2023 18:00:00.000 UTC,73.823,74.083,73.593,73.833,0.615635
20.12.2023 19:00:00.000 UTC,73.828,74.358,73.782,73.883,0.521631
20.12.2023 20:00:00.000 UTC,73.873,74.053,73.723,73.738,0.278772
20.12.2023 21:00:00.000 UTC,73.733,73.81,73.7,73.765,0.423759
20.12.2023 23:00:00.000 UTC,73.748,73.748,73.493,73.608,0.056113
21.12.2023 00:00:00.000 UTC,73.603,73.653,73.503,73.653,0.041949
21.12.2023 01:00:00.000 UTC,73.648,73.783,73.573,73.768,0.202422
21.12.2023 02:00:00.000 UTC,73.763,73.918,73.743,73.913,0.100692
21.12.2023 03:00:00.000 UTC,73.918,74.033,73.833,73.863,0.098904
21.12.2023 04:00:00.000 UTC,73.858,73.883,73.743,73.773,0.068787
21.12.2023 05:00:00.000 UTC,73.768,74.183,73.733,74.138,0.119274
21.12.2023 06:00:00.000 UTC,74.148,74.183,74.023,74.158,0.11743
21.12.2023 07:00:00.000 UTC,74.153,74.223,74.047,74.163,0.124407
21.12.2023 08:00:00.000 UTC,74.173,74.563,74.163,74.528,0.372103
21.12.2023 09:00:00.000 UTC,74.533,74.553,74.208,74.463,0.247849
21.12.2023 10:00:00.000 UTC,74.458,74.483,73.843,73.928,0.293923
21.12.2023 11:00:00.000 UTC,73.933,74.093,73.782,73.913,0.226648
21.12.2023 12:00:00.000 UTC,73.903,74.053,72.953,73.373,0.52041
21.12.2023 13:00:00.000 UTC,73.363,73.453,72.452,72.973,1.057684
21.12.2023 14:00:00.000 UTC,72.978,73.878,72.813,73.433,1.038302
21.12.2023 15:00:00.000 UTC,73.428,73.863,73.393,73.653,0.857987
21.12.2023 16:00:00.000 UTC,73.658,73.963,73.238,73.263,0.743796
21.12.2023 17:00:00.000 UTC,73.253,73.473,73.013,73.393,0.644105
21.12.2023 18:00:00.000 UTC,73.403,73.723,73.323,73.553,0.439937
21.12.2023 19:00:00.000 UTC,73.548,73.963,73.448,73.773,0.482562
21.12.2023 20:00:00.000 UTC,73.763,74.008,73.663,73.983,0.124447
21.12.2023 21:00:00.000 UTC,73.96,73.99,73.885,73.89,0.337635
21.12.2023 23:00:00.000 UTC,73.883,73.898,73.783,73.818,0.035987
22.12.2023 00:00:00.000 UTC,73.813,73.913,73.813,73.873,0.029991
22.12.2023 01:00:00.000 UTC,73.868,74.403,73.868,74.393,0.176036
22.12.2023 02:00:00.000 UTC,74.388,74.533,74.303,74.513,0.100762
22.12.2023 03:00:00.000 UTC,74.508,74.733,74.483,74.603,0.107845
22.12.2023 04:00:00.000 UTC,74.608,74.713,74.353,74.478,0.176505
22.12.2023 05:00:00.000 UTC,74.483,74.503,74.283,74.303,0.118055
22.12.2023 06:00:00.000 UTC,74.308,74.553,74.293,74.543,0.11621
22.12.2023 07:00:00.000 UTC,74.538,74.613,74.383,74.548,0.129942
22.12.2023 08:00:00.000 UTC,74.553,74.753,74.443,74.728,0.281831
22.12.2023 09:00:00.000 UTC,74.733,74.863,74.453,74.483,0.309229
22.12.2023 10:00:00.000 UTC,74.493,74.698,74.378,74.548,0.244001
22.12.2023 11:00:00.000 UTC,74.563,74.748,74.398,74.473,0.207551
22.12.2023 12:00:00.000 UTC,74.478,74.553,74.022,74.398,0.445027
22.12.2023 13:00:00.000 UTC,74.403,74.838,74.313,74.673,0.47567
22.12.2023 14:00:00.000 UTC,74.683,74.933,74.423,74.713,0.757319
22.12.2023 15:00:00.000 UTC,74.723,74.963,73.723,73.733,0.739146
22.12.2023 16:00:00.000 UTC,73.737,74.163,73.373,73.863,0.873565
22.12.2023 17:00:00.000 UTC,73.883,74.008,73.678,73.903,0.550779
22.12.2023 18:00:00.000 UTC,73.908,74.028,73.723,73.917,0.37548
22.12.2023 19:00:00.000 UTC,73.922,74.033,73.467,73.633,0.632728
22.12.2023 20:00:00.000 UTC,73.638,73.708,73.473,73.562,0.084476
22.12.2023 21:00:00.000 UTC,73.558,73.585,73.39,73.4,0.324604
25.12.2023 23:00:00.000 UTC,73.503,73.913,73.423,73.768,0.094266
26.12.2023 00:00:00.000 UTC,73.753,73.758,73.573,73.578,0.036712
26.12.2023 01:00:00.000 UTC,73.573,73.813,73.433,73.668,0.262658
26.12.2023 02:00:00.000 UTC,73.663,73.788,73.538,73.568,0.089889
26.12.2023 03:00:00.000 UTC,73.578,73.653,73.538,73.618,0.050204
26.12.2023 04:00:00.000 UTC,73.613,73.763,73.543,73.758,0.044309
26.12.2023 05:00:00.000 UTC,73.753,73.863,73.743,73.813,0.066758
26.12.2023 06:00:00.000 UTC,73.823,73.823,73.653,73.678,0.091641
26.12.2023 07:00:00.000 UTC,73.688,73.783,73.593,73.673,0.10134
26.12.2023 08:00:00.000 UTC,73.668,73.903,73.183,73.528,0.346701
26.12.2023 09:00:00.000 UTC,73.523,73.663,73.193,73.353,0.242535
26.12.2023 10:00:00.000 UTC,73.348,73.533,73.123,73.508,0.168912
26.12.2023 11:00:00.000 UTC,73.513,73.583,73.183,73.583,0.208763
26.12.2023 12:00:00.000 UTC,73.588,74.108,73.543,74.083,0.239814
26.12.2023 13:00:00.000 UTC,74.088,75.127,74.088,75.063,0.581366
26.12.2023 14:00:00.000 UTC,75.073,75.693,75.033,75.483,0.608882
26.12.2023 15:00:00.000 UTC,75.473,75.663,75.333,75.473,0.398618
26.12.2023 16:00:00.000 UTC,75.478,76.008,75.473,75.973,0.329793
26.12.2023 17:00:00.000 UTC,75.978,76.153,75.803,75.903,0.330584
26.12.2023 18:00:00.000 UTC,75.907,76.073,75.633,76.053,0.327709
26.12.2023 19:00:00.000 UTC,76.043,76.113,75.343,75.413,0.566235
26.12.2023 20:00:00.000 UTC,75.408,75.488,75.083,75.178,0.202525
26.12.2023 21:00:00.000 UTC,75.155,75.39,75.04,75.385,0.830559
26.12.2023 23:00:00.000 UTC,75.378,75.378,75.143,75.227,0.04834
27.12.2023 00:00:00.000 UTC,75.243,75.283,75.193,75.223,0.043556
27.12.2023 01:00:00.000 UTC,75.228,75.408,75.123,75.318,0.256361
27.12.2023 02:00:00.000 UTC,75.313,75.403,75.168,75.313,0.109679
27.12.2023 03:00:00.000 UTC,75.318,75.483,75.278,75.388,0.103035
27.12.2023 04:00:00.000 UTC,75.393,75.423,75.338,75.387,0.038617
27.12.2023 05:00:00.000 UTC,75.393,75.483,75.223,75.388,0.106481
27.12.2023 06:00:00.000 UTC,75.393,75.548,75.333,75.538,0.118316
27.12.2023 07:00:00.000 UTC,75.533,75.548,75.343,75.378,0.161035
27.12.2023 08:00:00.000 UTC,75.373,75.543,75.253,75.513,0.390601
27.12.2023 09:00:00.000 UTC,75.513,75.628,75.123,75.313,0.36587
27.12.2023 10:00:00.000 UTC,75.323,75.388,74.933,75.053,0.25537
27.12.2023 11:00:00.000 UTC,75.063,75.113,74.873,75.063,0.23256
27.12.2023 12:00:00.000 UTC,75.053,75.273,74.993,75.173,0.27023
27.12.2023 13:00:00.000 UTC,75.188,75.188,74.143,75.018,0.86595
27.12.2023 14:00:00.000 UTC,75.023,75.378,74.723,74.893,0.973097
27.12.2023 15:00:00.000 UTC,74.883,75.123,74.723,74.873,0.74309
27.12.2023 16:00:00.000 UTC,74.863,75.003,74.203,74.373,0.842524
27.12.2023 17:00:00.000 UTC,74.363,74.553,74.213,74.333,0.499356
27.12.2023 18:00:00.000 UTC,74.323,74.543,74.143,74.183,0.509286
27.12.2023 19:00:00.000 UTC,74.173,74.323,73.903,74.043,0.643193
27.12.2023 20:00:00.000 UTC,74.053,74.123,73.803,73.823,0.171276
27.12.2023 21:00:00.000 UTC,73.79,73.915,73.73,73.775,0.522653
27.12.2023 23:00:00.000 UTC,73.778,74.013,73.753,74.013,0.044797
28.12.2023 00:00:00.000 UTC,74.018,74.148,73.953,74.123,0.052567
28.12.2023 01:00:00.000 UTC,74.113,74.378,74.053,74.268,0.155471
28.12.2023 02:00:00.000 UTC,74.263,74.353,74.098,74.133,0.082944
28.12.2023 03:00:00.000 UTC,74.138,74.173,73.973,74.033,0.068221
28.12.2023 04:00:00.000 UTC,74.028,74.053,73.953,73.953,0.042047
28.12.2023 05:00:00.000 UTC,73.948,74.183,73.928,74.153,0.082658
28.12.2023 06:00:00.000 UTC,74.148,74.258,74.043,74.213,0.137398
28.12.2023 07:00:00.000 UTC,74.223,74.228,73.898,73.923,0.164034
28.12.2023 08:00:00.000 UTC,73.943,74.268,73.543,73.703,0.509034
28.12.2023 09:00:00.000 UTC,73.707,73.763,73.253,73.643,0.374531
28.12.2023 10:00:00.000 UTC,73.633,73.643,72.873,73.223,0.445448
28.12.2023 11:00:00.000 UTC,73.233,73.363,73.143,73.278,0.175438
28.12.2023 12:00:00.000 UTC,73.273,73.373,73.003,73.368,0.3025
28.12.2023 13:00:00.000 UTC,73.363,73.688,72.673,73.643,0.704179
28.12.2023 14:00:00.000 UTC,73.668,73.733,73.123,73.613,0.867018
28.12.2023 15:00:00.000 UTC,73.608,73.773,73.153,73.188,0.66075
28.12.2023 16:00:00.000 UTC,73.183,73.823,72.843,72.933,0.843729
28.12.2023 17:00:00.000 UTC,72.953,73.263,72.653,72.713,0.472768
28.12.2023 18:00:00.000 UTC,72.728,72.733,71.823,71.973,0.828255
28.12.2023 19:00:00.000 UTC,71.983,72.088,71.702,72.003,0.717295
