UTC,Open,High,Low,Close,Volume
31.10.2022 00:00:00.000 UTC,88.362,88.517,88.058,88.083,0.535153
31.10.2022 01:00:00.000 UTC,88.082,88.242,87.469,87.519,1.248773
31.10.2022 02:00:00.000 UTC,87.512,87.628,86.963,87.587,0.928508
31.10.2022 03:00:00.000 UTC,87.579,87.597,87.382,87.424,0.5476
31.10.2022 04:00:00.000 UTC,87.419,87.442,87.234,87.354,0.314628
31.10.2022 05:00:00.000 UTC,87.349,87.482,87.144,87.337,0.702873
31.10.2022 06:00:00.000 UTC,87.333,87.333,86.919,87.077,0.746964
31.10.2022 07:00:00.000 UTC,87.077,87.482,86.749,87.418,1.149363
31.10.2022 08:00:00.000 UTC,87.412,87.492,86.729,87.327,1.724543
31.10.2022 09:00:00.000 UTC,87.337,87.522,86.784,86.997,1.184959
31.10.2022 10:00:00.000 UTC,87.002,87.007,86.272,86.543,1.406966
31.10.2022 11:00:00.000 UTC,86.542,86.647,86.309,86.389,1.224225
31.10.2022 12:00:00.000 UTC,86.402,86.747,85.862,86.597,2.044256
31.10.2022 13:00:00.000 UTC,86.617,87.802,85.877,87.337,3.514954
31.10.2022 14:00:00.000 UTC,87.337,87.622,86.752,87.292,3.039954
31.10.2022 15:00:00.000 UTC,87.297,87.702,86.072,86.312,2.511296
31.10.2022 16:00:00.000 UTC,86.317,86.707,85.808,86.222,3.383501
31.10.2022 17:00:00.000 UTC,86.218,86.272,85.282,85.592,2.36395
31.10.2022 18:00:00.000 UTC,85.612,86.612,85.589,86.407,1.998206
31.10.2022 19:00:00.000 UTC,86.399,86.412,85.962,86.172,0.688732
31.10.2022 20:00:00.000 UTC,86.172,86.232,86.047,86.182,0.030095
31.10.2022 22:00:00.000 UTC,86.422,86.422,86.022,86.097,0.188963
31.10.2022 23:00:00.000 UTC,86.102,86.222,86.092,86.172,0.19035
01.11.2022 00:00:00.000 UTC,86.152,86.177,85.892,86.087,0.470729
01.11.2022 01:00:00.000 UTC,86.083,86.722,86.057,86.712,1.163563
01.11.2022 02:00:00.000 UTC,86.712,87.252,86.707,87.092,1.064532
01.11.2022 03:00:00.000 UTC,87.097,87.227,86.979,87.143,0.689955
01.11.2022 04:00:00.000 UTC,87.142,87.167,86.999,87.037,0.229843
01.11.2022 05:00:00.000 UTC,87.033,87.572,87.029,87.538,0.740534
01.11.2022 06:00:00.000 UTC,87.547,87.792,87.513,87.724,0.908131
01.11.2022 07:00:00.000 UTC,87.732,87.972,87.382,87.842,1.533124
01.11.2022 08:00:00.000 UTC,87.822,88.217,87.552,87.624,1.953636
01.11.2022 09:00:00.000 UTC,87.642,87.727,87.092,87.647,1.526024
01.11.2022 10:00:00.000 UTC,87.639,88.027,87.582,87.852,1.189966
01.11.2022 11:00:00.000 UTC,87.862,87.932,87.432,87.642,0.940203
01.11.2022 12:00:00.000 UTC,87.662,89.082,87.662,88.912,1.971387
01.11.2022 13:00:00.000 UTC,88.902,89.412,88.347,88.552,3.288336
01.11.2022 14:00:00.000 UTC,88.544,88.622,87.993,88.452,3.663787
01.11.2022 15:00:00.000 UTC,88.452,88.743,88.024,88.054,2.718642
01.11.2022 16:00:00.000 UTC,88.052,88.772,87.492,88.602,3.245212
01.11.2022 17:00:00.000 UTC,88.607,88.707,88.243,88.544,1.463129
01.11.2022 18:00:00.000 UTC,88.543,88.812,88.289,88.512,1.344807
01.11.2022 19:00:00.000 UTC,88.492,88.612,88.154,88.292,0.64443
01.11.2022 20:00:00.000 UTC,88.287,88.582,88.167,88.552,0.028892
01.11.2022 22:00:00.000 UTC,88.597,88.837,88.519,88.672,0.215449
01.11.2022 23:00:00.000 UTC,88.668,88.772,88.579,88.692,0.168436
02.11.2022 00:00:00.000 UTC,88.692,88.872,88.488,88.872,0.502599
02.11.2022 01:00:00.000 UTC,88.863,89.337,88.792,89.297,0.95247
02.11.2022 02:00:00.000 UTC,89.293,89.642,89.189,89.637,0.607121
02.11.2022 03:00:00.000 UTC,89.633,89.727,89.512,89.617,0.529307
02.11.2022 04:00:00.000 UTC,89.622,89.632,89.463,89.524,0.329516
02.11.2022 05:00:00.000 UTC,89.519,89.722,89.459,89.494,0.522851
02.11.2022 06:00:00.000 UTC,89.487,89.527,89.262,89.417,0.671342
02.11.2022 07:00:00.000 UTC,89.422,89.452,88.952,89.359,1.029563
02.11.2022 08:00:00.000 UTC,89.352,89.577,88.412,88.602,1.904985
02.11.2022 09:00:00.000 UTC,88.607,88.892,88.129,88.252,1.398124
02.11.2022 10:00:00.000 UTC,88.244,88.292,87.739,88.152,1.391546
02.11.2022 11:00:00.000 UTC,88.157,88.582,88.082,88.577,0.923125
02.11.2022 12:00:00.000 UTC,88.564,88.682,88.142,88.442,1.777408
02.11.2022 13:00:00.000 UTC,88.434,88.647,87.749,88.144,2.997292
02.11.2022 14:00:00.000 UTC,88.143,89.022,87.852,88.882,3.113212
02.11.2022 15:00:00.000 UTC,88.878,90.302,88.843,90.142,2.150941
02.11.2022 16:00:00.000 UTC,90.152,90.327,89.612,90.072,2.043281
02.11.2022 17:00:00.000 UTC,90.064,90.102,89.629,89.662,0.88156
02.11.2022 18:00:00.000 UTC,89.697,90.242,89.227,89.532,3.91094
02.11.2022 19:00:00.000 UTC,89.537,89.872,88.907,89.207,2.291084
02.11.2022 20:00:00.000 UTC,89.202,89.417,89.062,89.312,0.044826
02.11.2022 22:00:00.000 UTC,89.387,89.472,89.102,89.197,0.246048
02.11.2022 23:00:00.000 UTC,89.187,89.207,88.769,88.952,0.343305
03.11.2022 00:00:00.000 UTC,88.932,89.072,88.859,89.014,0.39858
03.11.2022 01:00:00.000 UTC,89.009,89.462,88.922,89.347,1.219925
03.11.2022 02:00:00.000 UTC,89.352,89.527,89.279,89.492,0.436727
03.11.2022 03:00:00.000 UTC,89.497,89.642,89.413,89.499,0.361457
03.11.2022 04:00:00.000 UTC,89.507,89.602,89.309,89.439,0.316289
03.11.2022 05:00:00.000 UTC,89.438,89.642,89.354,89.582,0.530975
03.11.2022 06:00:00.000 UTC,89.587,89.602,89.182,89.184,0.85355
03.11.2022 07:00:00.000 UTC,89.197,89.222,88.634,89.147,1.456752
03.11.2022 08:00:00.000 UTC,89.152,89.162,88.399,88.662,1.946206
03.11.2022 09:00:00.000 UTC,88.667,88.862,88.177,88.482,1.731839
03.11.2022 10:00:00.000 UTC,88.487,88.897,88.414,88.512,1.506983
03.11.2022 11:00:00.000 UTC,88.504,89.037,88.393,89.017,1.383379
03.11.2022 12:00:00.000 UTC,89.009,89.142,88.414,88.507,2.039436
03.11.2022 13:00:00.000 UTC,88.492,88.727,87.632,88.222,3.656172
03.11.2022 14:00:00.000 UTC,88.217,88.967,87.584,88.647,3.890601
03.11.2022 15:00:00.000 UTC,88.652,88.972,88.472,88.872,3.829626
03.11.2022 16:00:00.000 UTC,88.877,89.022,88.627,88.677,3.741314
03.11.2022 17:00:00.000 UTC,88.663,88.893,88.427,88.459,2.597737
03.11.2022 18:00:00.000 UTC,88.453,88.532,87.957,88.224,2.778754
03.11.2022 19:00:00.000 UTC,88.219,88.292,88.007,88.052,0.802317
03.11.2022 20:00:00.000 UTC,88.047,88.062,87.847,87.927,0.02035
03.11.2022 22:00:00.000 UTC,87.842,88.072,87.842,87.927,0.331116
03.11.2022 23:00:00.000 UTC,87.919,88.037,87.882,88.012,0.282608
04.11.2022 00:00:00.000 UTC,88.017,88.107,87.812,88.002,0.927816
04.11.2022 01:00:00.000 UTC,87.998,88.567,87.997,88.552,1.712581
04.11.2022 02:00:00.000 UTC,88.548,88.867,88.512,88.719,1.251646
04.11.2022 03:00:00.000 UTC,88.727,88.952,88.712,88.807,1.03124
04.11.2022 04:00:00.000 UTC,88.817,89.418,88.747,89.407,0.787939
04.11.2022 05:00:00.000 UTC,89.399,90.397,89.397,90.227,2.051447
