timestamp,price_ds,wind_log,consump_log_ds,north_wind_log,d_congested,north_wind_cong,netexch_dk1,netexch_fi,netexch_no1,netexch_se2,netexch_se4
2025-01-01 00:00:00,-0.22650746285352197,7.75190533307861,-0.0009596835247656088,7.450660796211539,0.0,0.0,-323.7,-1200.0,-540.0,2067.6,316.9
2025-01-01 01:00:00,-0.22275957188343742,7.7279755421055585,0.005071898444038325,7.367708572374371,0.0,0.0,136.0,-1200.0,-885.8,1090.4,1005.0
2025-01-01 02:00:00,-0.19105874867011519,7.696667081526462,-0.002012901021902991,7.329093736246592,0.0,0.0,340.4,-1200.0,-1184.0,774.2,1352.9
2025-01-01 03:00:00,-0.20607737399404957,7.640603826393634,-0.011851592636405783,7.3031700512368,0.0,0.0,586.4,-1200.0,-1347.0,375.5,1651.5
2025-01-01 04:00:00,-0.23170637989753295,7.557472901614746,-0.027389177791222963,7.347299700743164,0.0,0.0,644.0,-1200.0,-1488.5,439.1,1805.0
2025-01-01 05:00:00,-0.3131210516638254,7.457609289715606,-0.058341960160703366,7.425357887027151,0.0,0.0,664.0,-1200.0,-1433.1,488.3,1934.9
2025-01-01 06:00:00,-0.6514018562782224,7.359467638255621,-0.12062181287178397,7.442492722794441,0.0,0.0,544.6,-1200.0,-1054.9,876.8,1635.3
2025-01-01 07:00:00,-0.9537760200971994,7.288244401020124,-0.17076526060110453,7.560601162768557,0.0,0.0,667.0,-1200.0,-916.9,1184.6,1400.7
2025-01-01 08:00:00,-1.057063194749837,7.261225091971921,-0.16834356527642846,7.7142311448490855,0.0,0.0,67.0,-1200.0,-630.4,2033.1,1298.0
2025-01-01 09:00:00,-0.9942854756330282,7.265429723253953,-0.14380631355429152,7.776535028185241,0.0,0.0,-310.5,-1200.0,-519.0,2725.6,1160.5
2025-01-01 10:00:00,-0.8987106909552542,7.252053951852814,-0.12483277379234003,7.8013913202914855,0.0,0.0,-715.0,-1200.0,-406.1,3171.0,1221.5
2025-01-01 11:00:00,-0.8263384127176043,7.234177179749849,-0.09979450751593433,7.81923445385907,0.0,0.0,-715.0,-1200.0,-362.5,3268.9,1209.4
2025-01-01 12:00:00,-0.7814379860906167,7.228388451573604,-0.07887685508027964,7.850103545175582,0.0,0.0,-715.0,-1200.0,-278.4,3524.1,1046.5
2025-01-01 13:00:00,-0.7862306467645932,7.217443431696533,-0.05745085116451776,7.91644286012226,0.0,0.0,-715.0,-1200.0,-221.0,3701.3,940.6
2025-01-01 14:00:00,-0.747258249650653,7.218176838403408,-0.038161789594328255,8.010027528481734,0.0,0.0,-715.0,-1200.0,-137.0,3989.2,612.8
2025-01-01 15:00:00,-0.6220892787306855,7.289610521451167,-0.025777171879658667,8.109224953089955,0.0,0.0,-115.0,-1200.0,0.0,4753.9,-883.4
