timestamp,price_ds,wind_log,consump_log_ds,d_congested,wind_cong,netexch_no3,netexch_no4,netexch_se1,netexch_se3
2025-01-01 00:00:00,-0.01862058445884518,5.883322388488279,0.11599621822062645,0.0,0.0,-1024.3,0.0,723.4,-2067.6
2025-01-01 01:00:00,0.007304503186187805,5.733341276897746,0.12559228972392766,0.0,0.0,-975.1,0.0,141.9,-1090.4
2025-01-01 02:00:00,0.023133188580431785,5.771441123130016,0.1258587038735488,0.0,0.0,-1115.0,0.0,0.0,-774.2
2025-01-01 03:00:00,0.028348027068454407,5.846438775057725,0.11756575287608673,0.0,0.0,-1074.5,-363.6,0.0,-375.5
2025-01-01 04:00:00,0.021876459580950858,5.940171252720432,0.11797767714458196,0.0,0.0,-1181.1,-183.5,-15.6,-439.1
2025-01-01 05:00:00,0.005981354365819147,6.07073772800249,0.08751400747222338,0.0,0.0,-1176.8,-427.3,0.0,-488.3
2025-01-01 06:00:00,-0.08587190823366697,6.2878585601617845,0.04267118455696384,0.0,0.0,-1137.1,0.0,-399.4,-876.8
2025-01-01 07:00:00,-0.1700029073795455,6.525029657843462,0.025201981419782804,0.0,0.0,-1097.9,0.0,-204.7,-1184.6
2025-01-01 08:00:00,-0.19294404704181956,6.906754778648554,0.03554466534333489,0.0,0.0,-1123.1,0.0,22.5,-2033.1
2025-01-01 09:00:00,-0.2034670822054041,7.142827401161621,0.04792563130104366,0.0,0.0,-1176.6,0.0,336.9,-2725.6
2025-01-01 10:00:00,-0.15294257162523994,7.277247726631484,0.05201853270932766,0.0,0.0,-1273.3,0.0,406.2,-3171.0
2025-01-01 11:00:00,-0.13149108645602636,7.4073177104694174,0.0640678596787918,0.0,0.0,-1343.7,0.0,311.2,-3268.9
2025-01-01 12:00:00,-0.13066293534665974,7.522400231387125,0.06604241806403355,0.0,0.0,-1408.2,0.0,243.8,-3524.1
2025-01-01 13:00:00,-0.12636712252972027,7.62608275807238,0.07682845538862093,0.0,0.0,-1455.3,0.0,244.0,-3701.3
2025-01-01 14:00:00,-0.08573174267430428,7.731492029245684,0.08700585308448083,0.0,0.0,-1545.0,0.0,361.0,-3989.2
2025-01-01 15:00:00,0.06204772404049619,7.827240901752812,0.09501284407263633,0.0,0.0,-1591.2,0.0,687.1,-4753.9
2025-01-01 16:00:00,0.1769145052266583,7.915348169263078,0.10644817007652474,0.0,0.0,-1560.3,0.0,806.3,-5124.1
2025-01-01 17:00:00,0.23399372861942025,7.97728198675515,0.11153854278445952,0.0,0.0,-1417.3,0.0,903.2,-5559.9
2025-01-01 18:00:00,0.17280716066711133,8.038189179973203,0.11981783891361353,0.0,0.0,-1746.9,0.0,773.2,-5368.1
2025-01-01 19:00:00,0.06355243149940515,8.087640287778983,0.11833013222270417,0.0,0.0,-1740.9,0.0,704.9,-5280.3
2025-01-01 20:00:00,0.0473226497578767,8.125039097367745,0.10843511680129758,0.0,0.0,-1817.5,0.0,502.0,-5038.7
2025-01-01 21:00:00,0.020640250132841764,8.156223323194624,0.10692549245658611,0.0,0.0,-1869.4,0.0,297.5,-4787.2
2025-01-01 22:00:00,0.10117920891554055,8.173857454773621,0.10953702061995685,0.0,0.0,-1856.1,0.0,490.0,-5394.7
2025-01-01 23:00:00,0.09011879800528,8.163940954755008,0.11439626600407404,0.0,0.0,-1968.9,0.0,172.6,-4716.6
2025-01-02 00:00:00,-0.2681063224740461,8.256347772918016,0.03789948196543058,0.0,0.0,-1621.6,0.0,1.1,-4162.0
2025-01-02 01:00:00,-0.25707537962582494,8.220672170297252,0.03745515211663619,0.0,0.0,-1627.5,0.0,0.0,-4048.1
2025-01-02 02:00:00,-0.24518519138086914,8.185071477532283,0.03881926669650326,0.0,0.0,-1714.9,0.0,0.0,-4181.7
2025-01-02 03:00:00,-0.20004230351410168,8.161089512845797,0.03678630252206627,0.0,0.0,-1710.1,0.0,0.0,-4451.8
2025-01-02 04:00:00,-0.233881607170217,8.150179269682326,0.04299082690109213,0.0,0.0,-1528.9,0.0,0.5,-4453.1
