type,variable,value,se,pval,stars
fit,AIC,-13853.93894834305,,,
fit,BIC,-13677.26565362603,,,
coef,_cons,1.502121595914534,.1116020081290628,0,***
coef,wind_log,-.1198811613537783,.011876849389286,0,***
coef,consump_log_ds,1.28607709972417,.129912745881181,0,***
coef,north_wind_log,-.0912433050899234,.0119753026425404,2.55351295664e-14,***
coef,d_congested,-.302817584100752,.0556040997188628,5.15273343993e-08,***
coef,north_wind_cong,.0583214073040385,.0075171920174912,8.65973959208e-15,***
coef,netexch_dk1,-.0000618534828123,9.00199336853e-06,6.37134789372e-12,***
coef,netexch_fi,-.0000262551994813,6.43069611705e-06,.0000444977039171,***
coef,netexch_no1,-.0000483084282335,5.26654174159e-06,0,***
coef,netexch_se2,-.0000487100494916,4.81116826309e-06,0,***
coef,netexch_se4,-.0000406138367333,3.92340939939e-06,0,***
