model,variable,value,se,pval,stars
se2_minus_se1,_cons,1.156841074171624,.2673309468976809,.000015173352786,***
se2_minus_se1,wind_log,-.1331628593258049,.0350403174912861,.0001450244326355,***
se2_minus_se1,post_fbmc,6.318364102075986,.8800415664430455,7.27078471888e-13,***
se2_minus_se1,wind_post_fbmc,-.984406922646993,.1150449091812047,1.25592703412e-17,***
se2_minus_se1,consump_log_ds,.671486223615243,.7407583087378213,.3646917215552926,
se2_minus_se1,N,17521,,,
se2_minus_se1,R2,.0246050777316374,,,
