timestamp,price_ds,wind_log,hydro_log_ds,consump_log_ds,oil_log,gas_log,netexch_fi,netexch_no4,netexch_se2,decoupled,wind_x_decoupled
2023-01-01 00:00:00,-0.4750520831096008,7.344719054149673,0.12979167358838595,-0.0657803992887871,4.38747426933081,4.269697449699962,0.0,-577.0,-567.8,0,0.0
2023-01-01 01:00:00,-0.43848093658288523,7.3833681469923835,0.12979167358838595,-0.0643140014790502,4.38747426933081,4.269697449699962,18.7,-600.0,-633.5,0,0.0
2023-01-01 02:00:00,-0.46925321512851426,7.415175109613295,0.12979167358838595,-0.06361841231742904,4.38747426933081,4.269697449699962,99.1,-600.0,-738.6,0,0.0
2023-01-01 03:00:00,-0.4264431282428882,7.431299675155903,0.12979167358838595,-0.06863769169975864,4.38747426933081,4.269697449699962,88.0,-600.0,-750.1,0,0.0
2023-01-01 04:00:00,-0.43245059460476654,7.4318919168078,0.12979167358838595,-0.06673812622667263,4.38747426933081,4.269697449699962,0.0,-600.0,-661.9,0,0.0
2023-01-01 05:00:00,-0.45870783771554446,7.440146680662688,0.12979167358838595,-0.06517252891910719,4.38747426933081,4.269697449699962,0.0,-567.0,-696.7,0,0.0
2023-01-01 06:00:00,-0.49540677958163926,7.447751280047908,0.12979167358838595,-0.06225377660793008,4.38747426933081,4.269697449699962,0.0,-567.0,-702.2,0,0.0
2023-01-01 07:00:00,-0.5203675559008412,7.45182223652793,0.12979167358838595,-0.06260229916794291,4.38747426933081,4.269697449699962,0.0,-567.0,-705.7,0,0.0
2023-01-01 08:00:00,-0.518330322477996,7.457609289715606,0.12979167358838595,-0.07397416890174036,4.38747426933081,4.269697449699962,0.0,-567.0,-696.4,0,0.0
2023-01-01 09:00:00,-0.5055214398884909,7.459914766241105,0.12979167358838595,-0.07095958632131172,4.38747426933081,4.269697449699962,0.0,-577.0,-691.9,0,0.0
2023-01-01 10:00:00,-0.49014183697099334,7.455298485683291,0.12979167358838595,-0.07411110330893234,4.38747426933081,4.269697449699962,0.0,-587.0,-691.7,0,0.0
2023-01-01 11:00:00,-0.47648367651919177,7.450660796211539,0.12979167358838595,-0.069649731497603,4.38747426933081,4.269697449699962,0.0,-583.0,-708.3,0,0.0
2023-01-01 12:00:00,-0.45339712866762927,7.447751280047908,0.12979167358838595,-0.056026245905867356,4.38747426933081,4.269697449699962,0.0,-600.0,-683.2,0,0.0
2023-01-01 13:00:00,-0.4590243786360686,7.438971592395862,0.12979167358838595,-0.03809746519648538,4.38747426933081,4.269697449699962,0.0,-600.0,-652.8,0,0.0
2023-01-01 14:00:00,-0.195257165153901,7.424761761823209,0.12979167358838595,-0.03395229846464609,4.38747426933081,4.269697449699962,0.0,-597.0,-943.1,0,0.0
