timestamp,price_ds,wind_log,hydro_log_ds,consump_log_ds,oil_log,gas_log,netexch_dk1,netexch_fi,netexch_no1,netexch_se2,netexch_se4
2025-01-01 00:00:00,-0.22650746285352197,7.75190533307861,0.04158293728385676,-0.0009596835247656088,4.265254025864314,3.9189986191645714,-323.7,-1200.0,-540.0,2067.6,316.9
2025-01-01 01:00:00,-0.22275957188343742,7.7279755421055585,0.04158293728385676,0.005071898444038325,4.265675386021114,3.9189986191645714,136.0,-1200.0,-885.8,1090.4,1005.0
2025-01-01 02:00:00,-0.19105874867011519,7.696667081526462,0.04158293728385676,-0.002012901021902991,4.2695995428093365,3.9189986191645714,340.4,-1200.0,-1184.0,774.2,1352.9
2025-01-01 03:00:00,-0.20607737399404957,7.640603826393634,0.04158293728385676,-0.011851592636405783,4.267919646567816,3.9189986191645714,586.4,-1200.0,-1347.0,375.5,1651.5
2025-01-01 04:00:00,-0.23170637989753295,7.557472901614746,0.04158293728385676,-0.027389177791222963,4.267359053445627,3.9189986191645714,644.0,-1200.0,-1488.5,439.1,1805.0
2025-01-01 05:00:00,-0.3131210516638254,7.457609289715606,0.04158293728385676,-0.058341960160703366,4.267078638991229,3.9189986191645714,664.0,-1200.0,-1433.1,488.3,1934.9
2025-01-01 06:00:00,-0.6514018562782224,7.359467638255621,0.04158293728385676,-0.12062181287178397,4.271206799568638,3.9189986191645714,544.6,-1200.0,-1054.9,876.8,1635.3
2025-01-01 07:00:00,-0.9537760200971994,7.288244401020124,0.04158293728385676,-0.17076526060110453,4.272323369581918,3.9189986191645714,667.0,-1200.0,-916.9,1184.6,1400.7
2025-01-01 08:00:00,-1.057063194749837,7.261225091971921,0.04158293728385676,-0.16834356527642846,4.270298667533694,3.9189986191645714,67.0,-1200.0,-630.4,2033.1,1298.0
2025-01-01 09:00:00,-0.9942854756330282,7.265429723253953,0.04158293728385676,-0.14380631355429152,4.269739406861706,3.9189986191645714,-310.5,-1200.0,-519.0,2725.6,1160.5
2025-01-01 10:00:00,-0.8987106909552542,7.252053951852814,0.04158293728385676,-0.12483277379234003,4.267989698616518,3.9189986191645714,-715.0,-1200.0,-406.1,3171.0,1221.5
2025-01-01 11:00:00,-0.8263384127176043,7.234177179749849,0.04158293728385676,-0.09979450751593433,4.269039890898209,3.9189986191645714,-715.0,-1200.0,-362.5,3268.9,1209.4
2025-01-01 12:00:00,-0.7814379860906167,7.228388451573604,0.04158293728385676,-0.07887685508027964,4.270578180623714,3.9189986191645714,-715.0,-1200.0,-278.4,3524.1,1046.5
2025-01-01 13:00:00,-0.7862306467645932,7.217443431696533,0.04158293728385676,-0.05745085116451776,4.263144557792884,3.9189986191645714,-715.0,-1200.0,-221.0,3701.3,940.6
2025-01-01 14:00:00,-0.747258249650653,7.218176838403408,0.04158293728385676,-0.038161789594328255,4.264410772543226,3.9189986191645714,-715.0,-1200.0,-137.0,3989.2,612.8
2025-01-01 15:00:00,-0.6220892787306855,7.289610521451167,0.04158293728385676,-0.025777171879658667,4.2695995428093365,3.9189986191645714,-115.0,-1200.0,0.0,4753.9,-883.4
2025-01-01 16:00:00,-0.5424603771091716,7.3098814858247865,0.04158293728385676,-0.016948346061234076,4.271974575359995,3.9189986191645714,12.9,-1200.0,0.0,5124.1,-106.8
2025-01-01 17:00:00,-0.5524905836914233,7.331714969726466,0.04158293728385676,-0.021888082235546946,4.272881187413083,3.9189986191645714,-299.0,-1200.0,0.0,5559.9,-206.5
2025-01-01 18:00:00,-0.5591932894708833,7.374001859350161,0.04158293728385676,-0.008229326359728617,4.272114107647993,3.9189986191645714,-240.4,-1200.0,0.0,5368.1,-186.6
2025-01-01 19:00:00,-0.6531780755097087,7.360739903058278,0.04158293728385676,-0.005313762737102934,4.274135141013923,3.9189986191645714,-363.5,-1200.0,0.0,5280.3,-86.1
2025-01-01 20:00:00,-0.5284576137520278,7.388946097618437,0.04158293728385676,0.005139600585911452,4.275387524184169,3.9189986191645714,-694.0,-1200.0,0.0,5038.7,-892.5
2025-01-01 21:00:00,-0.4734534816495244,7.385230923066573,0.04158293728385676,0.01605557335720853,4.273578022416822,3.9189986191645714,-715.0,-1200.0,0.0,4787.2,-741.7
2025-01-01 22:00:00,-0.26796475266912445,7.357556200910353,0.04158293728385676,0.03325716416411062,4.27430221608671,3.9189986191645714,-715.0,-1200.0,0.0,5394.7,-300.0
2025-01-01 23:00:00,-0.1734813135387019,7.312553498102598,0.04158293728385676,0.05408386403187215,4.274373428706473,3.9189986191645714,-650.0,-1200.0,-19.9,4716.6,-1041.3
2025-01-02 00:00:00,-0.6075580094345043,7.1891677384203225,0.04158293728385676,-0.02403720933625486,4.27444463625536,3.9189986191645714,-644.0,-1200.0,-160.2,4162.0,-86.0
