timestamp,price_ds,wind_log,hydro_log_ds,consump_log_ds,oil_log,gas_log,netexch_no3,netexch_no4,netexch_se1,netexch_se3
2024-01-01 00:00:00,0.08860824596610595,6.52649485957079,0.023386601499087334,0.09015522658975694,4.275804636935792,3.4094961844768505,-526.5,0.0,-42.7,-510.5
2024-01-01 01:00:00,0.10007262928692207,6.559615237493242,0.023386601499087334,0.09944898296369153,4.275804636935792,3.4094961844768505,-545.6,0.0,-110.3,-312.8
2024-01-01 02:00:00,0.06897896214820154,6.5998704992128365,0.023386601499087334,0.08637750222157958,4.275804636935792,3.4094961844768505,-638.5,0.0,-149.3,-136.6
2024-01-01 03:00:00,0.0478182961991811,6.648984550024776,0.023386601499087334,0.08351115508324547,4.275804636935792,3.4094961844768505,-700.0,-250.0,-191.5,233.8
2024-01-01 04:00:00,0.03131203523266901,6.71174039505618,0.023386601499087334,0.08024156166982177,4.275804636935792,3.4094961844768505,-700.0,-250.0,-707.6,684.9
2024-01-01 05:00:00,-0.04408894931326568,6.7580945044277305,0.023386601499087334,0.05306593567569884,4.275804636935792,3.4094961844768505,-686.0,-250.0,-992.0,914.2
2024-01-01 06:00:00,-0.06752563046735371,6.786716950605081,0.023386601499087334,-0.008832150765088365,4.275804636935792,3.4094961844768505,-686.0,-250.0,-816.2,668.8
2024-01-01 07:00:00,-0.0961576249859073,6.814542897259958,0.023386601499087334,-0.04137024451484095,4.275804636935792,3.4094961844768505,-700.0,-40.6,-464.0,0.0
2024-01-01 08:00:00,-0.13538207112967005,6.8308742346461795,0.023386601499087334,-0.03747254490957097,4.275804636935792,3.4094961844768505,-686.0,0.0,-475.8,-196.6
2024-01-01 09:00:00,-0.08150947568023437,6.818924065275521,0.023386601499087334,-0.026610423626811652,4.275804636935792,3.4094961844768505,-620.9,100.0,25.3,-1086.4
2024-01-01 10:00:00,0.010475795053926262,6.796823718274855,0.023386601499087334,-0.011836037063612359,4.275804636935792,3.4094961844768505,-645.3,100.0,472.0,-1841.9
2024-01-01 11:00:00,0.009131797860856494,6.785587645007929,0.023386601499087334,-0.016684199630508267,4.275804636935792,3.4094961844768505,-647.6,100.0,1004.8,-2564.0
2024-01-01 12:00:00,0.025694235606519733,6.7650389767805414,0.023386601499087334,0.016884208930017408,4.275804636935792,3.4094961844768505,-646.8,100.0,879.8,-2799.4
2024-01-01 13:00:00,0.03260191324236317,6.739336627357174,0.023386601499087334,-0.0055272170458220415,4.275804636935792,3.4094961844768505,-512.9,100.0,1200.8,-3361.3
