timestamp,price_ds,wind_log,hydro_log_ds,consump_log_ds,oil_log,gas_log,netexch_fi,netexch_no4,netexch_se2
2024-01-01 00:00:00,0.07147468501762777,4.23410650459726,0.08940427120170824,0.023997461261465958,4.275804636935792,3.4094961844768505,-1260.0,461.2,42.7
2024-01-01 01:00:00,0.07340501258267285,4.1588830833596715,0.08940427120170824,0.035266600493501166,4.275804636935792,3.4094961844768505,-1259.6,416.7,110.3
2024-01-01 02:00:00,0.051307422624002896,4.174387269895637,0.08940427120170824,0.03297684701996406,4.275804636935792,3.4094961844768505,-1086.6,251.1,149.3
2024-01-01 03:00:00,0.03441312621451598,4.219507705176107,0.08940427120170824,0.029304698482446767,4.275804636935792,3.4094961844768505,-733.3,-48.2,191.5
2024-01-01 04:00:00,0.021338028271594034,4.23410650459726,0.08940427120170824,0.019189100590520702,4.275804636935792,3.4094961844768505,-973.5,-292.6,707.6
2024-01-01 05:00:00,-0.04255988092332963,4.204692619390966,0.08940427120170824,0.0021987516579153876,4.275804636935792,3.4094961844768505,-1093.1,-257.4,992.0
2024-01-01 06:00:00,-0.05807934915158075,4.189654742026425,0.08940427120170824,-0.017307607458896257,4.275804636935792,3.4094961844768505,-1067.6,-211.0,816.2
2024-01-01 07:00:00,-0.08586565845169414,4.174387269895637,0.08940427120170824,-0.019283747479450497,4.275804636935792,3.4094961844768505,-995.5,0.0,464.0
2024-01-01 08:00:00,-0.12404950422788374,4.189654742026425,0.08940427120170824,-0.01838769562081488,4.275804636935792,3.4094961844768505,-1250.0,154.2,475.8
2024-01-01 09:00:00,-0.07355183184045444,4.189654742026425,0.08940427120170824,-0.013857904586274117,4.275804636935792,3.4094961844768505,-1250.0,485.0,-25.3
2024-01-01 10:00:00,0.009114769121525867,4.174387269895637,0.08940427120170824,-0.005215824704289496,4.275804636935792,3.4094961844768505,-1250.0,500.0,-472.0
