p,q,type,variable,value,se,pval
0,2,coef,_cons,.6520633770385866,.0880020210179846,1.26565424807e-13
0,2,coef,wind_log,-.0478769307516248,.0019575842328822,0
0,2,coef,hydro_log_ds,-.0939262186391373,.0106877046127644,0
0,2,coef,consump_log_ds,.5273379288587726,.0229004144660449,0
0,2,coef,oil_log,.0998329936279042,.020048441127866,6.37194994768e-07
0,2,coef,gas_log,-.2476341354399122,.0121214624784969,0
0,2,coef,netexch_fi,-.000040647530675,2.11467061965e-06,0
0,2,coef,netexch_no4,-.0000215992681764,5.05719264272e-06,.000019459868456
0,2,coef,netexch_se2,-.0000536065322231,2.13986112556e-06,0
0,2,coef,ma_L1,1.087668976736243,.0117211917325863,0
0,2,coef,ma_L2,.5512282578480496,.0068089672990831,0
0,2,var_coef,omega,-3.188115623070922,2.306261685351874,.1668569706535823
0,2,var_coef,arch1,.3996480675120189,.0243437463347678,0
0,2,var_coef,garch1,.5220720682612185,.0251523782399162,0
0,2,var_coef,het_wind_log,-.2633734224490204,.0455985124794469,7.65331131802e-09
0,2,var_coef,het_hydro_log_ds,-.0897842317604079,.2429826558330375,.711748508419038
0,2,var_coef,het_consump_log_ds,3.13616500428477,.8622347429210714,.000275562349433
0,2,var_coef,het_oil_log,-1.097870107095737,.5072241461340816,.0304284992146595
0,2,var_coef,het_gas_log,.2853424348054053,.2835012152120239,.3141777204882381
0,2,var_coef,het_netexch_fi,-.0005224949016307,.0000803134302641,7.73334729587e-11
0,2,var_coef,het_netexch_no4,-.0004478761210251,.0001406562670249,.0014516026167348
0,2,var_coef,het_netexch_se2,-.0002260576816693,.0000681627381648,.0009117192128167
0,2,var_coef,persistence,.9217201357732374,,
0,3,fit,N,17519,,
0,3,fit,ll,28840.3290711774,,
0,3,fit,AIC,-57634.65814235481,,
0,3,fit,BIC,-57455.92419279438,,
0,3,lbq_std,L1,691.8186740044237,,1.7980514605e-152
0,3,lbq_sq,L1,2.934372336718583,,.0867123604158088
0,3,lbq_std,L2,2612.474993440033,,0
0,3,lbq_sq,L2,6.10382629516196,,.0472684063942566
0,3,lbq_std,L3,4978.198079772994,,0
0,3,lbq_sq,L3,6.784175410520252,,.0791044266268464
0,3,lbq_std,L4,7088.914925763728,,0
0,3,lbq_sq,L4,7.953189096835915,,.0933080665267769
0,3,lbq_std,L5,7548.902119846215,,0
0,3,lbq_sq,L5,16.21365354726075,,.0062598318017664
0,3,lbq_std,L10,13668.19212013653,,0
0,3,lbq_sq,L10,19.25881102051623,,.0370958933713331
0,3,lbq_std,L15,18140.18154802137,,0
0,3,lbq_sq,L15,23.90286648085518,,.0667614458142686
0,3,lbq_std,L20,21331.07699177941,,0
0,3,lbq_sq,L20,30.28402458735023,,.0653803086295267
0,3,coef,_cons,.6527906801053359,.0959375240832083,1.01518793372e-11
0,3,coef,wind_log,-.0467569411110699,.0021194024772911,0
0,3,coef,hydro_log_ds,-.0880992990333136,.0117388957399802,6.15063555642e-14
0,3,coef,consump_log_ds,.4539075685695328,.0218020982322438,0
0,3,coef,oil_log,.1053561369949438,.0215559499811546,1.02090064891e-06
0,3,coef,gas_log,-.2572233114135515,.0128873578938231,0
0,3,coef,netexch_fi,-.0000431784112239,2.09581494399e-06,0
0,3,coef,netexch_no4,-.0000232055259992,6.31901133928e-06,.0002403444066246
0,3,coef,netexch_se2,-.0000536936172737,2.24837876282e-06,0
0,3,coef,ma_L1,1.186868943599714,.013720106052486,0
0,3,coef,ma_L2,.9295135993290669,.010719555283957,0
0,3,coef,ma_L3,.4404058314659716,.0084184471423024,0
0,3,var_coef,omega,-2.911859316357372,2.26897247696321,.1993735745543366
0,3,var_coef,arch1,.3169046364889664,.027405559928862,0
0,3,var_coef,garch1,.5999348749403781,.0322674705412408,0
0,3,var_coef,het_wind_log,-.2633765060484737,.0486997009510629,6.36701906753e-08
0,3,var_coef,het_hydro_log_ds,-.1237420664538943,.2427547769176091,.6102329142531675
0,3,var_coef,het_consump_log_ds,3.518942779143147,.8494527727939655,.0000343391048967
0,3,var_coef,het_oil_log,-1.1180078820115,.4904857577938371,.022643946661016
0,3,var_coef,het_gas_log,.1667883388963806,.2874069305656808,.5616980240503784
0,3,var_coef,het_netexch_fi,-.0004880900535588,.0000836501154741,5.38228572822e-09
0,3,var_coef,het_netexch_no4,-.0004922553065925,.0001454960042338,.0007162272523649
0,3,var_coef,het_netexch_se2,-.0002152591668002,.0000685535942927,.0016894042577784
0,3,var_coef,persistence,.9168395114293445,,
0,4,fit,N,17519,,
0,4,fit,ll,30014.56235796899,,
0,4,fit,AIC,-59981.12471593799,,
0,4,fit,BIC,-59794.61972509233,,
0,4,lbq_std,L1,285.4307104323465,,4.92254868548e-64
0,4,lbq_sq,L1,3.0569573210225,,.0803920781273871
0,4,lbq_std,L2,1164.964484727114,,1.0744255686e-253
0,4,lbq_sq,L2,9.546773389018242,,.0084517082818811
0,4,lbq_std,L3,2403.167675921719,,0
0,4,lbq_sq,L3,11.06307215948409,,.0113896639547149
0,4,lbq_std,L4,3786.825949291794,,0
0,4,lbq_sq,L4,12.0796367495126,,.0167687875592063
0,4,lbq_std,L5,5053.242783806029,,0
0,4,lbq_sq,L5,12.82243087610339,,.0251008391394125
0,4,lbq_std,L10,8517.279184873014,,0
0,4,lbq_sq,L10,19.63153034847149,,.0329368480097217
0,4,lbq_std,L15,11716.0059609182,,0
0,4,lbq_sq,L15,27.30451951859268,,.0263509727463616
0,4,lbq_std,L20,13938.66753978211,,0
0,4,lbq_sq,L20,31.33672765099283,,.0508991435072605
0,4,coef,_cons,.6162033557819785,.1012736697410481,1.16828680063e-09
0,4,coef,wind_log,-.0449981376228356,.0022047652890867,0
0,4,coef,hydro_log_ds,-.0877130521805374,.011904625485139,1.73194791842e-13
0,4,coef,consump_log_ds,.4707820846546966,.0235954240459228,0
