p,q,type,variable,value,se,pval
0,0,fit,N,8736,,
0,0,fit,ll,110.2280053748401,,
0,0,fit,AIC,-172.4560107496801,,
0,0,fit,BIC,-2.651025998047658,,
0,0,lbq_std,L1,4609.971067851196,,0
0,0,lbq_sq,L1,15.77491988860849,,.000071341979035
0,0,lbq_std,L2,7644.483659879705,,0
0,0,lbq_sq,L2,18.94501181514698,,.0000769383652783
0,0,lbq_std,L3,9914.96353579995,,0
0,0,lbq_sq,L3,27.31577606348567,,5.05483688321e-06
0,0,lbq_std,L4,11724.06914668077,,0
0,0,lbq_sq,L4,27.86376333858644,,.0000132915371083
0,0,lbq_std,L5,13236.79022472567,,0
0,0,lbq_sq,L5,28.00461995852064,,.0000363231544403
0,0,lbq_std,L10,18745.81743145335,,0
0,0,lbq_sq,L10,32.75401435283329,,.0002995576662292
0,0,lbq_std,L15,23196.64583955869,,0
0,0,lbq_sq,L15,37.37530554278045,,.0011151357508202
0,0,lbq_std,L20,25852.2369940284,,0
0,0,lbq_sq,L20,40.14761815117694,,.0047850669078684
0,0,coef,_cons,2.70943725818378,.5085075219327944,9.91828352781e-08
0,0,coef,wind_log,-.1761335831063622,.0074927136096978,0
0,0,coef,hydro_log_ds,-1.05091091612128,.1450741489329576,4.35873559468e-13
0,0,coef,consump_log_ds,2.627119494914552,.1216749468739712,0
0,0,coef,oil_log,-.2520304601440295,.1558883898386421,.1059351571743758
0,0,coef,gas_log,-.2127742987500015,.060319229292744,.0004195505927211
0,0,coef,netexch_dk1,-.0000192654893031,.0000129922420119,.1381154293458147
0,0,coef,netexch_fi,-.0000361149924981,.0000104392970223,.0005411322238302
0,0,coef,netexch_no1,.0000635510807295,.0000113953167951,2.44776046099e-08
0,0,coef,netexch_se2,.0000317299219492,5.83803749076e-06,5.47865273148e-08
0,0,coef,netexch_se4,-.0000274312182502,5.97864879819e-06,4.47090717604e-06
0,0,var_coef,omega,-9.965895006994266,2.715025703153923,.0002419393524686
0,0,var_coef,arch1,.8417094518116096,.0193046154861388,0
0,0,var_coef,garch1,.0323080654696867,.0191266436232016,.0911877291606609
0,0,var_coef,het_wind_log,.0270112199111656,.050396595567642,.591977136883362
0,0,var_coef,het_hydro_log_ds,-.7190562451825577,1.037846533256057,.4884132002001522
0,0,var_coef,het_consump_log_ds,-1.469204889593934,.7808517314356158,.0598983039465246
0,0,var_coef,het_oil_log,1.460063527918539,.903704664427641,.1061716619077833
0,0,var_coef,het_gas_log,-.0503404162622154,.403664292317681,.9007542340376498
0,0,var_coef,het_netexch_dk1,-.0001563056822796,.0001160861006835,.1781531260954499
0,0,var_coef,het_netexch_fi,-.0000809304097659,.0000683141488472,.2361439703793944
0,0,var_coef,het_netexch_no1,.0002061575277488,.0000640599566758,.0012899941412583
