zone,start_year,end_year,type,variable,value,se,pval,stars,converged
SE2,2015,2015,fit_step1,N,,,,,0
SE2,2016,2016,fit_step1,AIC,-26863.59964084969,,,,1
SE2,2016,2016,fit_step1,BIC,-26771.58627545859,,,,1
SE2,2016,2016,fit_step2,N,8760,,,,1
SE2,2016,2016,fit_step2,ll,16199.57363668251,,,,1
SE2,2016,2016,fit_step2,AIC,-32375.14727336502,,,,1
SE2,2016,2016,fit_step2,BIC,-32290.21185915786,,,,1
SE2,2016,2016,lbq_std,L24,543.0738400978511,,1.82753554322e-99,***,1
SE2,2016,2016,lbq_sq,L24,122.389092962644,,3.63479175428e-15,***,1
SE2,2016,2016,coef,_cons,.2145765516369298,.2107503710071785,.3086042837807987,,1
SE2,2016,2016,coef,wind_log,-.0129901530657991,.0043968982779422,.0031328764054805,***,1
SE2,2016,2016,coef,hydro_log_ds,.0166092298862582,.0533920490238013,.7557393597500284,,1
SE2,2016,2016,coef,consump_log_ds,.2245671595472472,.0405818687570892,3.13577150912e-08,***,1
SE2,2016,2016,coef,oil_log,-.0610141271897038,.0641756819821907,.3417384400419998,,1
SE2,2016,2016,coef,gas_log,.0415275208934093,.0560354128856637,.4586363108309164,,1
SE2,2016,2016,coef,netexch_no3,.0000566584086231,6.20700351938e-06,0,***,1
SE2,2016,2016,coef,netexch_no4,-1.37330125052e-07,.0000143835934941,.9923821594498776,,1
SE2,2016,2016,coef,netexch_se1,6.93771677972e-06,4.36929911899e-06,.1123241355389308,,1
SE2,2016,2016,coef,netexch_se3,6.16844894085e-06,2.41569093764e-06,.0106648543858077,**,1
SE2,2016,2016,coef,ar_L1,.9117513951710037,.0084634224711617,0,***,1
SE2,2016,2016,coef,ma_L1,.2095751908280968,.0212926149924234,0,***,1
SE2,2016,2016,var_coef,omega,-5.517941716704637,.9676818963070914,1.18252292403e-08,***,1
SE2,2016,2016,var_coef,arch1,.4689867709646731,.0355380998107722,0,***,1
SE2,2016,2016,var_coef,garch1,.1764328164459805,.0278128898866602,2.24511298441e-10,***,1
SE2,2016,2016,var_coef,het_wind_log,.0516150712784976,.036938897001188,.1623205237003851,,1
SE2,2016,2016,var_coef,het_hydro_log_ds,-.4718400114495222,.2704902841833898,.0810914524423538,*,1
SE2,2016,2016,var_coef,het_consump_log_ds,.501519630346843,.8925303523675918,.5741789431759952,,1
SE2,2016,2016,var_coef,het_oil_log,-1.46833608748755,.3041960460283337,1.38646812586e-06,***,1
SE2,2016,2016,var_coef,het_gas_log,1.426998165504584,.2594937270512245,3.81599405408e-08,***,1
SE2,2016,2016,var_coef,het_netexch_no3,.0011289610384342,.0001070229625652,0,***,1
SE2,2016,2016,var_coef,het_netexch_no4,-.003691661587447,.0004920450199305,6.26165785889e-14,***,1
SE2,2016,2016,var_coef,het_netexch_se1,.0002367013639567,.0000852404992783,.0054885960799689,***,1
SE2,2016,2016,var_coef,het_netexch_se3,.0000639484681164,.00002945936863,.0299512469709207,**,1
SE2,2016,2016,var_coef,persistence,.6454195874106535,,,,1
SE2,2017,2017,fit_step1,AIC,-27186.21255400655,,,,1
SE2,2017,2017,fit_step1,BIC,-27094.23485393275,,,,1
SE2,2017,2017,fit_step2,N,8736,,,,1
SE2,2017,2017,fit_step2,ll,15691.92519841354,,,,1
SE2,2017,2017,fit_step2,AIC,-31359.85039682707,,,,1
SE2,2017,2017,fit_step2,BIC,-31274.94790445126,,,,1
SE2,2017,2017,lbq_std,L24,746.1633536982705,,4.7242730257e-142,***,1
SE2,2017,2017,lbq_sq,L24,463.7463065343529,,5.44978044032e-83,***,1
SE2,2017,2017,coef,_cons,.6083488340112171,.3633847764800421,.0941074980282686,*,1
SE2,2017,2017,coef,wind_log,-.0250863874511088,.004960919089074,4.26344636040e-07,***,1
SE2,2017,2017,coef,hydro_log_ds,.0037752208327804,.0327855408807231,.9083270559760785,,1
SE2,2017,2017,coef,consump_log_ds,.125843604540423,.0371031354925717,.0006945430036112,***,1
SE2,2017,2017,coef,oil_log,-.2546657767649079,.1302308226206899,.0505246237961166,*,1
SE2,2017,2017,coef,gas_log,.1875655273170173,.0905290947076397,.0382765237558778,**,1
SE2,2017,2017,coef,netexch_no3,.000019832914877,6.69833673179e-06,.0030676981979698,***,1
SE2,2017,2017,coef,netexch_no4,.0000250568022764,.0000192082762748,.1920701509574998,,1
SE2,2017,2017,coef,netexch_se1,4.02681876838e-06,5.22625834347e-06,.4410048623513991,,1
SE2,2017,2017,coef,netexch_se3,-3.30654497639e-06,3.06810117344e-06,.2811600427477756,,1
SE2,2017,2017,coef,ar_L1,.9055821597016913,.007982765649502,0,***,1
SE2,2017,2017,coef,ma_L1,.2003681971314086,.0203659172018021,0,***,1
SE2,2017,2017,var_coef,omega,-5.839059325801024,2.094308230575762,.0053024540864224,***,1
SE2,2017,2017,var_coef,arch1,.4240423648149209,.0360861136985379,0,***,1
SE2,2017,2017,var_coef,garch1,.2393795710969788,.0511305964141388,2.84466058642e-06,***,1
SE2,2017,2017,var_coef,het_wind_log,.07652951733348,.0395525336369573,.0530046783824289,*,1
SE2,2017,2017,var_coef,het_hydro_log_ds,-.1295074625816416,.2463853738831638,.5991455383241262,,1
SE2,2017,2017,var_coef,het_consump_log_ds,2.34113128555581,.6845149845378898,.0006259086334961,***,1
SE2,2017,2017,var_coef,het_oil_log,1.093709783979263,.796924720824296,.169934929984064,,1
SE2,2017,2017,var_coef,het_gas_log,-1.966153593004768,.5209996408932623,.0001607732993265,***,1
SE2,2017,2017,var_coef,het_netexch_no3,.0007126671344963,.0001197473558808,2.65821520351e-09,***,1
SE2,2017,2017,var_coef,het_netexch_no4,-.002972535985341,.0004834390769564,7.81061881838e-10,***,1
SE2,2017,2017,var_coef,het_netexch_se1,.0002323001194462,.0000936519121574,.0131211816079884,**,1
SE2,2017,2017,var_coef,het_netexch_se3,.0001484955039337,.0000430517464019,.0005621814085477,***,1
SE2,2017,2017,var_coef,persistence,.6634219359118996,,,,1
SE2,2018,2018,fit_step1,AIC,-23640.50643194144,,,,1
SE2,2018,2018,fit_step1,BIC,-23548.52873186764,,,,1
SE2,2018,2018,fit_step2,N,8736,,,,1
SE2,2018,2018,fit_step2,ll,16043.43934436937,,,,1
SE2,2018,2018,fit_step2,AIC,-32062.87868873875,,,,1
SE2,2018,2018,fit_step2,BIC,-31977.97619636293,,,,1
SE2,2018,2018,lbq_std,L24,590.7392314367199,,2.0506806477e-109,***,1
SE2,2018,2018,lbq_sq,L24,424.6348450168163,,6.46232612089e-75,***,1
SE2,2018,2018,coef,_cons,-.4334925827487132,.345098136817001,.2090641557970065,,1
SE2,2018,2018,coef,wind_log,-.0029181563216661,.005608585786325,.6028533606056619,,1
SE2,2018,2018,coef,hydro_log_ds,-.1611589102231985,.0847902323498636,.0573442312765335,*,1
SE2,2018,2018,coef,consump_log_ds,.2650493622676564,.0674976516700357,.0000860857100407,***,1
SE2,2018,2018,coef,oil_log,.0545939953813055,.0687475083443844,.4271236783004762,,1
SE2,2018,2018,coef,gas_log,.0767640163095629,.0640927430231955,.2310329908682742,,1
SE2,2018,2018,coef,netexch_no3,-9.39279732111e-07,6.91983255018e-06,.8920289200125326,,1
SE2,2018,2018,coef,netexch_no4,-.0000385744985479,.0000148530989651,.0094023482953998,***,1
SE2,2018,2018,coef,netexch_se1,.0000198684958175,5.74325368776e-06,.000541280865042,***,1
SE2,2018,2018,coef,netexch_se3,3.29251380212e-06,3.38161416337e-06,.3302295915666495,,1
SE2,2018,2018,coef,ar_L1,.9079808852782612,.0124000579367804,0,***,1
SE2,2018,2018,coef,ma_L1,.23363451167595,.0203506262348972,0,***,1
SE2,2018,2018,var_coef,omega,-16.32707454985342,2.642773333255344,6.49154729970e-10,***,1
SE2,2018,2018,var_coef,arch1,.5482120524339636,.0416243145082715,0,***,1
SE2,2018,2018,var_coef,garch1,.3180502762836632,.0325004539059182,0,***,1
SE2,2018,2018,var_coef,het_wind_log,-.0476674548983902,.041508085853377,.2508077572462137,,1
