zone,start_year,end_year,quantile,type,variable,value,se,pval,stars
SE3,2015,2015,.75,coef,ar_L1,1.129180613389386,.0071112923602555,0,***
SE3,2015,2015,.75,coef,ar_L2,-.1664867296886106,.0069738116279653,0,***
SE3,2015,2015,.9,fit,N,8732,,,
SE3,2015,2015,.9,lbq,L24,342.8371191652457,,3.59721228151e-58,***
SE3,2015,2015,.9,coef,_cons,.3616111723896212,.0479287285440968,4.52970994047e-14,***
SE3,2015,2015,.9,coef,wind_log,-.0061865887755317,.0018599245297852,.0008802042696037,***
SE3,2015,2015,.9,coef,hydro_log_ds,-.0382149520388551,.0171985505837415,.0262841990039029,**
SE3,2015,2015,.9,coef,consump_log_ds,.0631172105612288,.0203534189281317,.0019282802162155,***
SE3,2015,2015,.9,coef,oil_log,-.0191620291620699,.0122130308020239,.1166520632760015,
SE3,2015,2015,.9,coef,gas_log,-.060658857027569,.0191644859001949,.0015499233237299,***
SE3,2015,2015,.9,coef,netexch_dk1,-.0000191777460288,3.82571101380e-06,5.36274756158e-07,***
SE3,2015,2015,.9,coef,netexch_fi,-9.33070719063e-08,3.37155671580e-06,.9779215430089896,
SE3,2015,2015,.9,coef,netexch_no1,6.74539388333e-06,1.61566989804e-06,.0000298008691451,***
SE3,2015,2015,.9,coef,netexch_se2,6.74860251695e-06,1.27407511365e-06,1.17808413025e-07,***
SE3,2015,2015,.9,coef,netexch_se4,.0000110682510099,2.10878852898e-06,1.53234381184e-07,***
SE3,2015,2015,.9,coef,ar_L1,1.105018166231133,.0142282790636712,0,***
SE3,2015,2015,.9,coef,ar_L2,-.1508035417597541,.0140160727757342,0,***
SE3,2015,2015,.95,fit,N,8732,,,
SE3,2015,2015,.95,lbq,L24,763.2275352432997,,1.1929522591e-145,***
SE3,2015,2015,.95,coef,_cons,.5803112375120133,.0878274234997413,3.91118248899e-11,***
SE3,2015,2015,.95,coef,wind_log,-.0149277031642515,.0037047359010178,.0000559296499536,***
SE3,2015,2015,.95,coef,hydro_log_ds,-.0451518874426297,.0342916154400892,.1879380556777328,
SE3,2015,2015,.95,coef,consump_log_ds,.0603719584719326,.0354807389606479,.0888413060187261,*
SE3,2015,2015,.95,coef,oil_log,-.0483762239560249,.0244769653732841,.0481097246231086,**
SE3,2015,2015,.95,coef,gas_log,-.0694296010993118,.036513846612861,.0572418503924097,*
SE3,2015,2015,.95,coef,netexch_dk1,-.0000267095603629,7.40579666853e-06,.0003102653325395,***
SE3,2015,2015,.95,coef,netexch_fi,-4.70947715871e-06,7.05793999761e-06,.5046064232348719,
SE3,2015,2015,.95,coef,netexch_no1,.0000126949889812,3.17603871779e-06,.0000641194130873,***
SE3,2015,2015,.95,coef,netexch_se2,.0000117600950669,2.05910594007e-06,1.12140947639e-08,***
SE3,2015,2015,.95,coef,netexch_se4,.0000179926533332,3.61696855196e-06,6.54122247257e-07,***
SE3,2015,2015,.95,coef,ar_L1,1.071391489640512,.0301241742319608,0,***
SE3,2015,2015,.95,coef,ar_L2,-.1467289371100804,.0297882533407228,8.40453500572e-07,***
SE3,2015,2015,.99,fit,N,8732,,,
SE3,2015,2015,.99,lbq,L24,34556.05563123434,,0,***
SE3,2015,2015,.99,coef,_cons,1.433579020281031,.3378286187718479,.0000220050857807,***
SE3,2015,2015,.99,coef,wind_log,-.0638478151304574,.0166284567513769,.0001231989340396,***
SE3,2015,2015,.99,coef,hydro_log_ds,-.325583971743901,.1753008968759463,.0632704182132198,*
SE3,2015,2015,.99,coef,consump_log_ds,.2832710875270731,.1708503343133775,.0973160094448107,*
SE3,2015,2015,.99,coef,oil_log,-.2386584952068402,.1099962695726344,.030029863228324,**
