zone,start_year,end_year,quantile,type,variable,value,se,pval,stars
SE1,2015,2015,.1,fit,N,8732,,,
SE1,2015,2015,.1,lbq,L24,785.1864947987198,,2.7761561978e-150,***
SE1,2015,2015,.1,coef,_cons,-.4137034147193836,.0449977756094823,0,***
SE1,2015,2015,.1,coef,wind_log,.0079089581014543,.001320076992466,2.08188821738e-09,***
SE1,2015,2015,.1,coef,hydro_log_ds,.0039029436038613,.0119082872628172,.7431005392549985,
SE1,2015,2015,.1,coef,consump_log_ds,.0493269159547276,.0229068440291172,.0312895934605779,**
SE1,2015,2015,.1,coef,oil_log,-.0539002663903748,.0098104922009846,3.92607886202e-08,***
SE1,2015,2015,.1,coef,gas_log,.1771943497746111,.012918528266524,0,***
SE1,2015,2015,.1,coef,netexch_fi,9.53546739807e-08,2.94876597684e-06,.9742031869830456,
SE1,2015,2015,.1,coef,netexch_no4,.0000229309057135,4.83943010054e-06,2.15467168108e-06,***
SE1,2015,2015,.1,coef,netexch_se2,-1.94447002077e-06,1.46746450514e-06,.1851531718855117,
SE1,2015,2015,.1,coef,ar_L1,1.112090718050059,.0156425224458882,0,***
SE1,2015,2015,.1,coef,ar_L2,-.17724085800735,.0157253012058619,0,***
SE1,2015,2015,.25,fit,N,8732,,,
SE1,2015,2015,.25,lbq,L24,294.3022847758432,,2.34857189091e-48,***
SE1,2015,2015,.25,coef,_cons,-.1343103172351636,.0221525148809053,1.33619937337e-09,***
SE1,2015,2015,.25,coef,wind_log,.0023202733456188,.0005559716253,.0000300131578874,***
SE1,2015,2015,.25,coef,hydro_log_ds,-.0110951415100383,.0064023455753433,.0830990938593441,*
SE1,2015,2015,.25,coef,consump_log_ds,.0160542207503435,.0123865974320771,.1949423749410211,
SE1,2015,2015,.25,coef,oil_log,-.0323012188453567,.0056255187058852,9.36148980557e-09,***
SE1,2015,2015,.25,coef,gas_log,.0773457820307588,.0079080059369103,0,***
SE1,2015,2015,.25,coef,netexch_fi,4.39703177890e-06,1.38031532578e-06,.0014449060586645,***
SE1,2015,2015,.25,coef,netexch_no4,.0000149726264556,2.56350707982e-06,5.19879450600e-09,***
SE1,2015,2015,.25,coef,netexch_se2,-1.36554341305e-06,6.91793457919e-07,.0483910916538401,**
SE1,2015,2015,.25,coef,ar_L1,1.152163544158738,.0069227548331977,0,***
SE1,2015,2015,.25,coef,ar_L2,-.1906489789286221,.006962179131749,0,***
SE1,2015,2015,.5,fit,N,8732,,,
SE1,2015,2015,.5,lbq,L24,330.1865832550355,,1.33201681663e-55,***
SE1,2015,2015,.5,coef,_cons,-.0433674268123159,.0169952933566113,.0107189062457282,**
SE1,2015,2015,.5,coef,wind_log,.0009047577923331,.0004349038118646,.0374922516505332,**
SE1,2015,2015,.5,coef,hydro_log_ds,-.004766963036211,.0050445039583756,.3446683089020006,
SE1,2015,2015,.5,coef,consump_log_ds,.0221699303078375,.0097007646873292,.0222905755829002,**
SE1,2015,2015,.5,coef,oil_log,-.0025640028975691,.0045032170683865,.5691041379879929,
SE1,2015,2015,.5,coef,gas_log,.0179899091280868,.006533778939349,.005898524041098,***
SE1,2015,2015,.5,coef,netexch_fi,3.37577612307e-06,1.16530282346e-06,.0037685916948218,***
SE1,2015,2015,.5,coef,netexch_no4,9.19611458931e-06,2.12811287429e-06,.000015514551051,***
SE1,2015,2015,.5,coef,netexch_se2,-1.04448055444e-06,6.07095207325e-07,.0853495963985225,*
SE1,2015,2015,.5,coef,ar_L1,1.164750905926489,.006448878430654,0,***
SE1,2015,2015,.5,coef,ar_L2,-.1901406661021756,.0064111558713038,0,***
SE1,2015,2015,.75,fit,N,8732,,,
SE1,2015,2015,.75,lbq,L24,325.4225115341422,,1.23036078036e-54,***
SE1,2015,2015,.75,coef,_cons,.0900029094255969,.0207856468688086,.000014907486392,***
SE1,2015,2015,.75,coef,wind_log,-.000511582690598,.0005503889288265,.3526336192730446,
SE1,2015,2015,.75,coef,hydro_log_ds,-.0031928826415181,.0060378236658398,.5969348345223655,
SE1,2015,2015,.75,coef,consump_log_ds,.0171596494735755,.0115028425586595,.1357582193144751,
SE1,2015,2015,.75,coef,oil_log,.0106917516812517,.0054217540277833,.0486084961047593,**
SE1,2015,2015,.75,coef,gas_log,-.0326759614183822,.0084549819117668,.0001112262077885,***
SE1,2015,2015,.75,coef,netexch_fi,7.08900901088e-06,1.51387657613e-06,2.83139737500e-06,***
SE1,2015,2015,.75,coef,netexch_no4,9.69850307732e-06,2.63652050655e-06,.0002345879272965,***
SE1,2015,2015,.75,coef,netexch_se2,1.04686166350e-06,7.58006653652e-07,.1672568650247148,
SE1,2015,2015,.75,coef,ar_L1,1.170589404683163,.0070710936921925,0,***
SE1,2015,2015,.75,coef,ar_L2,-.1928987612741532,.0071857566300215,0,***
SE1,2015,2015,.9,fit,N,8732,,,
SE1,2015,2015,.9,lbq,L24,374.4933859611294,,1.26280332910e-64,***
SE1,2015,2015,.9,coef,_cons,.3542879171536693,.0428412016660095,2.22044604925e-16,***
SE1,2015,2015,.9,coef,wind_log,-.0042579697213287,.001029126768327,.0000351173305286,***
SE1,2015,2015,.9,coef,hydro_log_ds,.006514799318174,.0094834917609044,.4921066183963902,
SE1,2015,2015,.9,coef,consump_log_ds,.0155036697713402,.0184839362791299,.4016014694123664,
SE1,2015,2015,.9,coef,oil_log,.0285260904900709,.0092759542502573,.0021031004168219,***
SE1,2015,2015,.9,coef,gas_log,-.1275445970370343,.0122042469421722,0,***
SE1,2015,2015,.9,coef,netexch_fi,9.50813802713e-06,2.19579568225e-06,.0000149003691041,***
SE1,2015,2015,.9,coef,netexch_no4,.0000187690695312,4.70674189773e-06,.0000667172611777,***
SE1,2015,2015,.9,coef,netexch_se2,3.55303685651e-06,1.20704363442e-06,.0032443357261371,***
SE1,2015,2015,.9,coef,ar_L1,1.151377302911282,.0156228266884225,0,***
SE1,2015,2015,.9,coef,ar_L2,-.1821529819890401,.0154974081423437,0,***
SE1,2015,2015,.95,fit,N,8732,,,
SE1,2015,2015,.95,lbq,L24,1354.397509793615,,2.7551239501e-271,***
SE1,2015,2015,.95,coef,_cons,.5564445367564794,.0787194497103606,1.56386015249e-12,***
SE1,2015,2015,.95,coef,wind_log,-.0076183383463606,.0020603664628421,.0002176777304952,***
SE1,2015,2015,.95,coef,hydro_log_ds,.0059062630340216,.0175359738835212,.7362613521047905,
SE1,2015,2015,.95,coef,consump_log_ds,-.001070166749836,.033045581239955,.9741653719523193,
SE1,2015,2015,.95,coef,oil_log,.0447847196424425,.0173820321950041,.0099807638981542,***
SE1,2015,2015,.95,coef,gas_log,-.2014315110651584,.025251748416788,1.55431223448e-15,***
SE1,2015,2015,.95,coef,netexch_fi,.0000128480168066,2.88306583641e-06,8.33579378057e-06,***
SE1,2015,2015,.95,coef,netexch_no4,.0000283912259258,8.73577724286e-06,.0011540733646151,***
SE1,2015,2015,.95,coef,netexch_se2,2.98722895517e-06,2.52100102045e-06,.2360421107864239,
SE1,2015,2015,.95,coef,ar_L1,1.135045830414299,.0292329332409763,0,***
SE1,2015,2015,.95,coef,ar_L2,-.1821066672626751,.0294660357924688,6.40111741390e-10,***
SE1,2015,2015,.99,fit,N,8732,,,
SE1,2015,2015,.99,lbq,L24,27816.08031560309,,0,***
SE1,2015,2015,.99,coef,_cons,1.227116447811097,.383814372077917,.0013878730558414,***
SE1,2015,2015,.99,coef,wind_log,-.0365878797171201,.0107704907713056,.0006811688836514,***
SE1,2015,2015,.99,coef,hydro_log_ds,-.1140476597496911,.1181236321821985,.3342974329182404,
SE1,2015,2015,.99,coef,consump_log_ds,-.2726685962389748,.1947415698991809,.1614665798579225,
SE1,2015,2015,.99,coef,oil_log,.1167473021859379,.1029957941405778,.2569979454630555,
SE1,2015,2015,.99,coef,gas_log,-.4284491477236111,.1753433267823923,.0145460917617901,**
SE1,2015,2015,.99,coef,netexch_fi,.0000312040619658,.000028449713105,.2727224271146074,
SE1,2015,2015,.99,coef,netexch_no4,.0000734989665429,.0000489966438739,.1335932527845314,
SE1,2015,2015,.99,coef,netexch_se2,-4.59208971859e-06,.0000131381953892,.7266973780174744,
SE1,2015,2015,.99,coef,ar_L1,1.079079837804764,.1323312819694254,4.44089209850e-16,***
SE1,2015,2015,.99,coef,ar_L2,-.1721756700690936,.1348940128705079,.2018221396323228,
SE1,2016,2016,.1,fit,N,8756,,,
SE1,2016,2016,.1,lbq,L24,992.6615071981344,,3.2235396463e-194,***
SE1,2016,2016,.1,coef,_cons,.0099433975367876,.0255171307196947,.6967766062343419,
SE1,2016,2016,.1,coef,wind_log,-.002766943964699,.0006526088429933,.0000223699183122,***
SE1,2016,2016,.1,coef,hydro_log_ds,.0492490378606259,.0107164732758901,4.31425977387e-06,***
SE1,2016,2016,.1,coef,consump_log_ds,.0673943143476761,.0186574861195117,.0003036263886624,***
SE1,2016,2016,.1,coef,oil_log,.0130646732153237,.0073606757858108,.0759096941307833,*
SE1,2016,2016,.1,coef,gas_log,-.0337923866289346,.0074620931920351,5.93926719450e-06,***
SE1,2016,2016,.1,coef,netexch_fi,.0000112128758883,1.90988861550e-06,4.33283986467e-09,***
SE1,2016,2016,.1,coef,netexch_no4,.0000433794217955,4.45573644066e-06,0,***
SE1,2016,2016,.1,coef,netexch_se2,8.48464024576e-06,1.37633435057e-06,7.06324998490e-10,***
SE1,2016,2016,.1,coef,ar_L1,1.095689547904267,.0178788089480003,0,***
SE1,2016,2016,.1,coef,ar_L2,-.2159604842483377,.0186110380651829,0,***
SE1,2016,2016,.25,fit,N,8756,,,
SE1,2016,2016,.25,lbq,L24,403.9524799059363,,1.15923721242e-70,***
SE1,2016,2016,.25,coef,_cons,.024612249174246,.0129912816327799,.0581559579966648,*
SE1,2016,2016,.25,coef,wind_log,-.0012633797930155,.0004892646474954,.0098172313153448,***
SE1,2016,2016,.25,coef,hydro_log_ds,.0265577969189079,.0082417784568057,.0012714899028383,***
SE1,2016,2016,.25,coef,consump_log_ds,.0511734536942392,.0114359946277332,7.64933585007e-06,***
SE1,2016,2016,.25,coef,oil_log,-.0017763195383764,.0036584253247857,.6272918519809196,
SE1,2016,2016,.25,coef,gas_log,-.0112385543149096,.0043508058986463,.0097917746184053,***
SE1,2016,2016,.25,coef,netexch_fi,5.96099030390e-06,1.17462194454e-06,3.87871031071e-07,***
SE1,2016,2016,.25,coef,netexch_no4,.0000184029401745,2.52718859329e-06,3.28848059894e-13,***
SE1,2016,2016,.25,coef,netexch_se2,1.12876731900e-06,8.32749648123e-07,.1752678017822498,
SE1,2016,2016,.25,coef,ar_L1,1.145986694077308,.0104175084507126,0,***
SE1,2016,2016,.25,coef,ar_L2,-.2197743244988885,.0103650034904543,0,***
SE1,2016,2016,.5,fit,N,8756,,,
SE1,2016,2016,.5,lbq,L24,440.9212376504263,,2.83645656399e-78,***
SE1,2016,2016,.5,coef,_cons,.0218542930981504,.0090233293260219,.0154363415909649,**
SE1,2016,2016,.5,coef,wind_log,-.0010992615389701,.0003450286151064,.0014425406076208,***
