sample,variable,value,se,pval,stars
lowsep,_cons,.7378118661233102,.0162884804122904,0,***
lowsep,wind_log,-.1058914138450581,.0023315178124727,0,***
lowsep,consump_log_ds,1.995644727234586,.047677220039988,0,***
lowsep,N,6896,,,
lowsep,R2,.4355164105286841,,,
highsep,_cons,.8761243543653056,.0333325087990449,1.6037054337e-129,***
highsep,wind_log,-.1236104752371439,.0045545476488345,1.1124271985e-136,***
highsep,consump_log_ds,1.551631605492417,.0690732253891015,6.12356592023e-99,***
highsep,N,1840,,,
highsep,R2,.4500979791679915,,,
