timestamp,spread_se2_se1,spread_se2_se3,price_se1_raw,price_se2_raw,price_se3_raw,wind_log,consump_log_ds,post_fbmc,wind_post_fbmc
2024-01-01 00:00:00,0.0,0.0,29.56,29.56,29.56,6.52649485957079,0.09015522658975694,0,0.0
2024-01-01 01:00:00,0.0,0.0,28.46,28.46,28.46,6.559615237493242,0.09908277202619153,0,0.0
2024-01-01 02:00:00,0.0,0.0,26.66,26.66,26.66,6.5998704992128365,0.08637750222157958,0,0.0
2024-01-01 03:00:00,0.0,0.0,24.48,24.48,24.48,6.648984550024776,0.08354167266137047,0,0.0
2024-01-01 04:00:00,0.0,0.0,24.01,24.01,24.01,6.71174039505618,0.08027207924794677,0,0.0
2024-01-01 05:00:00,0.0,0.0,21.23,21.23,21.23,6.7580945044277305,0.053077379767495714,0,0.0
2024-01-01 06:00:00,0.0,0.0,22.62,22.62,22.62,6.786716950605081,-0.00883596546235399,0,0.0
2024-01-01 07:00:00,0.0,0.0,25.04,25.04,25.04,6.814542897259958,-0.04135117102851282,0,0.0
2024-01-01 08:00:00,0.0,0.0,26.24,26.24,26.24,6.8308742346461795,-0.03730469822988347,0,0.0
2024-01-01 09:00:00,0.0,0.0,32.21,32.21,32.21,6.818924065275521,-0.026427318158061652,0,0.0
2024-01-01 10:00:00,0.0,0.0,41.34,41.34,41.34,6.796823718274855,-0.011347755813612359,0,0.0
2024-01-01 11:00:00,0.0,0.0,43.51,43.51,43.51,6.785587645007929,-0.016623164474258267,0,0.0
2024-01-01 12:00:00,0.0,0.0,43.02,43.02,43.02,6.7650389767805414,0.015907646430017408,0,0.0
2024-01-01 13:00:00,0.0,0.0,44.29,44.29,44.29,6.739336627357174,-0.0054661818895720415,0,0.0
2024-01-01 14:00:00,0.0,0.0,46.24,46.24,46.24,6.7357800142423265,0.02469386836621723,0,0.0
2024-01-01 15:00:00,0.0,0.0,50.61,50.61,50.61,6.74993119378857,0.04647289413647204,0,0.0
2024-01-01 16:00:00,0.0,0.0,59.47,59.47,59.47,6.748759547491679,0.08152538677578569,0,0.0
2024-01-01 17:00:00,0.0,0.0,64.99,64.99,64.99,6.728628613084702,0.091466950289119,0,0.0
2024-01-01 18:00:00,0.0,0.0,61.74,61.74,61.74,6.721425700790643,0.11645498709422064,0,0.0
2024-01-01 19:00:00,0.0,0.0,55.07,55.07,55.07,6.709304340258298,0.10552931193993853,0,0.0
2024-01-01 20:00:00,0.0,0.0,48.01,48.01,48.01,6.688354713946762,0.10046474030837249,0,0.0
2024-01-01 21:00:00,0.0,0.0,44.01,44.01,44.01,6.658011045870748,0.09858773352116845,0,0.0
2024-01-01 22:00:00,0.0,0.0,45.2,45.2,45.2,6.634633357861686,0.127186912173479,0,0.0
2024-01-01 23:00:00,0.0,0.0,38.0,38.0,38.0,6.625392368007956,0.13248250711446197,0,0.0
2024-01-02 00:00:00,0.0,0.0,38.0,38.0,38.0,6.688354713946762,0.0967057456740461,0,0.0
2024-01-02 01:00:00,0.0,0.0,33.56,33.56,33.56,6.658011045870748,0.1086987630444316,0,0.0
2024-01-02 02:00:00,0.0,0.0,32.03,32.03,32.03,6.645090969505644,0.09173296804223607,0,0.0
2024-01-02 03:00:00,0.0,0.0,32.29,32.29,32.29,6.610696044717759,0.08905504804451247,0,0.0
2024-01-02 04:00:00,0.0,0.0,36.7,36.7,36.7,6.6039438246004725,0.10622134305890363,0,0.0
2024-01-02 05:00:00,0.0,0.0,41.72,41.72,41.72,6.591673732008658,0.10506899662818014,0,0.0
2024-01-02 06:00:00,0.0,0.0,49.18,49.18,49.18,6.591673732008658,0.10072314454745346,0,0.0
2024-01-02 07:00:00,0.0,0.0,58.75,58.75,58.75,6.590301048196686,0.09680908067300287,0,0.0
2024-01-02 08:00:00,0.0,0.0,65.67,65.67,65.67,6.595780513961311,0.111576211443416,0,0.0
2024-01-02 09:00:00,0.0,0.0,66.11,66.11,66.11,6.602587892189336,0.11542449848714487,0,0.0
