quantile,type,variable,value,se,pval,stars
.95,coef,netexch_se2,-5.22260532647e-06,9.12026755717e-07,1.02600545837e-08,***
.95,coef,ar_L1,1.154461605247553,.0077416726894477,0,***
.95,coef,ar_L2,-.1830565407838481,.0078705421218541,0,***
.99,fit,N,96374,,,
.99,fit,pseudo_r2,-2.012486745485889,,,
.99,lbq,L24,311593.1681494744,,0,***
.99,coef,_cons,.5786736275554365,.0552221708028239,0,***
.99,coef,wind_log,-.016726690151183,.0033245404345506,4.87218760670e-07,***
.99,coef,hydro_log_ds,-.0038195865533713,.0184993912710296,.8364230686131349,
.99,coef,consump_log_ds,.2890864243488657,.054966778661864,1.44609883179e-07,***
.99,coef,oil_log,-.0769028425921749,.0174900358275345,.0000109781767046,***
.99,coef,gas_log,.0025358370869309,.0071457710093888,.7226851673384174,
.99,coef,netexch_fi,-.000021070223147,6.48845295942e-06,.0011648848951988,***
.99,coef,netexch_no4,.0000125614095168,.0000109326637081,.2505643193526783,
.99,coef,netexch_se2,-4.65705694158e-06,5.07410261992e-06,.3587188809567339,
.99,coef,ar_L1,1.113062791756431,.0452330825088934,0,***
.99,coef,ar_L2,-.255391657554926,.0455236572580895,2.02225445278e-08,***
