quantile,type,variable,value,se,pval,stars
.1,fit,N,96374,,,
.1,fit,pseudo_r2,-4.348158808165441,,,
.1,lbq,L24,4351.35277795336,,0,***
.1,coef,_cons,-.1010165865330459,.0064545788851781,0,***
.1,coef,wind_log,-.0002031568976213,.0003806791817825,.593570161750804,
.1,coef,hydro_log_ds,-.0074426904256315,.001629625851829,4.94480218949e-06,***
.1,coef,consump_log_ds,.0054431471303262,.0048774265983938,.2644274839872165,
.1,coef,oil_log,.0136314516419096,.0019769391191989,5.37769828668e-12,***
.1,coef,gas_log,-.0018015123650691,.000783031896411,.0214092528283798,**
.1,coef,netexch_no3,-3.40745509991e-06,7.79533189941e-07,.0000123594864352,***
.1,coef,netexch_no4,1.82490947679e-06,1.48219212544e-06,.2182393600423609,
.1,coef,netexch_se1,8.95324222084e-06,6.09746012750e-07,0,***
.1,coef,netexch_se3,1.52244669169e-06,2.97959601333e-07,3.22885666870e-07,***
.1,coef,ar_L1,1.146573066207567,.0019054217951586,0,***
.1,coef,ar_L2,-.1914929036062593,.0016972887885313,0,***
.25,fit,N,96374,,,
.25,fit,pseudo_r2,-5.220537885806199,,,
.25,lbq,L24,3852.151652300884,,0,***
.25,coef,_cons,-.0412864499752619,.0032415604035,0,***
.25,coef,wind_log,-.0003355624038863,.0002010878628688,.0951698611777401,*
.25,coef,hydro_log_ds,-.0014826281370541,.0008635568854854,.0860001281924381,*
.25,coef,consump_log_ds,.0018978216336845,.0024314517463072,.4350788306217648,
.25,coef,oil_log,.0061486748921309,.0009917992644324,5.66372504451e-10,***
.25,coef,gas_log,-.0008301784707987,.0004004444759007,.0381590176729907,**
.25,coef,netexch_no3,-1.87871041817e-06,3.67437724665e-07,3.17076211287e-07,***
.25,coef,netexch_no4,-8.15512540099e-07,9.37435804626e-07,.3843334064740456,
.25,coef,netexch_se1,4.44593428283e-06,3.05028299521e-07,0,***
.25,coef,netexch_se3,7.35559571109e-07,1.44190829255e-07,3.37342040968e-07,***
.25,coef,ar_L1,1.204878316053412,.0016397568313158,0,***
.25,coef,ar_L2,-.2267896421140102,.001651809017052,0,***
.5,fit,N,96374,,,
.5,fit,pseudo_r2,-5.706634391419934,,,
.5,lbq,L24,4234.520044538942,,0,***
.5,coef,_cons,.0036039629016858,.0022783288793347,.1136849837509586,
.5,coef,wind_log,-.0006774236758855,.0001416872856915,1.74322727675e-06,***
.5,coef,hydro_log_ds,-.0021275929943861,.000586403406057,.00028539630252,***
.5,coef,consump_log_ds,.0027789775894801,.0017029637744654,.1027115651255575,
.5,coef,oil_log,.0010418986001085,.0006951283223562,.1339104916749478,
.5,coef,gas_log,-.0003932602780314,.00028113407624,.1618623693550649,
.5,coef,netexch_no3,3.62061058197e-07,2.55658636111e-07,.1567200497272427,
.5,coef,netexch_no4,5.96992088576e-07,7.03400461108e-07,.3960354931602734,
.5,coef,netexch_se1,2.58379539549e-06,2.19882055450e-07,0,***
.5,coef,netexch_se3,5.16128793887e-07,1.06464817206e-07,1.24787040590e-06,***
.5,coef,ar_L1,1.222386375771058,.0012859027092506,0,***
.5,coef,ar_L2,-.2333120139113891,.0012665464227105,0,***
.75,fit,N,96374,,,
.75,fit,pseudo_r2,-5.342090718280373,,,
.75,lbq,L24,4398.96780101941,,0,***
.75,coef,_cons,.0402543870601642,.0027558846900528,0,***
.75,coef,wind_log,-.0013659501493776,.0001636016593441,0,***
.75,coef,hydro_log_ds,-.0037286829550777,.0006771397332298,3.65998023000e-08,***
.75,coef,consump_log_ds,.0050584129544283,.0019844422868596,.0108021441470043,**
.75,coef,oil_log,-.0018250413953765,.0008358256653334,.0289975959600846,**
.75,coef,gas_log,-.0003474512232602,.0003369039245326,.3023970888795855,
.75,coef,netexch_no3,2.62815171791e-06,2.35922259165e-07,0,***
.75,coef,netexch_no4,5.76751784949e-07,6.78016643303e-07,.3949663239215866,
.75,coef,netexch_se1,2.05832870484e-06,2.57967562077e-07,1.55431223448e-15,***
.75,coef,netexch_se3,5.63662973280e-07,1.20813056521e-07,3.07747817385e-06,***
.75,coef,ar_L1,1.194871492036442,.0011512323593358,0,***
.75,coef,ar_L2,-.2042434381630824,.0011283733765186,0,***
.9,fit,N,96374,,,
.9,fit,pseudo_r2,-4.292168840170345,,,
.9,lbq,L24,4183.035648764083,,0,***
.9,coef,_cons,.087931940490866,.0058328601956746,0,***
.9,coef,wind_log,-.0044618434284462,.0003652448619916,0,***
.9,coef,hydro_log_ds,-.0076484022055838,.0014287534404442,8.64124849453e-08,***
.9,coef,consump_log_ds,.0166657297022285,.0040199125908771,.0000338638105295,***
.9,coef,oil_log,-.0041465438311265,.0017547843761997,.0181279943441763,**
.9,coef,gas_log,.0014541107883377,.0006956538965113,.0365927371854775,**
.9,coef,netexch_no3,6.36113211840e-06,6.56325395968e-07,0,***
.9,coef,netexch_no4,3.13484645505e-06,2.21555023353e-06,.1570892905601928,
.9,coef,netexch_se1,1.45624488740e-06,5.54790238449e-07,.0086685435700116,***
.9,coef,netexch_se3,5.89282333768e-08,2.50489888476e-07,.8140131910790214,
.9,coef,ar_L1,1.173560350746364,.0034866844774109,0,***
.9,coef,ar_L2,-.1894805247881798,.0034962900983569,0,***
.95,fit,N,96374,,,
.95,fit,pseudo_r2,-3.505580843081551,,,
.95,lbq,L24,4340.878489505544,,0,***
.95,coef,_cons,.173540585269181,.0144161980115317,0,***
.95,coef,wind_log,-.0093028600507028,.0008391525800873,0,***
.95,coef,hydro_log_ds,-.0163937431727811,.0029774017806985,3.66960279941e-08,***
.95,coef,consump_log_ds,.0401972104571267,.0088994924939639,6.27817240750e-06,***
.95,coef,oil_log,-.0147508975380119,.0042168205414078,.0004685697338411,***
.95,coef,gas_log,.0062229971800609,.0014980690802487,.0000326695798092,***
.95,coef,netexch_no3,.0000119980209461,1.32519911493e-06,0,***
.95,coef,netexch_no4,.0000129897640492,5.01013941880e-06,.0095227145048544,***
.95,coef,netexch_se1,-1.00252435716e-06,1.18857716427e-06,.3989679059105191,
.95,coef,netexch_se3,-8.50186896004e-07,5.49342731208e-07,.1217080693289214,
.95,coef,ar_L1,1.153418655415153,.0088574541475648,0,***
.95,coef,ar_L2,-.1893578908356876,.0088757065048323,0,***
.99,fit,N,96374,,,
.99,fit,pseudo_r2,-2.074669124663691,,,
.99,lbq,L24,280090.1505760931,,0,***
.99,coef,_cons,.7348897340010989,.0787234760582077,0,***
.99,coef,wind_log,-.0300601668876712,.004512372097752,2.70639066713e-11,***
.99,coef,hydro_log_ds,-.0184788967397825,.0164937014686549,.2625600381300728,
.99,coef,consump_log_ds,.1250855900892116,.0478301075387878,.0089173622639516,***
.99,coef,oil_log,-.1028863764230351,.0230916340757226,8.36708525154e-06,***
.99,coef,gas_log,.0291603898133829,.0080574542841858,.0002956780179799,***
.99,coef,netexch_no3,.0000330104875538,8.22785224896e-06,.0000601958252944,***
.99,coef,netexch_no4,.0000501974819027,.0000210230189847,.0169523771086011,**
.99,coef,netexch_se1,-9.61715064582e-06,6.92042593609e-06,.1646272501958994,
.99,coef,netexch_se3,-2.55958325404e-06,3.35699843754e-06,.4457844014343813,
.99,coef,ar_L1,1.085643241091567,.0344794183492065,0,***
.99,coef,ar_L2,-.2414024227858879,.0349737656987576,5.11368725142e-12,***
