quantile,type,variable,value,se,pval,stars
.1,fit,N,17513,,,
.1,fit,pseudo_r2,-2.535612876736457,,,
.1,lbq,L24,3133.113513301344,,0,***
.1,coef,_cons,.0475081743283957,.0244481028215679,.0519889307054897,*
.1,coef,wind_log,-.0033789855842708,.0006486729755924,1.89785332561e-07,***
.1,coef,hydro_log_ds,-.0155370119022666,.0027834849955923,2.37965624983e-08,***
.1,coef,consump_log_ds,.0658461760039277,.011195529535809,4.06637590267e-09,***
.1,coef,oil_log,-.0118542669033176,.0052216117640932,.0231935477398941,**
.1,coef,gas_log,-.0052814214538906,.0029491690554713,.0733227004076171,*
.1,coef,netexch_fi,4.86999204894e-06,8.75379831638e-07,2.64735076083e-08,***
.1,coef,netexch_no4,4.40438928831e-06,1.74099241462e-06,.0114122577041695,**
.1,coef,netexch_se2,-6.15563113929e-06,7.53655486274e-07,2.22044604925e-16,***
.1,coef,ar_L1,1.032342539639052,.0065002126756763,0,***
.1,coef,ar_L2,-.1393290296081623,.0047461014746771,0,***
.25,fit,N,17513,,,
.25,fit,pseudo_r2,-3.518104020322405,,,
.25,lbq,L24,521.2743726322961,,6.31835076103e-95,***
.25,coef,_cons,.0458327456647877,.0139837036368934,.0010470004078409,***
.25,coef,wind_log,-.0023846239849495,.0003652201432276,6.60873578084e-11,***
.25,coef,hydro_log_ds,-.0073696018286937,.0016140939198471,4.97634447316e-06,***
.25,coef,consump_log_ds,.0358170749097648,.006686493633934,8.47883245836e-08,***
.25,coef,oil_log,-.0067196087704945,.0029832783841902,.0242954706029632,**
.25,coef,gas_log,-.0062887789928918,.0020600242887477,.002267401483542,***
.25,coef,netexch_fi,1.50433425050e-06,4.95399599145e-07,.0023925659770203,***
.25,coef,netexch_no4,1.72834470037e-06,1.01005718458e-06,.0870561030740182,*
.25,coef,netexch_se2,-3.79777334280e-06,4.61502285918e-07,2.22044604925e-16,***
.25,coef,ar_L1,1.133180599545476,.0058072196188032,0,***
.25,coef,ar_L2,-.1927903694946157,.0054155567092335,0,***
.5,fit,N,17513,,,
.5,fit,pseudo_r2,-4.442040531074748,,,
.5,lbq,L24,534.9103221232543,,9.17216756628e-98,***
.5,coef,_cons,.0388502529420698,.0098162598188717,.0000756606756431,***
.5,coef,wind_log,-.0025533263170347,.0002630656748318,0,***
.5,coef,hydro_log_ds,-.0020714110319572,.001054610339077,.0495129043233142,**
.5,coef,consump_log_ds,.0308747349361619,.004454426075786,4.17132994812e-12,***
.5,coef,oil_log,-.0011660664895429,.0020454360748941,.5686220163268354,
.5,coef,gas_log,-.0062954481235739,.0013952987054204,6.42495028047e-06,***
.5,coef,netexch_fi,-1.44737051870e-06,3.47800196377e-07,.0000316163992247,***
.5,coef,netexch_no4,-8.46873455980e-07,7.06144852666e-07,.2304146540689096,
.5,coef,netexch_se2,-3.95476233928e-06,3.18673650796e-07,0,***
.5,coef,ar_L1,1.133796308079187,.0049584506055372,0,***
.5,coef,ar_L2,-.169128173530778,.0049050861890366,0,***
.75,fit,N,17513,,,
.75,fit,pseudo_r2,-4.861678195585268,,,
.75,lbq,L24,516.2891301696434,,6.87719512322e-94,***
.75,coef,_cons,.0672325747630978,.0129971547739766,2.30527044787e-07,***
.75,coef,wind_log,-.0041604123381182,.0003552476162578,0,***
.75,coef,hydro_log_ds,.0019022645934985,.0013493775575626,.1586179848139988,
.75,coef,consump_log_ds,.0465202040033431,.0057437824974265,4.44089209850e-16,***
.75,coef,oil_log,-.0004461692703382,.0026200105022508,.8647797695126851,
.75,coef,gas_log,-.0091388303191519,.0018836363546333,1.22410367154e-06,***
.75,coef,netexch_fi,-5.87863055246e-06,4.56282422515e-07,0,***
.75,coef,netexch_no4,-5.48189336645e-06,9.23717846507e-07,2.94567747972e-09,***
.75,coef,netexch_se2,-6.41376025069e-06,4.23178255369e-07,0,***
.75,coef,ar_L1,1.146902688592412,.0060906004714594,0,***
.75,coef,ar_L2,-.1784973439631601,.0059685245425245,0,***
.9,fit,N,17513,,,
.9,fit,pseudo_r2,-4.612449401534586,,,
.9,lbq,L24,605.5156327870923,,1.6628819423e-112,***
.9,coef,_cons,.1221612265394686,.0230005143221556,1.08882480143e-07,***
.9,coef,wind_log,-.0082233890156863,.0006423403785819,0,***
.9,coef,hydro_log_ds,.003704141184335,.0021173067481614,.0802117232013062,*
.9,coef,consump_log_ds,.0765893762128885,.0073411110301708,0,***
.9,coef,oil_log,-.0029743380233367,.0048320487729461,.5381956037522209,
.9,coef,gas_log,-.0115494278820376,.0026371968126017,.0000118988262487,***
.9,coef,netexch_fi,-.0000140512943492,6.81919318742e-07,0,***
.9,coef,netexch_no4,-.0000142675983765,1.47551123168e-06,0,***
.9,coef,netexch_se2,-.0000117310293807,6.45849486128e-07,0,***
.9,coef,ar_L1,1.16469761721216,.0106569109859555,0,***
.9,coef,ar_L2,-.1971881866645084,.0104820374553389,0,***
