type,variable,value,se,pval,stars
fit,N,8736,,,
fit,ll,6889.144993006958,,,
fit,AIC,-13720.28998601392,,,
fit,BIC,-13515.10896277236,,,
lbq_std,L24,132.0434400914759,,6.60955675872e-17,***
lbq_sq,L24,159.6998808515478,,5.11532083807e-22,***
coef,_cons,1.278600613172951,.9538164977808596,.1800795750767199,
coef,wind_log,-.1066802298546857,.0116065571911426,0,***
coef,hydro_log_ds,-.4408973541182424,.2876696069115184,.125361659751994,
coef,consump_log_ds,1.185479944326894,.1286991724532963,0,***
coef,oil_log,-.13316294086501,.2930692753439422,.6495599524863644,
coef,gas_log,.0332731469301825,.1460483275919359,.8197839583123527,
coef,netexch_dk1,-.0000588723978882,8.56159424473e-06,6.14108763841e-12,***
coef,netexch_fi,-.0000179788992834,6.44534774382e-06,.0052799570280631,***
coef,netexch_no1,-.0000442989697018,5.30879719247e-06,0,***
coef,netexch_se2,-.0000459249476766,4.88717392519e-06,0,***
coef,netexch_se4,-.0000394052080221,3.87820188252e-06,0,***
coef,dt,.1387735374454168,.0353016136589418,.0000845644268825,***
coef,dt_wind,-.0016176032158301,.0058073867147224,.7805960505233562,
coef,ar_L1,.9521611752338014,.0039752949333859,0,***
coef,ma_L1,.1387163077468857,.0126729757310174,0,***
var_coef,omega,-9.941717045319113,2.271424737056288,.0000120399073538,***
var_coef,arch1,.1616223803586603,.0451300196226269,.0003419398170534,***
var_coef,garch1,.4951800398831957,.1043079656146527,2.06161452510e-06,***
var_coef,het_wind_log,-.0433336209133261,.0459751747664076,.3459142420444878,
var_coef,het_hydro_log_ds,-.0273012642585763,.8278325009444795,.9736911643602291,
var_coef,het_consump_log_ds,-1.540824669881142,.6628719376665869,.0201004196499057,**
var_coef,het_oil_log,.7705981919439137,.7740992230957601,.3195041872140052,
var_coef,het_gas_log,.7217712624386687,.3614317148151303,.0458275490514808,**
var_coef,het_netexch_dk1,-.0000858109983093,.0000972351024868,.3775008075208626,
var_coef,het_netexch_fi,-.0001000781703106,.0000587660903928,.0885696021587026,*
var_coef,het_netexch_no1,.0000962968869921,.000080478563722,.2314807314379801,
var_coef,het_netexch_se2,-.0000130161992732,.0000524498495587,.8040070056210948,
var_coef,het_netexch_se4,.000340601830566,.0000525347618604,8.97015794976e-11,***
var_coef,het_dt_wind,-.0304711241688884,.0217680222379292,.1615698239738466,
var_coef,persistence,.656802420241856,,,
elasticity,wind_normal,-.1066802298546857,,,
elasticity,wind_spike,-.1082978330705158,,,
