type,variable,value,se,pval,stars
fit,N,8736,,,
fit,ll,5380.170381411622,,,
fit,AIC,-10708.34076282324,,,
fit,BIC,-10524.38536267564,,,
lbq_std,L24,134.690102140256,,2.18087140134e-17,***
lbq_sq,L24,203.5753878941376,,2.12207801019e-30,***
coef,_cons,.034080739183343,1.066603395652911,.9745098606252087,
coef,wind_log,-.0581365264441649,.0106588215756629,4.91631275690e-08,***
coef,hydro_log_ds,-.2350091091124443,.195764421555131,.2299572655347517,
coef,consump_log_ds,1.14940823882943,.1304877429862414,0,***
coef,oil_log,.2758080112041617,.3405221464567193,.4179653708976709,
coef,gas_log,-.2155254804500619,.1644102104634233,.1898912722844082,
coef,netexch_dk2,-.0000408771021378,7.70706187683e-06,1.13385331568e-07,***
coef,netexch_ger,-.0000453091288575,.0000103639997472,.0000123237561127,***
coef,netexch_pl,-.0000347995341858,.0000117482558224,.0030554636658844,***
coef,netexch_se3,-1.44489575343e-06,4.08379947498e-06,.7234800562416388,
coef,ar_L1,.9471411446870812,.0040464208782807,0,***
coef,ma_L1,.1726773710358656,.0118522691674903,0,***
var_coef,omega,-8.279855097771339,2.441069190171743,.000694105446877,***
var_coef,arch1,.4799182948469113,.0830138791449616,7.41778483082e-09,***
var_coef,tarch1,-.078271778122825,.0688062144344804,.2553007306008723,
var_coef,garch1,.303631274762103,.0651595371287902,3.16496393671e-06,***
var_coef,het_wind_log,-.0905875018341435,.0360681558438065,.0120197299219382,**
var_coef,het_hydro_log_ds,1.22434274379459,.5279194492068331,.0203850201741209,**
var_coef,het_consump_log_ds,-1.323318935483625,.5757223985651366,.0215312740889884,**
var_coef,het_oil_log,.7848652461255865,.8197688869297786,.3383540038725408,
var_coef,het_gas_log,.6385175588193078,.366069058356378,.081114742516011,*
var_coef,het_netexch_dk2,.0001631606839973,.0000937194914752,.081692838339583,*
var_coef,het_netexch_ger,-.0005416440289905,.0001334064605464,.000049050981076,***
var_coef,het_netexch_pl,-.000175139311056,.0001267210099125,.1669453514787367,
var_coef,het_netexch_se3,-.0004154213315403,.0000440297678665,0,***
var_coef,persistence,.7444136805476018,,,
dist,df,,,,
