type,variable,value,se,pval,stars
fit,N,8736,,,
fit,ll,6887.807209755864,,,
fit,AIC,-13719.61441951173,,,
fit,BIC,-13521.50860396816,,,
lbq_sq_pre,L24,973.9366179879725,,3.0451183651e-190,***
lbq_std,L24,131.3821649164455,,8.71367172224e-17,***
lbq_sq,L24,162.549595626319,,1.49067565267e-22,***
coef,_cons,1.27864295357599,.9506037669475329,.1785977575386235,
coef,wind_log,-.1069086925268013,.0115921801782496,0,***
coef,hydro_log_ds,-.430690526591933,.2858281320258946,.1318577159882277,
coef,consump_log_ds,1.187191077697201,.1289499910195349,0,***
coef,oil_log,-.1295637101638923,.2930433635161222,.6583940307209883,
coef,gas_log,.0290576806742112,.1454357635849255,.8416390711683959,
coef,netexch_dk1,-.0000593855074757,8.57404439681e-06,4.32298641329e-12,***
coef,netexch_fi,-.0000182154352946,6.45592458245e-06,.0047798619877564,***
coef,netexch_no1,-.0000445612417899,5.30912887449e-06,0,***
coef,netexch_se2,-.0000461341871407,4.89170947037e-06,0,***
coef,netexch_se4,-.0000395150557129,3.88839220100e-06,0,***
coef,dt,.1381601089147624,.0355056081610644,.0000997417185571,***
coef,dt_wind,-.0014654359385971,.0058437002442057,.8019904514658878,
coef,ar_L1,.9516192341134637,.0039482464928505,0,***
coef,ma_L1,.139408146740865,.0126599502307562,0,***
var_coef,omega,-10.19249655650554,2.257982165755505,6.36208608662e-06,***
var_coef,arch1,.161300394382373,.0461870455625041,.0004788266873088,***
var_coef,garch1,.494576384947309,.108423832844275,5.07870855126e-06,***
var_coef,het_wind_log,-.0352384369136585,.0458352717251707,.4420084217108142,
var_coef,het_hydro_log_ds,.0158762931226224,.8286397033921964,.9847138941679225,
var_coef,het_consump_log_ds,-1.782396448992774,.6332202320566229,.0048805646428425,***
var_coef,het_oil_log,.8574286843502601,.7695855739185387,.265217674399739,
var_coef,het_gas_log,.675294586128668,.3594036140700072,.0602539175624726,*
var_coef,het_netexch_dk1,-.0000777227115113,.0000961218739834,.4187538595487856,
var_coef,het_netexch_fi,-.0000959180553994,.0000583937693765,.1004641259321435,
var_coef,het_netexch_no1,.0000822758097665,.0000822339860934,.3170644409644146,
var_coef,het_netexch_se2,-.0000152411103387,.0000533944227918,.7753041063408617,
var_coef,het_netexch_se4,.0003394055031969,.0000528201640443,1.31280764037e-10,***
var_coef,persistence,.655876779329682,,,
elasticity,wind_normal,-.1069086925268013,,,
elasticity,wind_spike,-.1083741284653985,,,
