type,variable,value,se,pval,stars
fit,N,8736,,,
fit,ll,9420.101635874476,,,
fit,AIC,-18792.20327174895,,,
fit,BIC,-18622.39828699732,,,
lbq_std,L24,247.6083026446511,,4.91488939700e-39,***
lbq_sq,L24,30.99874316203049,,.1538189237777724,
coef,_cons,.8563970679146662,.7029803847963128,.2231337322783125,
coef,wind_log,-.1489715158260392,.0152773906407733,0,***
coef,hydro_log_ds,.2289192203865272,.176329152500751,.1942016401309727,
coef,consump_log_ds,.4787892982759513,.1245449602319409,.0001208926522538,***
coef,oil_log,-.0449515228037388,.2179584443342936,.8366042565498433,
coef,gas_log,.0342712013304266,.1131889886237804,.7620586077810136,
coef,netexch_no3,-.000058044679018,5.60357830318e-06,0,***
coef,netexch_no4,-.0000581630904989,5.85286237077e-06,0,***
coef,netexch_se1,-.0000538098847234,5.26339421985e-06,0,***
coef,netexch_se3,-.0000496632760535,5.55496227568e-06,0,***
coef,ar_L1,.9450863344118356,.0079238988711682,0,***
coef,ma_L1,.1916718449210484,.0179691635481295,0,***
var_coef,omega,-2.120925118775762,4.036431195309396,.5992734424637813,
var_coef,arch1,.6795809389092804,.0872472375715247,6.66133814775e-15,***
var_coef,garch1,.2125518928468781,.03965367493651,8.31267989998e-08,***
var_coef,het_wind_log,-.826364196305859,.0625877719247926,0,***
var_coef,het_hydro_log_ds,-1.842014486036883,1.130403614712913,.1032031364871293,
var_coef,het_consump_log_ds,5.103762222089404,1.167017605907319,.0000122361158901,***
var_coef,het_oil_log,.9166593047631968,1.387110435929197,.508714352281709,
var_coef,het_gas_log,-.4446196422788057,.6076521858578436,.4643511560196301,
var_coef,het_netexch_no3,.0002861482668994,.0001250223640572,.0220923331460874,**
var_coef,het_netexch_no4,-.0001134411554752,.0002887898154499,.6944556540955784,
var_coef,het_netexch_se1,-.0001813866628211,.0001310462902964,.1663150056400302,
var_coef,het_netexch_se3,-.00004728024485,.0001113087673477,.6710068398146589,
var_coef,persistence,.8921328317561585,,,
