spec_num,spec_id,spec_label,variable,coef,se,pval,stars,obs,ll,aic,bic
4,no_se1,Drop SE1,ma_L1,.1839505793834512,.024238637,3.2196468e-14,***,8736,7087.8003,-14151.601,-14066.698
5,no_se3,Drop SE3,_cons,2.036293757264342,.89805138,.023362262,**,8736,6960.9541,-13897.908,-13813.006
5,no_se3,Drop SE3,wind_log,-.0891567802059178,.015612039,1.1246531e-08,***,8736,6960.9541,-13897.908,-13813.006
5,no_se3,Drop SE3,hydro_log_ds,.07892138330831,.15326323,.60659486,,8736,6960.9541,-13897.908,-13813.006
5,no_se3,Drop SE3,consump_log_ds,.8073828264054408,.1488691,5.8462309e-08,***,8736,6960.9541,-13897.908,-13813.006
5,no_se3,Drop SE3,oil_log,-.549154860507683,.29383919,.06163729,*,8736,6960.9541,-13897.908,-13813.006
5,no_se3,Drop SE3,gas_log,.2450399278977859,.14872187,.099426828,*,8736,6960.9541,-13897.908,-13813.006
5,no_se3,Drop SE3,netexch_no3,-8.99503004411e-06,3.0966498e-06,.0036753265,***,8736,6960.9541,-13897.908,-13813.006
5,no_se3,Drop SE3,netexch_no4,-6.55053701528e-06,5.7848119e-06,.25747967,,8736,6960.9541,-13897.908,-13813.006
5,no_se3,Drop SE3,netexch_se1,.0000176366746789,4.7477956e-06,.00020343839,***,8736,6960.9541,-13897.908,-13813.006
5,no_se3,Drop SE3,ar_L1,.9335283496360547,.007207348,0,***,8736,6960.9541,-13897.908,-13813.006
5,no_se3,Drop SE3,ma_L1,.1843507834433114,.024680465,8.0602192e-14,***,8736,6960.9541,-13897.908,-13813.006
