timestamp,price_ds,wind_log,hydro_log_ds,consump_log_ds,oil_log,gas_log,netexch_no3,netexch_no4,netexch_se1,netexch_se3
2016-09-01 00:00:00,-0.06696630773892576,7.216709486709457,-0.013843755074955055,-0.011567211630699958,3.8318319534187992,2.4379897300002487,-434.0,0.0,271.2,-1113.9
2016-09-01 01:00:00,-0.08805759024735593,7.177782416195197,-0.013843755074955055,-0.025592614777671052,3.832135285743351,2.4379897300002487,-454.9,-93.6,286.1,-940.6
2016-09-01 02:00:00,-0.08400206141751987,7.126087273299125,-0.013843755074955055,-0.028732899895661745,3.8320269633324213,2.4379897300002487,-424.9,-87.1,314.1,-916.3
2016-09-01 03:00:00,-0.03692429971084232,7.049254841255837,-0.013843755074955055,-0.03244106583717432,3.8336073067906242,2.4379897300002487,-337.2,0.0,313.9,-929.8
2016-09-01 04:00:00,0.005675340929349293,6.933423025730715,-0.013843755074955055,-0.035518799097173925,3.8339101011523113,2.4379897300002487,-123.1,0.0,0.0,-702.7
2016-09-01 05:00:00,-0.03495800530269122,6.756932389247553,-0.013843755074955055,-0.04117022944894888,3.8348395395574704,2.4379897300002487,524.3,50.0,0.0,-1537.1
2016-09-01 06:00:00,0.048802667943578015,6.683360945766275,-0.013843755074955055,-0.03242658702470358,3.836242866752159,2.4379897300002487,600.0,50.0,891.0,-3685.1
2016-09-01 07:00:00,0.08314979312283866,6.620073206530356,-0.013843755074955055,-0.027400599145528837,3.8341695662232818,2.4379897300002487,600.0,50.0,1101.5,-5040.7
2016-09-01 08:00:00,0.14053969560723223,6.492239835020471,-0.013843755074955055,0.07941919285894272,3.8341047062667153,2.4379897300002487,600.0,50.0,1104.4,-5563.9
2016-09-01 09:00:00,0.08062296342734143,6.424869023905388,-0.013843755074955055,0.08523147078863147,3.830986470738766,2.4379897300002487,600.0,50.0,1071.3,-5595.1
2016-09-01 10:00:00,0.022511635268276375,6.489204931325317,-0.013843755074955055,0.0634001207744781,3.830878023807166,2.4379897300002487,600.0,50.0,1053.4,-5185.4
2016-09-01 11:00:00,-0.02103593872792242,6.405228458030842,-0.013843755074955055,0.04980167869684138,3.832113622199844,2.4379897300002487,600.0,50.0,1029.3,-4925.3
2016-09-01 12:00:00,-0.06282613123575453,6.530877627725885,-0.013843755074955055,0.03131833034957676,3.828815294411453,2.4379897300002487,597.4,50.0,1016.8,-3945.7
2016-09-01 13:00:00,-0.06009586768902908,6.663132695990803,-0.013843755074955055,0.013858848337235052,3.8267265208060612,2.4379897300002487,582.0,50.0,1014.6,-3915.0
2016-09-01 14:00:00,-0.06735114364494699,6.706862336602747,-0.013843755074955055,0.015758165754346187,3.8256586917751476,2.4379897300002487,549.9,50.0,1006.3,-3493.3
2016-09-01 15:00:00,-0.06898899646995638,6.608000625296087,-0.013843755074955055,0.013628646204439931,3.8282500155617445,2.4379897300002487,593.7,50.0,1002.9,-3579.4
