timestamp,price_ds,wind_log,hydro_log_ds,consump_log_ds,oil_log,gas_log,netexch_fi,netexch_no4,netexch_se2
2024-12-01 00:00:00,0.04465134647821323,4.2626798770413155,0.020980830934549388,-0.0710059137043686,4.22344113555651,3.8803259186848913,-1166.0,0.0,1170.5
2024-12-01 01:00:00,0.0359783222947323,4.51085950651685,0.020980830934549388,-0.0755402970667376,4.22344113555651,3.8803259186848913,-1189.0,0.0,1122.8
2024-12-01 02:00:00,0.03977275813082226,4.663439094112067,0.020980830934549388,-0.07500589936547097,4.22344113555651,3.8803259186848913,-1189.0,0.0,1042.6
2024-12-01 03:00:00,0.04108768449539557,4.836281906951478,0.020980830934549388,-0.07909032795072601,4.22344113555651,3.8803259186848913,-1189.0,0.0,971.6
2024-12-01 04:00:00,0.047501708068387494,5.099866427824199,0.020980830934549388,-0.0809499928677182,4.22344113555651,3.8803259186848913,-1197.0,0.0,904.9
2024-12-01 05:00:00,0.048694424258239444,5.4680601411351315,0.020980830934549388,-0.08759519550443695,4.22344113555651,3.8803259186848913,-1200.0,68.3,767.9
2024-12-01 06:00:00,0.04349287364503063,5.87493073085203,0.020980830934549388,-0.08547172326685715,4.22344113555651,3.8803259186848913,-1200.0,170.5,550.1
2024-12-01 07:00:00,0.05237601368609823,6.2285110035911835,0.020980830934549388,-0.08237825482158456,4.22344113555651,3.8803259186848913,-1199.0,287.7,237.7
2024-12-01 08:00:00,0.05290754649659313,6.54534966033442,0.020980830934549388,-0.07872691578723323,4.22344113555651,3.8803259186848913,-1200.0,235.4,96.8
2024-12-01 09:00:00,0.05571051120770587,6.763884908562435,0.020980830934549388,-0.07439498591247329,4.22344113555651,3.8803259186848913,-1200.0,130.9,0.0
2024-12-01 10:00:00,0.05998443275746901,6.93537044601511,0.020980830934549388,-0.06570878672182978,4.22344113555651,3.8803259186848913,-1200.0,0.0,-9.2
2024-12-01 11:00:00,0.046996325601110556,7.170119543449628,0.020980830934549388,-0.0789835179480125,4.22344113555651,3.8803259186848913,-1184.0,0.0,-142.0
2024-12-01 12:00:00,0.04614847854605131,7.395107546562485,0.020980830934549388,-0.07454334295764564,4.22344113555651,3.8803259186848913,-1111.9,0.0,-372.8
2024-12-01 13:00:00,0.02238257172136837,7.471932078245122,0.020980830934549388,-0.07883296835395992,4.22344113555651,3.8803259186848913,-841.7,-140.6,-505.5
2024-12-01 14:00:00,0.008926266570251862,7.534228326274089,0.020980830934549388,-0.08189998495552242,4.22344113555651,3.8803259186848913,-532.7,-330.2,-700.3
2024-12-01 15:00:00,0.007003834811733611,7.609862200913554,0.020980830934549388,-0.0823002469219638,4.22344113555651,3.8803259186848913,-354.2,-461.6,-891.8
2024-12-01 16:00:00,-0.03296120441070993,7.612336837167746,0.020980830934549388,-0.08853346225399505,4.22344113555651,3.8803259186848913,-74.2,-492.7,-956.8
2024-12-01 17:00:00,-0.04705445666727304,7.652070746116482,0.020980830934549388,-0.09258953338332443,4.22344113555651,3.8803259186848913,414.1,-571.8,-1345.9
2024-12-01 18:00:00,-0.05509721227552511,7.646831391430482,0.020980830934549388,-0.08925382476151977,4.22344113555651,3.8803259186848913,334.1,-708.1,-1201.5
2024-12-01 19:00:00,-0.08721992943882828,7.653494909661253,0.020980830934549388,-0.09966998618662082,4.22344113555651,3.8803259186848913,483.9,-907.2,-1113.7
2024-12-01 20:00:00,-0.06205393711623852,7.653494909661253,0.020980830934549388,-0.10771871292915325,4.22344113555651,3.8803259186848913,823.0,-1067.2,-1303.6
2024-12-01 21:00:00,-0.07226455699561818,7.641084249174914,0.020980830934549388,-0.10673959344754014,4.22344113555651,3.8803259186848913,704.6,-1133.5,-1069.8
2024-12-01 22:00:00,-0.08611156798575781,7.56734567601324,0.020980830934549388,-0.117512237894136,4.22344113555651,3.8803259186848913,843.7,-1148.2,-883.9
2024-12-01 23:00:00,-0.10380656035497005,7.614312146452,0.020980830934549388,-0.1191950227761236,4.22344113555651,3.8803259186848913,1047.0,-1321.8,-984.9
2024-12-02 00:00:00,-0.1036632428739086,7.669495251007694,0.014643983017457174,-0.11952133511833818,4.22344113555651,3.8803259186848913,1037.0,-1557.7,-787.2
