timestamp,price_ds,wind_log,hydro_log_ds,consump_log_ds,oil_log,gas_log,netexch_dk2,netexch_ger,netexch_pl,netexch_se3
2019-01-01 00:00:00,0.03627886785244083,7.1853870155804165,-0.047212019520276094,-0.060567300313895345,3.8169427991778764,3.109060958860994,20.0,-15.0,170.0,300.8
2019-01-01 01:00:00,-0.9349149554993232,7.2078598714324755,-0.047212019520276094,-0.08178358587236101,3.81878866956816,3.109060958860994,436.4,0.0,0.0,140.4
2019-01-01 02:00:00,-0.9419925944356375,7.228388451573604,-0.047212019520276094,-0.09863538076284684,3.8157323451098595,3.109060958860994,495.0,74.2,0.0,120.6
2019-01-01 03:00:00,-1.2603621639127913,7.241366283322318,-0.047212019520276094,-0.12417237897540723,3.822863869108328,3.109060958860994,508.0,74.2,0.0,71.6
2019-01-01 04:00:00,-1.2603621639127913,7.249925536717988,-0.047212019520276094,-0.15068723285188845,3.822207701105782,3.109060958860994,537.0,74.2,0.0,8.2
2019-01-01 05:00:00,-1.2603621639127913,7.257707677160043,-0.047212019520276094,-0.18136506630710603,3.8246115484171765,3.109060958860994,596.0,74.2,115.1,-342.2
2019-01-01 06:00:00,-0.28858306785098664,7.254884810077338,-0.047212019520276094,-0.26728583455382626,3.822557710953382,3.109060958860994,651.0,74.2,36.8,-226.7
2019-01-01 07:00:00,0.03582816568642189,7.2640301428995295,-0.047212019520276094,-0.33634196761239643,3.826857197055839,3.109060958860994,719.0,74.2,107.6,-278.7
2019-01-01 08:00:00,-0.03537939730156925,7.2640301428995295,-0.047212019520276094,-0.33747721508563977,3.831571881030519,3.109060958860994,794.0,74.2,0.0,-166.4
2019-01-01 09:00:00,-0.5468842233229294,7.262628600974241,-0.047212019520276094,-0.3253950716774705,3.8318969609488613,3.109060958860994,896.0,74.2,316.0,-876.5
2019-01-01 10:00:00,-0.2752541528795316,7.251344983372214,-0.047212019520276094,-0.30791367727847074,3.8287500862343244,3.109060958860994,798.0,74.2,282.0,-584.6
2019-01-01 11:00:00,-0.6615215257418439,7.2485040723706105,-0.047212019520276094,-0.28537225764729346,3.8235196068367427,3.109060958860994,826.0,74.2,291.0,-558.7
2019-01-01 12:00:00,-0.5809880316876095,7.215239978730097,-0.047212019520276094,-0.26463975774647075,3.832221935224591,3.109060958860994,941.0,74.2,332.0,-645.9
2019-01-01 13:00:00,-0.7504580442556468,7.197435354096591,-0.047212019520276094,-0.23929805051109376,3.8360270984002236,3.109060958860994,943.0,74.2,333.0,-620.3
2019-01-01 14:00:00,-0.49338225224340126,7.187657164114956,-0.047212019520276094,-0.23559431305489031,3.8246115484171765,3.109060958860994,946.0,74.2,334.0,-530.7
2019-01-01 15:00:00,-0.08337995223586248,7.155396301896734,-0.047212019520276094,-0.20960578370067928,3.8179320820285505,3.109060958860994,1000.0,74.2,353.0,-362.9
2019-01-01 16:00:00,-0.22920186803058362,7.1308988302963465,-0.047212019520276094,-0.14158355855907612,3.807772984054347,3.109060958860994,1014.0,74.2,293.9,-41.1
2019-01-01 17:00:00,-0.23090107573760932,7.1252830915107115,-0.047212019520276094,-0.12772682021816806,3.8125341069274037,3.109060958860994,1015.0,74.2,260.0,68.7
2019-01-01 18:00:00,-0.21813616514252798,7.126087273299125,-0.047212019520276094,-0.11118196508066802,3.816062614282235,3.109060958860994,887.0,74.2,181.5,267.8
2019-01-01 19:00:00,-0.13507190709557815,7.1372784372603855,-0.047212019520276094,-0.10590983858235248,3.8158424469541767,3.109060958860994,772.0,74.2,46.3,416.9
2019-01-01 20:00:00,0.14533314875742542,7.175489713624222,-0.047212019520276094,-0.09634057528467466,3.8208940720170443,3.109060958860994,633.0,74.2,223.0,230.1
2019-01-01 21:00:00,0.06403512515924792,7.189922170745808,-0.047212019520276094,-0.09379788032137082,3.8239565265596953,3.109060958860994,630.0,74.2,222.0,56.9
2019-01-01 22:00:00,-0.29026175245318697,7.200424892944957,-0.047212019520276094,-0.07585240553200112,3.824393255467172,3.109060958860994,554.0,74.2,196.0,243.9
2019-01-01 23:00:00,-1.2603621639127913,7.205635176410364,-0.047212019520276094,-0.05434155954274722,3.8244352385815694,3.109060958860994,495.0,74.2,175.0,152.3
2019-01-02 00:00:00,-1.2603621639127913,7.213031659834869,-0.047212019520276094,-0.15620052877771595,3.8244772199334593,3.109060958860994,454.0,74.2,160.0,-44.1
2019-01-02 01:00:00,-1.2603621639127913,7.214504414151143,-0.047212019520276094,-0.14949283777805622,3.824519199522989,3.109060958860994,472.0,74.2,167.0,-123.2
2019-01-02 02:00:00,-1.2603621639127913,7.217443431696533,-0.047212019520276094,-0.14278266859161626,3.8245611773503065,3.109060958860994,469.0,74.2,166.0,-106.9
2019-01-02 03:00:00,-1.2603621639127913,7.213031659834869,-0.047212019520276094,-0.13339788317048562,3.8246031534155605,3.109060958860994,594.0,74.2,210.0,-202.1
2019-01-02 04:00:00,-0.7218530432930623,7.20934025660291,-0.047212019520276094,-0.13363688317503453,3.824645127718898,3.109060958860994,676.0,74.2,239.0,-197.0
2019-01-02 05:00:00,-0.18772318382114905,7.195937226475569,-0.047212019520276094,-0.1281342675607977,3.8246871002604674,3.109060958860994,780.0,74.2,275.0,0.0
2019-01-02 06:00:00,-0.26497975883124125,7.1770187659099,-0.047212019520276094,-0.14062515035391243,3.8247290710404167,3.109060958860994,922.0,74.2,325.0,-109.1
2019-01-02 07:00:00,-0.30989420177296845,7.160069207596127,-0.047212019520276094,-0.14013123415365136,3.8247710400588932,3.109060958860994,1007.0,74.2,356.0,411.1
2019-01-02 08:00:00,-0.3547151199184042,7.142827401161621,-0.047212019520276094,-0.10608809902391947,3.8248130073160453,3.109060958860994,1078.0,74.2,96.8,792.3
2019-01-02 09:00:00,-0.29356895412964557,7.1252830915107115,-0.047212019520276094,-0.08920623746707079,3.824854972812021,3.109060958860994,629.3,0.0,0.0,1460.3
2019-01-02 10:00:00,-0.2732356083245211,7.113142108707088,-0.047212019520276094,-0.07799384843415247,3.8248969365469674,3.109060958860994,1183.0,74.2,0.0,918.5
2019-01-02 11:00:00,-0.29020380852956507,7.105786129481271,-0.047212019520276094,-0.07804725419587122,3.8249388985210326,3.109060958860994,1166.0,74.2,0.0,939.1
2019-01-02 12:00:00,-0.2429863088983728,7.095893221097532,-0.047212019520276094,-0.07833217349707411,3.8249808587343646,3.109060958860994,1013.2,74.2,0.0,1034.3
2019-01-02 13:00:00,-0.22663869808138637,7.074963197966044,-0.047212019520276094,-0.081656967551476,3.825022817187111,3.109060958860994,1227.0,74.2,27.6,768.9
2019-01-02 14:00:00,-0.21533605185251004,7.05444965813294,-0.047212019520276094,-0.07335207266702781,3.825064773879419,3.109060958860994,950.5,74.2,0.0,1095.2
2019-01-02 15:00:00,-0.17746148904543402,7.027314514039777,-0.047212019520276094,-0.05968957659263552,3.8251067288114373,3.109060958860994,-382.9,-106.0,-111.5,2853.7
2019-01-02 16:00:00,-0.18105793396809222,6.9957661563048505,-0.047212019520276094,-0.047494589275373755,3.825148681983313,3.109060958860994,-1300.0,-0.6,-585.0,4303.4
2019-01-02 17:00:00,-0.19975927832236096,6.934397209928558,-0.047212019520276094,-0.04519707114298299,3.825190633395194,3.109060958860994,-1300.0,-435.8,-586.7,4816.1
2019-01-02 18:00:00,-0.19287631857998733,6.899723107284872,-0.047212019520276094,-0.028975431804218132,3.8252325830472276,3.109060958860994,-1001.3,-615.0,-364.5,4468.7
2019-01-02 19:00:00,-0.10392268664076543,6.84587987526405,-0.047212019520276094,-0.03296829467636364,3.825274530939562,3.109060958860994,-1136.8,-615.0,-234.5,4416.5
2019-01-02 20:00:00,-0.09637558449154726,6.805722553416985,-0.047212019520276094,-0.03774793892596762,3.8253164770723442,3.109060958860994,-1095.6,-615.0,-23.6,4089.2
2019-01-02 21:00:00,-0.04665415971882192,6.71901315438526,-0.047212019520276094,-0.02986132410148734,3.825358421445723,3.109060958860994,-991.8,-615.0,314.0,3154.5
2019-01-02 22:00:00,-0.006774322696024626,6.670766320845874,-0.047212019520276094,-0.020909188783859278,3.825400364059844,3.109060958860994,-1284.5,-615.0,289.0,3359.3
2019-01-02 23:00:00,0.08909594753368699,6.641182169740591,-0.047212019520276094,-0.009621977733168308,3.8254423049148567,3.109060958860994,0.0,-15.0,252.0,1382.2
2019-01-03 00:00:00,0.05320839963761115,6.610696044717759,-0.047212019520276094,-0.023665662413309363,3.8254842440109074,3.109060958860994,708.0,255.7,250.0,275.9
2019-01-03 01:00:00,0.08361889709836667,6.586171654854675,-0.047212019520276094,-0.02348555272780839,3.8250479914137387,3.109060958860994,771.0,278.2,272.0,96.3
2019-01-03 02:00:00,0.06776309028506544,6.568077911411976,-0.047212019520276094,-0.022722259332060624,3.8169427991778764,3.109060958860994,611.2,289.9,283.0,214.9
2019-01-03 03:00:00,0.08024444262883579,6.548219102762372,-0.047212019520276094,-0.02058873096469771,3.812755003769477,3.109060958860994,456.6,301.6,294.0,332.7
2019-01-03 04:00:00,0.07058506621055827,6.522092798170152,-0.047212019520276094,-0.025301424009803952,3.808993105108602,3.109060958860994,544.5,289.9,283.0,362.1
2019-01-03 05:00:00,0.007479169477019987,6.466144724237619,-0.047212019520276094,-0.033009251040143184,3.8056619894367363,3.109060958860994,818.0,295.7,289.0,236.8
2019-01-03 06:00:00,-0.07636696292518685,6.411818267709897,-0.047212019520276094,-0.06307084666367935,3.8003090157981445,3.109060958860994,860.0,0.0,301.3,1193.6
