timestamp,price_ds,wind_log,hydro_log_ds,consump_log_ds,oil_log,gas_log,netexch_no3,netexch_no4,netexch_se1,netexch_se3
2018-01-01 00:00:00,0.2651985951154483,6.486160788944089,0.12225438658463617,0.0154623242271974,4.0977554053441825,2.960726664355176,-1000.0,-250.0,-5.0,0.0
2018-01-01 01:00:00,0.3099735857506496,6.532334292222349,0.12225438658463617,0.021571879193175825,4.0977554053441825,2.960726664355176,-1000.0,-208.1,0.0,136.6
2018-01-01 02:00:00,0.33444225251778725,6.634633357861686,0.12225438658463617,0.02176095821840196,4.0977554053441825,2.960726664355176,-1000.0,-188.9,0.0,173.5
2018-01-01 03:00:00,0.25722403832941865,6.648984550024776,0.12225438658463617,-0.008677995924352366,4.0977554053441825,2.960726664355176,-1000.0,-250.0,-189.6,462.8
2018-01-01 04:00:00,0.18402545786344238,6.669498089857879,0.12225438658463617,-0.0403833594471088,4.0977554053441825,2.960726664355176,-1000.0,-250.0,-421.0,699.5
2018-01-01 05:00:00,-0.2524400977218728,6.706862336602747,0.12225438658463617,-0.06513101105447117,4.0977554053441825,2.960726664355176,-1000.0,-250.0,-236.6,494.3
2018-01-01 06:00:00,-0.3354958542775921,6.733401891837359,0.12225438658463617,-0.13601946098817397,4.0977554053441825,2.960726664355176,-1000.0,-250.0,24.3,430.1
2018-01-01 07:00:00,-0.438560546132694,6.734591659972948,0.12225438658463617,-0.2140482764384286,4.0977554053441825,2.960726664355176,-1000.0,-250.0,0.0,-65.0
2018-01-01 08:00:00,-0.3717498962855723,6.703188113240863,0.12225438658463617,-0.2063354195013023,4.0977554053441825,2.960726664355176,-1000.0,-250.0,0.0,-191.9
2018-01-01 09:00:00,-0.32192412822205885,6.710523109452428,0.12225438658463617,-0.19490830670879955,4.0977554053441825,2.960726664355176,-1000.0,-250.0,0.0,-393.4
2018-01-01 10:00:00,-0.14631746989046102,6.710523109452428,0.12225438658463617,-0.15106734268405653,4.0977554053441825,2.960726664355176,-1000.0,-250.0,-0.1,-833.1
2018-01-01 11:00:00,-0.10630107554281087,6.647688373563329,0.12225438658463617,-0.1366778980836676,4.0977554053441825,2.960726664355176,-1000.0,-250.0,0.0,-862.1
2018-01-01 12:00:00,-0.14233225440038932,6.608000625296087,0.12225438658463617,-0.11944676816623812,4.0977554053441825,2.960726664355176,-1000.0,-250.0,0.0,-1274.8
2018-01-01 13:00:00,-0.09308117037592245,6.54534966033442,0.12225438658463617,-0.10617547110293302,4.0977554053441825,2.960726664355176,-1000.0,-250.0,0.0,-1281.9
2018-01-01 14:00:00,-0.06515973612965453,6.461468176353717,0.12225438658463617,-0.09495352564225357,4.0977554053441825,2.960726664355176,-1000.0,-250.0,0.0,-1305.2
2018-01-01 15:00:00,-0.03502903099270327,6.42648845745769,0.12225438658463617,-0.07793270660080598,4.0977554053441825,2.960726664355176,-1000.0,-250.0,0.0,-1361.4
2018-01-01 16:00:00,-0.06035050346342219,6.352629396319567,0.12225438658463617,-0.07960861458200963,4.0977554053441825,2.960726664355176,-1000.0,-250.0,0.0,-1347.0
2018-01-01 17:00:00,-0.10290772066750087,6.333279628139691,0.12225438658463617,-0.06645417666714781,4.0977554053441825,2.960726664355176,-854.8,0.0,0.0,-1901.5
2018-01-01 18:00:00,-0.07727823093582842,6.257667587882639,0.12225438658463617,-0.06267253207266155,4.0977554053441825,2.960726664355176,-1000.0,-81.6,0.0,-1729.8
2018-01-01 19:00:00,-0.02949249738540649,6.154858094016418,0.12225438658463617,-0.05682673845503228,4.0977554053441825,2.960726664355176,-1000.0,-250.0,0.0,-1521.2
2018-01-01 20:00:00,0.023830812433233817,6.056784013228625,0.12225438658463617,-0.05313603203061046,4.0977554053441825,2.960726664355176,-1000.0,-250.0,0.0,-1372.9
2018-01-01 21:00:00,0.06199799648137194,5.978885764901122,0.12225438658463617,-0.05335351434468727,4.0977554053441825,2.960726664355176,-1000.0,-250.0,0.0,-1359.5
2018-01-01 22:00:00,0.09221581376599897,5.8944028342648505,0.12225438658463617,-0.05814798917455288,4.0977554053441825,2.960726664355176,-999.9,-250.0,0.0,-1248.3
2018-01-01 23:00:00,0.11338108917779399,5.840641657373398,0.12225438658463617,-0.05128692626456388,4.0977554053441825,2.960726664355176,-1000.0,-250.0,0.0,-552.3
2018-01-02 00:00:00,-0.1635272323180792,5.746203190540153,0.12225438658463617,-0.06010518629966999,4.0977554053441825,2.960726664355176,-1000.0,-250.0,-215.2,418.1
2018-01-02 01:00:00,-0.2138059904226468,5.655991810819852,0.12225438658463617,-0.06868085329172757,4.0977554053441825,2.960726664355176,-1000.0,-250.0,-248.2,656.4
