timestamp,price_ds,wind_log,consump_log_ds,net_exchange
2021-01-01 00:00:00,0.08894935295572415,5.5254529391317835,-0.12611585973396,-4529.0
2021-01-01 01:00:00,0.06298158504816431,5.537334267018537,-0.12068487238133496,-4553.0
2021-01-01 02:00:00,0.05176944287473706,5.594711379601839,-0.12744444145229927,-4580.0
2021-01-01 03:00:00,0.02382524894893301,5.69035945432406,-0.149015974592146,-4586.2
2021-01-01 04:00:00,-0.03427456749963831,5.780743515792329,-0.16325638154602373,-4632.6
2021-01-01 05:00:00,-0.08924499934234165,5.855071922202427,-0.18967523301930456,-4718.6
2021-01-01 06:00:00,-0.14333051563540566,5.8971538676367405,-0.23037432476379394,-4593.9
2021-01-01 07:00:00,-0.20252643414299198,5.883322388488279,-0.2679237900886573,-4529.2
2021-01-01 08:00:00,-0.2819416440453395,5.8377304471659395,-0.25841153951878315,-4487.5
2021-01-01 09:00:00,-0.2721657798960786,5.823045895483019,-0.22837469484753292,-4503.6
2021-01-01 10:00:00,-0.26073466525236544,5.840641657373398,-0.21892720284496736,-4694.8
2021-01-01 11:00:00,-0.22161473771867124,5.802118375377063,-0.21098475410447914,-4713.1
2021-01-01 12:00:00,-0.185475294557238,5.739792912179234,-0.21812602789307967,-4805.1
2021-01-01 13:00:00,-0.19090931954553447,5.69035945432406,-0.1797400643228908,-4781.5
2021-01-01 14:00:00,-0.14640497475756797,5.662960480135946,-0.17548249493406232,-4769.1
2021-01-01 15:00:00,-0.08541124018493695,5.631211781821365,-0.1319279573374006,-4725.7
2021-01-01 16:00:00,-0.05364683130458214,5.579729825986222,-0.1344212058774783,-4702.0
2021-01-01 17:00:00,-0.06318821780238038,5.537334267018537,-0.13443061277426427,-4687.2
2021-01-01 18:00:00,-0.06971388866607153,5.5053315359323625,-0.1375150062203181,-4692.9
2021-01-01 19:00:00,-0.013507447832749264,5.4680601411351315,-0.1252233132409888,-4676.5
2021-01-01 20:00:00,0.03595662414499934,5.420534999272286,-0.11612541212701277,-4649.3
2021-01-01 21:00:00,0.05734665684066531,5.393627546352362,-0.10389624035998413,-4672.3
2021-01-01 22:00:00,0.06768757258780722,5.384495062789089,-0.1116136253061697,-4646.5
2021-01-01 23:00:00,0.11314735424765487,5.407171771460119,-0.11174768605731966,-4612.9
2021-01-02 00:00:00,-0.3221146096253551,5.298317366548036,-0.08251828797596605,-4376.4
2021-01-02 01:00:00,-0.3122189183911015,5.332718793265369,-0.08182153948135529,-4506.3
2021-01-02 02:00:00,-0.28735526664985356,5.337538079701318,-0.09374403632732875,-4462.9
2021-01-02 03:00:00,-0.3027759736637492,5.308267697401205,-0.08626533835509242,-4473.4
2021-01-02 04:00:00,-0.3210703060537572,5.3230099791384085,-0.08351669300369924,-4464.1
2021-01-02 05:00:00,-0.3127206677379095,5.327876168789581,-0.08368310376165944,-4433.6
2021-01-02 06:00:00,-0.2905826647768954,5.327876168789581,-0.07029404347252566,-4336.5
2021-01-02 07:00:00,-0.35114952832595225,5.3230099791384085,-0.0756452247892545,-4202.1
2021-01-02 08:00:00,-0.3873405974638211,5.298317366548036,-0.06696339264599338,-4291.8
2021-01-02 09:00:00,-0.46873369554343247,5.247024072160486,-0.06260524104282261,-4375.2
2021-01-02 10:00:00,-0.44508549207892356,5.19295685089021,-0.055912155149552056,-4319.3
2021-01-02 11:00:00,-0.41121386510193236,5.187385805840755,-0.050822363834570616,-4417.8
2021-01-02 12:00:00,-0.4229941316666648,5.225746673713202,-0.04655860319127836,-4446.4
2021-01-02 13:00:00,-0.4211658122037236,5.298317366548036,-0.047923237967988364,-4496.6
2021-01-02 14:00:00,-0.3745364505484319,5.4116460518550396,-0.05417884264771278,-4506.0
2021-01-02 15:00:00,-0.09142995336352211,5.537334267018537,-0.051234315775039896,-4657.6
2021-01-02 16:00:00,0.2115424530625747,5.666426688112432,-0.054624596373574974,-4682.8
2021-01-02 17:00:00,0.2042432993120844,5.7430031878094825,-0.06042235464822099,-4711.7
2021-01-02 18:00:00,0.21272791326647056,5.8289456176102075,-0.0602927897094494,-4763.3
2021-01-02 19:00:00,-0.3837368319105794,5.910796644040527,-0.05230353727330961,-4646.5
2021-01-02 20:00:00,-0.4088342034802479,5.981414211254481,-0.051112922665859095,-4687.7
2021-01-02 21:00:00,-0.3874684550661933,6.056784013228625,-0.043356185307128925,-4723.4
2021-01-02 22:00:00,-0.3727477263257635,6.104793232414985,-0.04502503738827457,-4728.6
2021-01-02 23:00:00,-0.32116560272106254,6.175867270105761,-0.04578879075567155,-4581.0
2021-01-03 00:00:00,-0.2468803108840132,6.246106765481563,-0.020497814676400772,-4150.7
2021-01-03 01:00:00,-0.19579741189145672,6.335054251498059,-0.008578510572932352,-4230.3
2021-01-03 02:00:00,-0.2108655743985577,6.396929655216146,-0.009084559103182954,-4212.9
2021-01-03 03:00:00,-0.13487571634159012,6.46302945692067,-0.004267971861679598,-4280.7
2021-01-03 04:00:00,-0.12432461021087571,6.546785410760524,-0.004974548701827786,-4400.6
2021-01-03 05:00:00,-0.18677015757300763,6.6240652277998935,0.0006831691395152717,-4447.6
2021-01-03 06:00:00,-0.17181293556686095,6.672032945461067,0.014403896226856894,-4711.5
2021-01-03 07:00:00,-0.24926039505982,6.699500340161678,0.009342947403186308,-4684.9
2021-01-03 08:00:00,-0.34110653312164896,6.736966958001855,-0.0006579410443174893,-4713.8
2021-01-03 09:00:00,-0.37959749683918176,6.796823718274855,0.0026040326936911384,-4842.2
2021-01-03 10:00:00,-0.37761071023834347,6.841615476477592,0.011354354003487721,-5062.6
