timestamp,price_ds,wind_log,hydro_log_ds,consump_log_ds,oil_log,gas_log,netexch_no3,netexch_no4,netexch_se1,netexch_se3
2017-01-01 00:00:00,-0.1793300421405748,7.00669522683704,0.10456200884478228,-0.1677906589767506,3.9889840465642745,2.9041650800285006,-960.0,-250.0,-356.0,1068.2
2017-01-01 01:00:00,-0.15874945028646614,6.879355804460439,0.10456200884478228,-0.16283691348552232,3.9889840465642745,2.9041650800285006,-1000.0,-250.0,-447.3,1294.3
2017-01-01 02:00:00,-0.14143497049238096,6.74993119378857,0.10456200884478228,-0.17734494725262273,3.9889840465642745,2.9041650800285006,-1000.0,-248.2,-677.4,1625.2
2017-01-01 03:00:00,-0.160273731579903,6.694562058521095,0.10456200884478228,-0.17383870799407752,3.9889840465642745,2.9041650800285006,-1000.0,-250.0,-918.9,1949.8
2017-01-01 04:00:00,-0.10615708867641782,6.61472560020376,0.10456200884478228,-0.17162772759303024,3.9889840465642745,2.9041650800285006,-985.4,-190.6,-821.0,1870.6
2017-01-01 05:00:00,-0.02273412208867498,6.504288173536645,0.10456200884478228,-0.1728725741463899,3.9889840465642745,2.9041650800285006,-681.6,-145.9,-837.2,1559.8
2017-01-01 06:00:00,0.030601176682768294,6.405228458030842,0.10456200884478228,-0.16402429944901353,3.9889840465642745,2.9041650800285006,-446.3,0.0,-396.3,733.9
2017-01-01 07:00:00,0.018188539620125344,6.386879319362645,0.10456200884478228,-0.15767178540721716,3.9889840465642745,2.9041650800285006,-344.8,0.0,-339.0,426.5
2017-01-01 08:00:00,0.003130394235972833,6.313548046277095,0.10456200884478228,-0.17660317486959354,3.9889840465642745,2.9041650800285006,-243.6,0.0,-258.8,69.4
2017-01-01 09:00:00,-0.06502861384586689,6.293419278846481,0.10456200884478228,-0.06579510863206917,3.9889840465642745,2.9041650800285006,-423.2,0.0,-286.8,100.8
2017-01-01 10:00:00,-0.0605573681329763,6.3784261836515865,0.10456200884478228,-0.096267195764149,3.9889840465642745,2.9041650800285006,0.0,6.1,-151.1,-559.3
2017-01-01 11:00:00,-0.053181373989288794,6.4967749901858625,0.10456200884478228,-0.10656283145575607,3.9889840465642745,2.9041650800285006,39.7,200.0,-42.2,-1009.2
2017-01-01 12:00:00,-0.03673855310282903,6.523562306149512,0.10456200884478228,-0.09681995354284201,3.9889840465642745,2.9041650800285006,201.8,200.0,-18.2,-1521.5
2017-01-01 13:00:00,0.0053405944104194525,6.648984550024776,0.10456200884478228,-0.13420484359021057,3.9889840465642745,2.9041650800285006,303.5,200.0,0.0,-1739.6
