timestamp,price_ds,wind_log,hydro_log_ds,consump_log_ds,oil_log,gas_log,netexch_dk1,netexch_fi,netexch_no1,netexch_se2,netexch_se4
2020-01-01 00:00:00,0.4772768833272507,7.317212408359839,0.03380578579341886,-0.009280958889792856,4.120921577072553,2.489064659936664,-715.0,-264.0,-1123.0,2912.6,-3392.2
2020-01-01 01:00:00,0.5677322577818527,7.373374309910049,0.03380578579341886,-0.003971544686002915,4.1205969333661665,2.489064659936664,-715.0,-412.5,-1095.0,2455.5,-3087.0
2020-01-01 02:00:00,0.6708825693738039,7.419380582918692,0.03380578579341886,-0.010216914094653973,4.119947329601605,2.489064659936664,-715.0,-450.9,-968.0,2211.3,-3169.6
2020-01-01 03:00:00,0.6616794208855521,7.471363088187097,0.03380578579341886,-0.024926190609912524,4.120905347390086,2.489064659936664,-715.0,-699.0,-870.0,2041.1,-3055.6
2020-01-01 04:00:00,0.5584312873847317,7.526178913346146,0.03380578579341886,-0.04459804264911149,4.120418334393448,2.489064659936664,-715.0,-834.4,-935.0,2153.9,-3116.1
2020-01-01 05:00:00,0.3344101972281437,7.582738488914411,0.03380578579341886,-0.08811900960156116,4.120418334393448,2.489064659936664,-715.0,-888.4,-968.0,2140.0,-3054.8
2020-01-01 06:00:00,0.15460782015349794,7.627544390488503,0.03380578579341886,-0.18176450917640885,4.120272184232016,2.489064659936664,-715.0,-693.1,-935.0,1789.7,-2847.3
2020-01-01 07:00:00,0.06861011377191062,7.6577552711348655,0.03380578579341886,-0.24899734828919762,4.1194598497004975,2.489064659936664,-715.0,-351.3,-964.0,1724.0,-2883.3
2020-01-01 08:00:00,0.021546958275592054,7.675081857716334,0.03380578579341886,-0.2510904966958929,4.118646854745066,2.489064659936664,-715.0,-186.3,-1145.0,1847.6,-2919.0
2020-01-01 09:00:00,0.11228427136656549,7.692113339595466,0.03380578579341886,-0.23434467651298263,4.1194598497004975,2.489064659936664,-715.0,-181.9,-1125.0,1801.2,-2827.0
2020-01-01 10:00:00,0.15340549413612337,7.699842407396986,0.03380578579341886,-0.216149772732658,4.121067632362855,2.489064659936664,-715.0,0.0,-1202.0,2134.9,-3002.3
2020-01-01 11:00:00,0.2106627826036016,7.700747794511798,0.03380578579341886,-0.19244197094723248,4.122364964905147,2.489064659936664,-715.0,0.0,-1222.0,2517.3,-3209.5
2020-01-01 12:00:00,0.25649640445438493,7.6984827878809465,0.03380578579341886,-0.17628965370138872,4.119118472320748,2.489064659936664,-715.0,0.0,-1082.0,2583.2,-3290.3
2020-01-01 13:00:00,0.2808048969172976,7.698029170272805,0.03380578579341886,-0.1742184185104687,4.1116112971208185,2.489064659936664,-715.0,0.0,-1178.0,2785.7,-3379.3
2020-01-01 14:00:00,0.3086120310273386,7.703459047867175,0.03380578579341886,-0.1529872850048708,4.111283616279024,2.489064659936664,-715.0,0.0,-1197.0,2895.3,-3384.2
2020-01-01 15:00:00,0.3015459854258613,7.708859601047175,0.03380578579341886,-0.13122756908901323,4.108165281239413,2.489064659936664,-715.0,0.0,-1202.0,3431.3,-3612.3
2020-01-01 16:00:00,0.3115855496212805,7.715123603632105,0.03380578579341886,-0.12639364452850899,4.116187590144553,2.489064659936664,-715.0,0.0,-1192.0,4356.2,-4251.6
2020-01-01 17:00:00,0.26433480730806025,7.7226775164680035,0.03380578579341886,-0.14157162239695076,4.121392123320516,2.489064659936664,-715.0,0.0,-1176.0,4385.8,-4284.8
2020-01-01 18:00:00,0.3221261583414239,7.729295674310482,0.03380578579341886,-0.13095921981034842,4.118955870694374,2.489064659936664,-715.0,0.0,-1156.0,4125.1,-4190.6
2020-01-01 19:00:00,0.3641092006779836,7.7336835707759,0.03380578579341886,-0.12345649452116447,4.116692965885862,2.489064659936664,-715.0,0.0,-1162.0,3983.1,-4309.5
2020-01-01 20:00:00,0.3506141536736189,7.734996194022781,0.03380578579341886,-0.11309283493635292,4.1116112971208185,2.489064659936664,-715.0,0.0,-1013.0,3233.8,-3912.1
2020-01-01 21:00:00,0.35854150988389,7.7354333524996886,0.03380578579341886,-0.09862291723208472,4.113248092641333,2.489064659936664,-715.0,-0.1,-1026.0,2647.1,-3663.6
2020-01-01 22:00:00,0.3164234052083139,7.732807530422021,0.03380578579341886,-0.07441053378398443,4.113738609328736,2.489064659936664,-715.0,-164.3,-1024.0,1519.3,-2725.8
2020-01-01 23:00:00,0.3554042158526154,7.728855823852543,0.03380578579341886,-0.05111717843273844,4.113814052083438,2.489064659936664,-715.0,-150.3,-1012.0,1599.6,-3250.8
2020-01-02 00:00:00,-0.5374354802440138,7.720017940432244,0.03380578579341886,-0.04985314534022578,4.11388948914696,2.489064659936664,-715.0,-382.4,-954.0,1328.6,-2960.7
2020-01-02 01:00:00,-0.39510614382481135,7.717796211013582,0.03380578579341886,-0.04881971110321537,4.113964920520161,2.489064659936664,-715.0,-206.4,-1017.0,1027.7,-2921.8
2020-01-02 02:00:00,0.006327500268824338,7.714677473800927,0.03380578579341886,-0.04888717597814818,4.1140403462038995,2.489064659936664,-715.0,-380.4,-1007.0,1083.1,-3067.2
2020-01-02 03:00:00,0.1198748033861956,7.71289096149013,0.03380578579341886,-0.05179761331355692,4.114115766199032,2.489064659936664,-715.0,-394.3,-1011.0,1089.5,-3092.8
2020-01-02 04:00:00,0.17337325416272398,7.711548979629146,0.03380578579341886,-0.059462731998678464,4.1141911805064195,2.489064659936664,-715.0,-454.5,-1124.0,1497.8,-3132.6
2020-01-02 05:00:00,0.11198053458451707,7.7142311448490855,0.03380578579341886,-0.07191980549513133,4.114266589126918,2.489064659936664,-715.0,-360.8,-1277.0,2108.3,-3275.1
2020-01-02 06:00:00,0.05714346380551083,7.7142311448490855,0.03380578579341886,-0.1005939835249805,4.114341992061384,2.489064659936664,-715.0,-210.0,-1695.0,3342.7,-3380.9
2020-01-02 07:00:00,-0.08645252381091506,7.714677473800927,0.03380578579341886,-0.1117692600521174,4.114417389310677,2.489064659936664,-715.0,-507.3,-1695.0,3879.9,-2827.7
2020-01-02 08:00:00,-0.06549192932482928,7.7142311448490855,0.03380578579341886,-0.09617210948844956,4.114492780875652,2.489064659936664,-715.0,-396.1,-1695.0,4322.4,-3114.0
2020-01-02 09:00:00,0.00223530456220411,7.722234744709607,0.03380578579341886,-0.08849621490860926,4.114568166757169,2.489064659936664,-715.0,-108.9,-1695.0,4646.0,-3681.5
2020-01-02 10:00:00,0.015162953277685354,7.730174795246222,0.03380578579341886,-0.0791902314278321,4.114643546956083,2.489064659936664,-715.0,-0.1,-1695.0,4634.3,-3690.8
2020-01-02 11:00:00,0.02861282346135985,7.736743682453495,0.03380578579341886,-0.07605309466394772,4.1147189214732505,2.489064659936664,-715.0,-144.5,-1695.0,4732.8,-3620.8
2020-01-02 12:00:00,0.042736958547787474,7.739794458408701,0.03380578579341886,-0.07333252066977103,4.114794290309528,2.489064659936664,-715.0,-63.8,-1695.0,4684.4,-3650.4
2020-01-02 13:00:00,0.024762105032162474,7.736307096548285,0.03380578579341886,-0.08071043995406058,4.114869653465774,2.489064659936664,-715.0,-82.1,-1695.0,4695.5,-3668.9
