timestamp,price_ds,wind_log,consump_log_ds,north_wind_log,netexch_dk2,netexch_ger,netexch_pl,netexch_se3
2024-01-01 00:00:00,0.16569069922148572,7.365812837209472,-0.030763023475802065,6.62273632394984,1662.0,506.5,600.0,-1669.9
2024-01-01 01:00:00,0.1753917594087504,7.31986492980897,-0.039769124101387554,6.646390514847729,1593.4,506.5,600.0,-1767.4
2024-01-01 02:00:00,0.15408660545362363,7.267525427828172,-0.052301646905587695,6.684611727667927,1587.4,506.5,600.0,-1804.5
2024-01-01 03:00:00,0.149071645681361,7.210079628170788,-0.05979062566676774,6.733401891837359,1667.8,506.5,600.0,-1526.0
2024-01-01 04:00:00,0.11658013424182645,7.150701457592526,-0.08324375919912441,6.792344427470809,1691.8,506.5,600.0,-1498.7
2024-01-01 05:00:00,0.007627695151824376,7.089243155027514,-0.11562799633751553,6.833031732786201,1650.0,506.5,600.0,-1372.1
2024-01-01 06:00:00,-0.16457073526984178,7.037027614686276,-0.2082335863452629,6.858565034791365,1650.0,506.5,600.0,-1245.7
2024-01-01 07:00:00,-0.2901751953035321,6.9975959829819265,-0.28281075413089596,6.883462586413092,1650.0,506.5,600.0,-1165.2
2024-01-01 08:00:00,-0.3860364517500292,6.97354301952014,-0.2944523108534334,6.899723107284872,1650.0,506.5,600.0,-1223.0
2024-01-01 09:00:00,-0.27698807505059353,6.957497370876951,-0.2666928098546766,6.8885724595653635,1575.7,506.5,600.0,-1086.0
2024-01-01 10:00:00,-0.1447501187695579,6.946975992135418,-0.2322075604910676,6.866933284461882,1361.2,506.5,600.0,-716.5
2024-01-01 11:00:00,-0.10286596654856517,6.940222469119639,-0.21634642878827304,6.856461984594587,982.5,506.5,600.0,-241.1
2024-01-01 12:00:00,-0.06478243734172029,6.93828448401696,-0.20667118310686483,6.839476438228843,1023.0,506.5,600.0,-227.2
2024-01-01 13:00:00,-0.053059181245183495,6.945051063725834,-0.1676624289526627,6.823286122355687,499.0,506.5,600.0,289.0
2024-01-01 14:00:00,-0.06257434854857014,6.968850378341948,-0.1648515972431186,6.826545223556594,346.6,506.5,185.5,848.5
2024-01-01 15:00:00,-0.0486930407202788,6.992096427415888,-0.17525580306709365,6.84587987526405,304.3,506.5,-414.5,1550.7
2024-01-01 16:00:00,-0.03325219211983388,7.014814351275545,-0.1261056938310645,6.8501261661455,76.5,506.5,-600.0,2039.7
2024-01-01 17:00:00,-0.056416775470330194,7.038783541388542,-0.1357871633898533,6.86484777797086,-88.0,506.5,-600.0,2214.3
2024-01-01 18:00:00,-0.03837575624652967,7.053585727193677,-0.12471714402637701,6.8679744089702925,-38.7,506.5,-600.0,2101.2
2024-01-01 19:00:00,-0.048447584190531856,7.0707241072602764,-0.12009172205683338,6.86484777797086,-1.6,0.0,-228.5,2107.4
2024-01-01 20:00:00,-0.01569685864656556,7.087573705557973,-0.09275505370419346,6.858565034791365,-13.6,0.0,0.0,1791.4
2024-01-01 21:00:00,0.037269190495425875,7.101675971619444,-0.10421161263620249,6.848005274576363,120.8,98.8,600.0,895.6
2024-01-01 22:00:00,0.14921938478273056,7.1180162044653335,-0.08256929867159624,6.844815479208263,-416.6,-81.0,470.4,1599.7
2024-01-01 23:00:00,0.17133162782414146,7.129297548929373,-0.05919631353072141,6.849066282633458,703.9,506.5,600.0,-317.8
2024-01-02 00:00:00,-0.024029228048911833,7.2640301428995295,-0.11744299205830444,6.862757913051401,1278.5,506.5,600.0,-1073.2
2024-01-02 01:00:00,-0.03471580642854022,7.266827347520591,-0.12290013003151312,6.842683282238422,1163.3,506.5,600.0,-995.2
2024-01-02 02:00:00,-0.04461767295095953,7.273092595999522,-0.11731146135318316,6.835184586147301,1116.8,594.4,600.0,-1017.7
2024-01-02 03:00:00,-0.029710610932825787,7.277938572945661,-0.11870596753493601,6.811244378601294,1112.3,600.2,600.0,-1002.3
2024-01-02 04:00:00,0.007544743216016059,7.288244401020124,-0.11582791130296322,6.814542897259958,1096.2,600.2,445.2,-813.0
2024-01-02 05:00:00,-0.01356907707195365,7.305188215393037,-0.11263164469676568,6.813444599510896,1111.3,600.2,-154.8,-136.3
2024-01-02 06:00:00,-0.09855527927821672,7.327123292259293,-0.11623916870076556,6.824373670043086,1125.3,535.8,-476.4,463.7
2024-01-02 07:00:00,-0.2268561829832736,7.338238150065589,-0.12202664992396173,6.834108738813838,1006.1,0.0,-600.0,1467.9
2024-01-02 08:00:00,-0.252577860485804,7.343426229147367,-0.11160175796726435,6.848005274576363,678.4,0.0,-600.0,1888.4
2024-01-02 09:00:00,-0.19753771959355593,7.3537223303996315,-0.0971435171381696,6.860663671448287,978.5,0.0,-600.0,1606.9
2024-01-02 10:00:00,-0.13523469150077094,7.367077059881012,-0.09788233635917543,6.879355804460439,924.5,0.0,-600.0,1673.5
2024-01-02 11:00:00,-0.06933985394955933,7.37650812632622,-0.0584422341886075,6.907755278982137,600.2,0.0,-600.0,1983.3
2024-01-02 12:00:00,-0.0027939947300259504,7.385851078125209,-0.0624627098791688,6.943122422819428,0.0,0.0,-600.0,2561.6
2024-01-02 13:00:00,-0.004116773850164179,7.400620577371135,-0.03451244587870406,6.974478911025045,-96.5,0.0,-600.0,2678.4
2024-01-02 14:00:00,-0.0415554780995242,7.430707082545968,-0.05684852344384872,7.017506142941256,-84.5,0.0,-600.0,2647.7
2024-01-02 15:00:00,-0.042340063272221506,7.466227556215481,-0.042550965650637096,7.052721049232323,-450.0,0.0,-600.0,3014.3
2024-01-02 16:00:00,-0.13449881590509172,7.5126175446745105,-0.051889614467798495,7.088408778675395,-550.9,-131.6,-600.0,3251.2
2024-01-02 17:00:00,-0.1824450554465331,7.537430036586509,-0.05480474853103878,7.106606137727303,-591.9,0.0,-600.0,3133.9
2024-01-02 18:00:00,-0.1695272030633861,7.553810852008231,-0.03645410852172404,7.1308988302963465,-282.5,0.0,-600.0,2723.8
2024-01-02 19:00:00,-0.1754884769959526,7.566311014772463,-0.05103248317082709,7.144407180321139,650.2,0.0,-600.0,1659.9
2024-01-02 20:00:00,-0.1265926114185021,7.5766097669730375,-0.030420330656683703,7.167809184316444,629.8,0.0,-600.0,1537.7
2024-01-02 21:00:00,-0.11428497363211765,7.585281078639126,-0.03978247409652447,7.1846291527173145,1645.2,263.0,-600.0,136.1
2024-01-02 22:00:00,-0.07063937073834659,7.591357046698551,-0.025876392121933378,7.20414929203594,1650.0,207.0,-47.5,-487.4
2024-01-02 23:00:00,-0.03262214411722031,7.596392304064196,-0.01910836616068856,7.217443431696533,1650.0,506.5,0.0,-1124.6
