zone,start_year,end_year,type,variable,value,se,pval,stars,converged
SE2,2015,2015,fit,N,8736,,,,1
SE2,2015,2015,fit,ll,14817.42251675274,,,,1
SE2,2015,2015,fit,AIC,-29582.84503350547,,,,1
SE2,2015,2015,fit,BIC,-29398.88963335787,,,,1
SE2,2015,2015,lbq_std,L24,342.1455408290157,,4.97225421957e-58,***,1
SE2,2015,2015,lbq_sq,L24,190.5591836802076,,6.93529242639e-28,***,1
SE2,2015,2015,coef,_cons,.2649974469668941,.3589925188526144,.4604112533748106,,1
SE2,2015,2015,coef,wind_log,-.0046010398710497,.0035067653851354,.1895043858119072,,1
SE2,2015,2015,coef,hydro_log_ds,.025304288969914,.0797000819403155,.7508688756705237,,1
SE2,2015,2015,coef,consump_log_ds,.4568225489401422,.0327350534556421,0,***,1
SE2,2015,2015,coef,oil_log,-.0421133182961148,.0588140976581269,.4739658964521167,,1
SE2,2015,2015,coef,gas_log,.0133473255541115,.1157361564560676,.9081871583389645,,1
SE2,2015,2015,coef,netexch_no3,.0000452266380743,5.04108144391e-06,0,***,1
SE2,2015,2015,coef,netexch_no4,.0000397808560124,9.00072742671e-06,9.88206872199e-06,***,1
SE2,2015,2015,coef,netexch_se1,.0000179584648577,3.63088997844e-06,7.57450655309e-07,***,1
SE2,2015,2015,coef,netexch_se3,.0000207341717078,2.32956447914e-06,0,***,1
SE2,2015,2015,coef,ar_L1,.7440657005460463,1.110154982841199,.5027074353958754,,1
SE2,2015,2015,coef,ar_L2,.3160863315554717,1.301225218785002,.808071717028843,,1
SE2,2015,2015,coef,ar_L3,-.1004444665618561,.2226379315029201,.6518770287588289,,1
SE2,2015,2015,coef,ma_L1,.4332661768193239,1.110411652892549,.6963996154255283,,1
SE2,2015,2015,var_coef,omega,-.3005738530088561,1.662296785111514,.856510116282089,,1
SE2,2015,2015,var_coef,arch1,.3704329862469095,.0604401295243243,8.84751383268e-10,***,1
SE2,2015,2015,var_coef,garch1,.4009170569291424,.1097534313797762,.0002593067593017,***,1
SE2,2015,2015,var_coef,het_wind_log,-.1582236386901599,.0492566321603378,.0013170881854974,***,1
SE2,2015,2015,var_coef,het_hydro_log_ds,.2042493452271097,.3332133017777182,.5398969946546988,,1
SE2,2015,2015,var_coef,het_consump_log_ds,-.2668041325453275,.7344977194849572,.7164203408705201,,1
SE2,2015,2015,var_coef,het_oil_log,2.280335776294205,.4723472521642849,1.38141048334e-06,***,1
SE2,2015,2015,var_coef,het_gas_log,-4.717807889904282,.6527410204884595,4.91384710699e-13,***,1
SE2,2015,2015,var_coef,het_netexch_no3,.0011943377946274,.0002187764362917,4.78365109746e-08,***,1
SE2,2015,2015,var_coef,het_netexch_no4,-.0024565545868886,.0008098625785803,.0024189655063767,***,1
SE2,2015,2015,var_coef,het_netexch_se1,-.0000391974010874,.0001010026767046,.6979547636609225,,1
SE2,2015,2015,var_coef,het_netexch_se3,.0002221047762594,.0000523517055702,.0000220993384592,***,1
SE2,2015,2015,var_coef,persistence,.7713500431760518,,,,1
SE2,2016,2016,fit,N,8760,,,,1
SE2,2016,2016,fit,ll,16339.53480704173,,,,1
SE2,2016,2016,fit,AIC,-32627.06961408346,,,,1
SE2,2016,2016,fit,BIC,-32443.04288330127,,,,1
SE2,2016,2016,lbq_std,L24,326.3652537724888,,7.92589772648e-55,***,1
SE2,2016,2016,lbq_sq,L24,135.6820368827485,,1.43778063799e-17,***,1
SE2,2016,2016,coef,_cons,.1697794489841785,.1659334431631977,.3062236914546437,,1
SE2,2016,2016,coef,wind_log,-.0067359586629697,.0024906685358417,.0068411766356222,***,1
SE2,2016,2016,coef,hydro_log_ds,.0271744534196875,.0334863579115158,.4170738963059508,,1
SE2,2016,2016,coef,consump_log_ds,.1177960248411118,.0268981294111642,.0000119039877133,***,1
SE2,2016,2016,coef,oil_log,-.0275031407706335,.0454716980254755,.5452847439603628,,1
SE2,2016,2016,coef,gas_log,.0056726058496359,.046788175051039,.9035008152921793,,1
SE2,2016,2016,coef,netexch_no3,.0000584237855198,4.03903767140e-06,0,***,1
SE2,2016,2016,coef,netexch_no4,.000022647354712,9.39288405896e-06,.0159036886806319,**,1
SE2,2016,2016,coef,netexch_se1,.0000134844664558,2.71398046004e-06,6.74658094502e-07,***,1
SE2,2016,2016,coef,netexch_se3,.0000124592166731,1.61218368869e-06,1.08801856413e-14,***,1
SE2,2016,2016,coef,ar_L1,2.050218684128262,.0288127441342078,0,***,1
SE2,2016,2016,coef,ar_L2,-1.324825732703425,.0359313865368257,0,***,1
SE2,2016,2016,coef,ar_L3,.2687324608537951,.0115887980608131,0,***,1
SE2,2016,2016,coef,ma_L1,-.869628857365038,.0289502045187044,0,***,1
SE2,2016,2016,var_coef,omega,-5.542221020979632,.9789271923139794,1.50033421242e-08,***,1
SE2,2016,2016,var_coef,arch1,.4430745144989301,.0353422587628542,0,***,1
SE2,2016,2016,var_coef,garch1,.1967177143211532,.0281470272097676,2.76978440183e-12,***,1
SE2,2016,2016,var_coef,het_wind_log,.0605321576869934,.0373865396623045,.1054279853440065,,1
SE2,2016,2016,var_coef,het_hydro_log_ds,-.4549345943542922,.2820656901071976,.1067732897340568,,1
SE2,2016,2016,var_coef,het_consump_log_ds,.3159093951026931,.8883988240155868,.722144550238955,,1
SE2,2016,2016,var_coef,het_oil_log,-1.41747919049203,.310181668892536,4.88107276153e-06,***,1
SE2,2016,2016,var_coef,het_gas_log,1.333419623247276,.2597004599630095,2.82966851062e-07,***,1
SE2,2016,2016,var_coef,het_netexch_no3,.0012365268445462,.0001089670506131,0,***,1
SE2,2016,2016,var_coef,het_netexch_no4,-.0041198076496725,.0005025772804222,2.22044604925e-16,***,1
SE2,2016,2016,var_coef,het_netexch_se1,.000274498107914,.000085264370866,.001284697066589,***,1
SE2,2016,2016,var_coef,het_netexch_se3,.000072788920467,.0000296772532,.0141794888399354,**,1
SE2,2016,2016,var_coef,persistence,.6397922288200832,,,,1
SE2,2017,2017,fit,N,8736,,,,1
SE2,2017,2017,fit,ll,15886.60922337286,,,,1
SE2,2017,2017,fit,AIC,-31721.21844674572,,,,1
SE2,2017,2017,fit,BIC,-31537.26304659812,,,,1
SE2,2017,2017,lbq_std,L24,459.4924533639055,,4.13301509605e-82,***,1
SE2,2017,2017,lbq_sq,L24,324.5408200165202,,1.85614898610e-54,***,1
SE2,2017,2017,coef,_cons,.7831061026337154,.3516772653461498,.025962322608619,**,1
SE2,2017,2017,coef,wind_log,-.0100051866325336,.0032867905566519,.0023340882704621,***,1
SE2,2017,2017,coef,hydro_log_ds,.0003449930781703,.0262449708580683,.9895120202264711,,1
SE2,2017,2017,coef,consump_log_ds,-.0270566519467163,.022846536603384,.2363030125483772,,1
SE2,2017,2017,coef,oil_log,-.0982346684228882,.1072661980744254,.3597704134953532,,1
SE2,2017,2017,coef,gas_log,-.0998979447480792,.102127435449322,.327990487600325,,1
SE2,2017,2017,coef,netexch_no3,.0000382765030223,4.45023664448e-06,0,***,1
SE2,2017,2017,coef,netexch_no4,.0000164827497675,.0000131312977847,.2093966363527899,,1
SE2,2017,2017,coef,netexch_se1,.0000174636584263,3.45640654780e-06,4.35955781031e-07,***,1
SE2,2017,2017,coef,netexch_se3,.0000129603935581,2.20703644345e-06,4.29774260624e-09,***,1
SE2,2017,2017,coef,ar_L1,2.067036500456434,.0310627119152233,0,***,1
SE2,2017,2017,coef,ar_L2,-1.341915295513518,.0394681137251866,0,***,1
SE2,2017,2017,coef,ar_L3,.2684814404070011,.0128212029063622,0,***,1
SE2,2017,2017,coef,ma_L1,-.8636860695840025,.0295859389402432,0,***,1
SE2,2017,2017,var_coef,omega,-5.376446371105436,2.184253376821419,.0138373876497673,**,1
SE2,2017,2017,var_coef,arch1,.4226050104775818,.0398446062454232,0,***,1
SE2,2017,2017,var_coef,garch1,.2465109683732616,.0606536617183677,.0000481894593032,***,1
SE2,2017,2017,var_coef,het_wind_log,.0734134293959896,.0411609615052686,.074493669573183,*,1
SE2,2017,2017,var_coef,het_hydro_log_ds,-.0979318468226788,.2546074272067753,.7005051844061161,,1
SE2,2017,2017,var_coef,het_consump_log_ds,2.433609581712766,.7120250954597525,.0006311312445453,***,1
SE2,2017,2017,var_coef,het_oil_log,1.272092818241143,.8191982385316686,.1204587311575238,,1
SE2,2017,2017,var_coef,het_gas_log,-2.390687830428285,.536789509159212,8.44115167742e-06,***,1
SE2,2017,2017,var_coef,het_netexch_no3,.0007730199098252,.0001256958449716,7.75200126313e-10,***,1
SE2,2017,2017,var_coef,het_netexch_no4,-.0032880381938411,.0005108884436182,1.22726051544e-10,***,1
SE2,2017,2017,var_coef,het_netexch_se1,.0002606719726805,.0000955841572658,.0063884723663916,***,1
SE2,2017,2017,var_coef,het_netexch_se3,.000154116655219,.0000444345219514,.0005235691294687,***,1
SE2,2017,2017,var_coef,persistence,.6691159788508434,,,,1
SE2,2018,2018,fit,N,8736,,,,1
SE2,2018,2018,fit,ll,16227.0129561532,,,,1
SE2,2018,2018,fit,AIC,-32402.0259123064,,,,1
SE2,2018,2018,fit,BIC,-32218.0705121588,,,,1
SE2,2018,2018,lbq_std,L24,322.7105894525872,,4.35714249368e-54,***,1
SE2,2018,2018,lbq_sq,L24,359.2729177318446,,1.61933955546e-61,***,1
SE2,2018,2018,coef,_cons,.4504327490879203,.2602329940745656,.0834727140605569,*,1
SE2,2018,2018,coef,wind_log,-.0067795966325953,.0020320238669243,.0008487813723765,***,1
SE2,2018,2018,coef,hydro_log_ds,-.2144401433341125,.0595635854011218,.0003179864041187,***,1
SE2,2018,2018,coef,consump_log_ds,.2604402357454805,.0298289546454368,0,***,1
SE2,2018,2018,coef,oil_log,-.0470916094349981,.0424340942056044,.2671029777182858,,1
SE2,2018,2018,coef,gas_log,-.0603757113327776,.0538977190723669,.2626326036036204,,1
SE2,2018,2018,coef,netexch_no3,.0000185587011078,3.26622441902e-06,1.33125332979e-08,***,1
SE2,2018,2018,coef,netexch_no4,-2.08628749589e-06,7.72827175230e-06,.7871946848100921,,1
SE2,2018,2018,coef,netexch_se1,.0000206814436348,3.03024564998e-06,8.79207817661e-12,***,1
SE2,2018,2018,coef,netexch_se3,8.95751125086e-06,1.94880155735e-06,4.29811047420e-06,***,1
SE2,2018,2018,coef,ar_L1,2.089254417369086,.0229299526841811,0,***,1
SE2,2018,2018,coef,ar_L2,-1.405320737465939,.0305978989106082,0,***,1
SE2,2018,2018,coef,ar_L3,.3094845794246876,.0115824977386331,0,***,1
SE2,2018,2018,coef,ma_L1,-.8639157517206016,.0206433698550145,0,***,1
SE2,2018,2018,var_coef,omega,-13.8674497778305,2.76733601528678,5.41144675958e-07,***,1
SE2,2018,2018,var_coef,arch1,.5551600270104617,.0429364818559914,0,***,1
SE2,2018,2018,var_coef,garch1,.3223888926033268,.031178452442945,0,***,1
SE2,2018,2018,var_coef,het_wind_log,-.0267047705633512,.0420969298102375,.525843394395022,,1
SE2,2018,2018,var_coef,het_hydro_log_ds,-.3285560628171084,.483935188242434,.4971849062733797,,1
SE2,2018,2018,var_coef,het_consump_log_ds,1.075033311915575,.6089105982301989,.0774793150163269,*,1
SE2,2018,2018,var_coef,het_oil_log,1.914522165928027,.5048884494495696,.0001494565998064,***,1
SE2,2018,2018,var_coef,het_gas_log,-.7465313466329612,.4089512087060184,.0679289605584195,*,1
SE2,2018,2018,var_coef,het_netexch_no3,.0001796842927759,.0001840471042208,.3289182292812836,,1
SE2,2018,2018,var_coef,het_netexch_no4,-.0055338799943129,.0005789929533169,0,***,1
SE2,2018,2018,var_coef,het_netexch_se1,-.0000144850861809,.000118773724549,.9029344128928156,,1
SE2,2018,2018,var_coef,het_netexch_se3,-.0002037499724818,.0000511363781453,.0000676386533913,***,1
SE2,2018,2018,var_coef,persistence,.8775489196137884,,,,1
SE2,2019,2019,fit,N,8736,,,,1
SE2,2019,2019,fit,ll,13073.53360735219,,,,1
SE2,2019,2019,fit,AIC,-26095.06721470438,,,,1
SE2,2019,2019,fit,BIC,-25911.11181455678,,,,1
SE2,2019,2019,lbq_std,L24,541.0327076853804,,4.86599602927e-99,***,1
