timestamp,price_ds,wind_log,consump_log_ds,occurrence,zone,is_se2,post_fbmc,se2_post,wind_se2,wind_post_fbmc,wind_se2_post_fbmc
2024-01-01 00:00:00,0.07147468501762777,4.23410650459726,0.023997461261465958,0,SE1,0,0,0,0.0,0.0,0.0
2024-01-01 00:00:00,0.08860824596610684,6.52649485957079,0.09015522658975694,0,SE2,1,0,0,6.52649485957079,0.0,0.0
2024-01-01 01:00:00,0.07340501258267285,4.1588830833596715,0.035266600493501166,0,SE1,0,0,0,0.0,0.0,0.0
2024-01-01 01:00:00,0.10019469959942295,6.559615237493242,0.09908277202619153,0,SE2,1,0,0,6.559615237493242,0.0,0.0
2024-01-01 02:00:00,0.051307422624002896,4.174387269895637,0.03297684701996406,0,SE1,0,0,0,0.0,0.0,0.0
2024-01-01 02:00:00,0.06897896214820243,6.5998704992128365,0.08637750222157958,0,SE2,1,0,0,6.5998704992128365,0.0,0.0
2024-01-01 03:00:00,0.03441312621451598,4.219507705176107,0.029304698482446767,0,SE1,0,0,0,0.0,0.0,0.0
2024-01-01 03:00:00,0.04780303741011949,6.648984550024776,0.08354167266137047,0,SE2,1,0,0,6.648984550024776,0.0,0.0
2024-01-01 04:00:00,0.021338028271594034,4.23410650459726,0.019189100590520702,0,SE1,0,0,0,0.0,0.0,0.0
2024-01-01 04:00:00,0.031285332351810524,6.71174039505618,0.08027207924794677,0,SE2,1,0,0,6.71174039505618,0.0,0.0
2024-01-01 05:00:00,-0.04255988092332963,4.204692619390966,0.0021987516579153876,0,SE1,0,0,0,0.0,0.0,0.0
2024-01-01 05:00:00,-0.04407941257010073,6.7580945044277305,0.053077379767495714,0,SE2,1,0,0,6.7580945044277305,0.0,0.0
2024-01-01 06:00:00,-0.05807934915158075,4.189654742026425,-0.017307607458896257,0,SE1,0,0,0,0.0,0.0,0.0
2024-01-01 06:00:00,-0.06749320554059501,6.786716950605081,-0.00883596546235399,0,SE2,1,0,0,6.786716950605081,0.0,0.0
2024-01-01 07:00:00,-0.08586565845169414,4.174387269895637,-0.019283747479450497,0,SE1,0,0,0,0.0,0.0,0.0
2024-01-01 07:00:00,-0.09615381028864078,6.814542897259958,-0.04135117102851282,0,SE2,1,0,0,6.814542897259958,0.0,0.0
2024-01-01 08:00:00,-0.12404950422788374,4.189654742026425,-0.01838769562081488,0,SE1,0,0,0,0.0,0.0,0.0
2024-01-01 08:00:00,-0.1354659944695129,6.8308742346461795,-0.03730469822988347,0,SE2,1,0,0,6.8308742346461795,0.0,0.0
2024-01-01 09:00:00,-0.07355183184045444,4.189654742026425,-0.013857904586274117,0,SE1,0,0,0,0.0,0.0,0.0
2024-01-01 09:00:00,-0.08134162900054598,6.818924065275521,-0.026427318158061652,0,SE2,1,0,0,6.818924065275521,0.0,0.0
2024-01-01 10:00:00,0.009114769121525867,4.174387269895637,-0.005215824704289496,0,SE1,0,0,0,0.0,0.0,0.0
2024-01-01 10:00:00,0.01023165442892715,6.796823718274855,-0.011347755813612359,0,SE2,1,0,0,6.796823718274855,0.0,0.0
2024-01-01 11:00:00,0.013620344578275656,4.174387269895637,0.0077247681631575915,0,SE1,0,0,0,0.0,0.0,0.0
2024-01-01 11:00:00,0.009101280282732382,6.785587645007929,-0.016623164474258267,0,SE2,1,0,0,6.785587645007929,0.0,0.0
2024-01-01 12:00:00,0.012551203841780989,4.204692619390966,0.0005918079728806092,0,SE1,0,0,0,0.0,0.0,0.0
2024-01-01 12:00:00,0.02429042701277062,6.7650389767805414,0.015907646430017408,0,SE2,1,0,0,6.7650389767805414,0.0,0.0
2024-01-01 13:00:00,0.04085930076129074,4.30406509320417,0.009549730451017702,0,SE1,0,0,0,0.0,0.0,0.0
2024-01-01 13:00:00,0.032632430820489056,6.739336627357174,-0.0054661818895720415,0,SE2,1,0,0,6.739336627357174,0.0,0.0
2024-01-01 14:00:00,0.049106215977145595,4.382026634673881,0.021703894128513035,0,SE1,0,0,0,0.0,0.0,0.0
2024-01-01 14:00:00,0.049087722501477415,6.7357800142423265,0.02469386836621723,0,SE2,1,0,0,6.7357800142423265,0.0,0.0
