timestamp,zone,d_post_act,wind_post_act,price_ds,wind_log,consump_log_ds,netexch_fi,netexch_no4,netexch_se2
2025-06-22 00:00:00,SE1,1,5.7899601708972535,0.0030733537444929127,5.7899601708972535,-0.006329528344737767,270.0,0.0,-900.1
2025-06-22 01:00:00,SE1,1,5.8522024797744745,0.030364197704066065,5.8522024797744745,0.006362726710292144,270.0,0.0,-955.7
2025-06-22 02:00:00,SE1,1,5.840641657373398,0.026939942782955306,5.840641657373398,-0.00630018509273178,-106.1,0.0,-686.0
2025-06-22 03:00:00,SE1,1,5.7745515455444085,0.036611262928439636,5.7745515455444085,-0.005929984294200885,-190.0,-51.8,-782.9
2025-06-22 04:00:00,SE1,1,5.5093883366279774,0.048044831410254396,5.5093883366279774,-0.007771010648483845,30.0,-65.8,-1302.9
2025-06-22 05:00:00,SE1,1,5.135798437050262,0.05266173135641328,5.135798437050262,-0.007243195689849102,-190.0,-24.7,-1159.5
2025-06-22 06:00:00,SE1,1,4.343805421853684,0.05245462260041034,4.343805421853684,-0.005653514718115815,-192.0,-67.2,-1177.7
2025-06-22 07:00:00,SE1,1,3.4965075614664802,0.04694680009431362,3.4965075614664802,-0.00617563843380875,-191.0,-110.4,-997.1
2025-06-22 08:00:00,SE1,1,3.58351893845611,0.016323128925971098,3.58351893845611,-0.01649851782531897,-96.9,0.0,-388.8
2025-06-22 09:00:00,SE1,1,3.4657359027997265,-0.014379747339599014,3.4657359027997265,-0.01139930366878783,-25.1,-327.3,-83.3
2025-06-22 10:00:00,SE1,1,3.332204510175204,-0.05239887433565471,3.332204510175204,-0.027204204044894098,-190.0,-119.2,0.0
2025-06-22 11:00:00,SE1,1,3.4339872044851463,-0.06830323474912259,3.4339872044851463,-0.017942119083956598,-190.0,-20.2,0.0
2025-06-22 12:00:00,SE1,1,3.6109179126442243,-0.035711230946207095,3.6109179126442243,-0.028034061457776538,-110.8,-75.3,0.0
2025-06-22 13:00:00,SE1,1,3.7612001156935624,0.0009422188452363756,3.7612001156935624,-0.011551338362471242,-112.6,-81.3,0.0
2025-06-22 14:00:00,SE1,1,3.871201010907891,-0.04123389710341385,3.871201010907891,-0.020882087874189992,-192.0,0.0,42.0
2025-06-22 15:00:00,SE1,1,3.8918202981106265,-0.05914994023262121,3.8918202981106265,0.0030356805466498216,-190.0,0.0,10.3
2025-06-22 16:00:00,SE1,1,3.9318256327243257,-0.021238974802784583,3.9318256327243257,-0.01768501228011754,-190.0,0.0,-109.6
2025-06-22 17:00:00,SE1,1,4.727387818712341,-0.014758277146210474,4.727387818712341,-0.014715251690196496,-190.0,0.0,-243.6
2025-06-22 18:00:00,SE1,1,5.14166355650266,-0.05310087789677187,5.14166355650266,-0.0348560183572415,-190.0,-45.2,-789.4
2025-06-22 19:00:00,SE1,1,5.3706380281276624,-0.0640580535892159,5.3706380281276624,-0.015409526592540246,-190.0,0.0,-554.7
2025-06-22 20:00:00,SE1,1,5.602118820879701,-0.040183329433352455,5.602118820879701,-0.022617248807862644,-190.0,0.0,-573.0
2025-06-22 21:00:00,SE1,1,5.988961416889864,-0.05712817861112196,5.988961416889864,-0.015033630643800144,-190.0,0.0,-500.1
2025-06-22 22:00:00,SE1,1,6.511745329644728,-0.034197803797796134,6.511745329644728,-0.011837516785982771,-190.0,0.0,-885.0
2025-06-22 23:00:00,SE1,1,6.673297967767654,-0.054305859944741464,6.673297967767654,-0.0069347237022832076,-190.0,0.0,-825.8
2025-06-23 00:00:00,SE1,1,6.670766320845874,-0.046719802496670404,6.670766320845874,-0.004579297184856834,-199.0,0.0,-915.9
2025-06-23 01:00:00,SE1,1,6.664409020350408,-0.0555962099063354,6.664409020350408,0.008785869698003879,5.3,-9.5,-1027.5
2025-06-23 02:00:00,SE1,1,6.646390514847729,-0.07142535398544059,6.646390514847729,-0.0047332186095623285,-78.0,0.0,-964.0
2025-06-23 03:00:00,SE1,1,6.51471269087253,-0.06516517764917928,6.51471269087253,-0.006582054384753455,270.0,-243.0,-971.0
2025-06-23 04:00:00,SE1,1,6.386879319362645,-0.07220901615015585,6.386879319362645,-0.006994599464388962,270.0,-226.0,-931.1
2025-06-23 05:00:00,SE1,1,6.3080984415095305,-0.08494707147449532,6.3080984415095305,-0.008409777513797678,270.0,-214.4,-899.1
2025-06-23 06:00:00,SE1,1,6.375024819828097,-0.09129793300550748,6.375024819828097,-0.004862231836192166,270.0,0.0,-1038.1
2025-06-23 07:00:00,SE1,1,6.39024066706535,-0.11720960880566267,6.39024066706535,-0.006573395166387996,-190.0,0.0,-689.7
2025-06-23 08:00:00,SE1,1,6.473890696352274,-0.14262943420550478,6.473890696352274,-0.003719347931011363,-21.9,0.0,-843.8
2025-06-23 09:00:00,SE1,1,6.493753839851686,-0.12748399141706468,6.493753839851686,-0.004375483319181583,-190.0,-88.0,-607.5
2025-06-23 10:00:00,SE1,1,6.428105272684596,-0.131983141206665,6.428105272684596,-0.015566056401628003,270.0,-140.9,-882.3
2025-06-23 11:00:00,SE1,1,6.625392368007956,-0.1122427691166088,6.625392368007956,0.001724058954817309,270.0,-367.1,-837.0
2025-06-23 12:00:00,SE1,1,6.748759547491679,-0.1031259244502456,6.748759547491679,-0.008001497864553286,-67.8,-254.1,-666.9
2025-06-23 13:00:00,SE1,1,6.799055862058796,-0.10339209982666553,6.799055862058796,-0.022280996279972598,270.0,0.0,-1415.6
2025-06-23 14:00:00,SE1,1,6.824373670043086,-0.09003098228845019,6.824373670043086,-0.009004243361975917,83.0,-568.2,-753.4
2025-06-23 15:00:00,SE1,1,6.775366090936392,-0.11699440452511567,6.775366090936392,-0.010598006832007734,270.0,-555.8,-897.3
2025-06-23 16:00:00,SE1,1,6.732210706467206,-0.11781180442790351,6.732210706467206,-0.006196661179438401,-190.0,-348.5,-504.7
2025-06-23 17:00:00,SE1,1,6.728628613084702,-0.14402631432674617,6.728628613084702,0.007090981402324559,270.0,0.0,-1277.9
2025-06-23 18:00:00,SE1,1,6.656726524178391,-0.16257192001021004,6.656726524178391,-0.006451137391199957,0.0,0.0,-1035.3
2025-06-23 19:00:00,SE1,1,6.684611727667927,-0.13942357834624808,6.684611727667927,0.005814095822115561,270.0,-208.6,-1509.5
2025-06-23 20:00:00,SE1,1,6.519147287940395,-0.1414164053454785,6.519147287940395,-0.00264315206920962,270.0,-133.2,-1277.6
2025-06-23 21:00:00,SE1,1,6.327936783729195,-0.11812238512500972,6.327936783729195,0.0009633344718196213,-200.0,-59.4,-834.4
2025-06-23 22:00:00,SE1,1,5.926926025970411,-0.09338182337875,5.926926025970411,-0.01474199287001543,-124.7,0.0,-580.3
2025-06-23 23:00:00,SE1,1,5.645446897643238,-0.109312283825175,5.645446897643238,-0.0030154338175387707,270.0,0.0,-677.9
2025-06-24 00:00:00,SE1,1,4.867534450455582,-0.07883250219410076,4.867534450455582,0.0013022015618195937,-190.0,0.0,-132.7
2025-06-24 01:00:00,SE1,1,4.634728988229636,-0.055546325819004316,4.634728988229636,0.00983329690331658,-190.0,0.0,-131.7
