timestamp,zone,price_ds,wind_log,consump_log_ds,net_exchange,d_post_act,wind_post_act
2024-01-01 00:00:00,SE1,0.07147468501762777,4.23410650459726,0.023997461261465958,-756.1,0,0.0
2024-01-01 01:00:00,SE1,0.07340501258267285,4.1588830833596715,0.035266600493501166,-732.6,0,0.0
2024-01-01 02:00:00,SE1,0.051307422624002896,4.174387269895637,0.03297684701996406,-686.2,0,0.0
2024-01-01 03:00:00,SE1,0.03441312621451598,4.219507705176107,0.029304698482446767,-590.0,0,0.0
2024-01-01 04:00:00,SE1,0.021338028271594034,4.23410650459726,0.019189100590520702,-558.5,0,0.0
2024-01-01 05:00:00,SE1,-0.04255988092332963,4.204692619390966,0.0021987516579153876,-358.5,0,0.0
2024-01-01 06:00:00,SE1,-0.05807934915158075,4.189654742026425,-0.017307607458896257,-462.4,0,0.0
2024-01-01 07:00:00,SE1,-0.08586565845169414,4.174387269895637,-0.019283747479450497,-531.5,0,0.0
2024-01-01 08:00:00,SE1,-0.12404950422788374,4.189654742026425,-0.01838769562081488,-620.0,0,0.0
2024-01-01 09:00:00,SE1,-0.07355183184045444,4.189654742026425,-0.013857904586274117,-790.3,0,0.0
2024-01-01 10:00:00,SE1,0.009114769121525867,4.174387269895637,-0.005215824704289496,-1222.0,0,0.0
2024-01-01 11:00:00,SE1,0.013620344578275656,4.174387269895637,0.0077247681631575915,-1754.8,0,0.0
2024-01-01 12:00:00,SE1,0.012551203841780989,4.204692619390966,0.0005918079728806092,-1629.8,0,0.0
2024-01-01 13:00:00,SE1,0.04085930076129074,4.30406509320417,0.009549730451017702,-1950.8,0,0.0
2024-01-01 14:00:00,SE1,0.049106215977145595,4.382026634673881,0.021703894128513035,-2169.7,0,0.0
2024-01-01 15:00:00,SE1,0.09517685949354338,4.454347296253507,0.021714416338925346,-2340.4,0,0.0
2024-01-01 16:00:00,SE1,0.15206495021995092,4.51085950651685,0.026961323499921974,-2455.7,0,0.0
2024-01-01 17:00:00,SE1,0.1838284092945921,4.804021044733257,0.03261337988150537,-2469.3,0,0.0
2024-01-01 18:00:00,SE1,0.165269542744082,4.875197323201151,0.013285224216710745,-2468.0,0,0.0
2024-01-01 19:00:00,SE1,0.14497334361719805,4.927253685157205,0.030178912451535034,-2440.1,0,0.0
