timestamp,zone,d_post_act,wind_post_act,price_ds,wind_log,consump_log_ds,net_exchange
2024-01-01 00:00:00,SE3,0,0.0,0.19331865173544127,7.795234929002173,0.02617246416009955,-128.6
2024-01-01 01:00:00,SE3,0,0.0,0.21124273816325445,7.812782818577581,0.033528602763240656,-264.8
2024-01-01 02:00:00,SE3,0,0.0,0.18873976926672142,7.825644732219989,0.015300764857737903,-403.9
2024-01-01 03:00:00,SE3,0,0.0,0.18093817314191973,7.835974581721566,0.016243225634758218,-530.6
2024-01-01 04:00:00,SE3,0,0.0,0.15143237756847405,7.844632644464681,0.003024042492501877,-576.5
2024-01-01 05:00:00,SE3,0,0.0,0.04971379658699249,7.852050207265889,-0.03674344383023076,-602.2
2024-01-01 06:00:00,SE3,0,0.0,-0.09108204594404867,7.854381210652365,-0.10413806721075147,-545.9
2024-01-01 07:00:00,SE3,0,0.0,-0.23995425194941866,7.8547691834991324,-0.15979039751807456,-422.0
2024-01-01 08:00:00,SE3,0,0.0,-0.33604057553458766,7.848933726364071,-0.15084329291670784,-259.1
2024-01-01 09:00:00,SE3,0,0.0,-0.22844178379608948,7.8383433155571165,-0.12175296622804055,-41.6
2024-01-01 10:00:00,SE3,0,0.0,-0.09876730407755385,7.825644732219989,-0.08311129587729127,213.4
2024-01-01 11:00:00,SE3,0,0.0,-0.06735068115343612,7.813591552952433,-0.10136184221276068,460.1
2024-01-01 12:00:00,SE3,0,0.0,-0.02931912719683538,7.804251383528112,-0.07352437007229895,681.6
2024-01-01 13:00:00,SE3,0,0.0,-0.020023449072710697,7.801800401908973,-0.06437740174368223,722.3
2024-01-01 14:00:00,SE3,0,0.0,-0.016744121747191087,7.80994708647679,-0.03528589476954913,760.2
2024-01-01 15:00:00,SE3,0,0.0,-0.01614368244917319,7.822444729489319,-0.03979409110499077,921.4
2024-01-01 16:00:00,SE3,0,0.0,0.006505036634670169,7.830822995135316,-0.04301345983571636,1043.4
2024-01-01 17:00:00,SE3,0,0.0,-2.7466637701145658e-05,7.83241092718792,-0.05135951366928282,1108.1
2024-01-01 18:00:00,SE3,0,0.0,0.011828020969888442,7.829630389150193,-0.07690573248114418,1048.5
2024-01-01 19:00:00,SE3,0,0.0,0.013099195345222192,7.823245690685523,-0.03634516799009724,859.6
2024-01-01 20:00:00,SE3,0,0.0,0.05126679100637599,7.8160138391590275,-0.022142804871812416,634.4
2024-01-01 21:00:00,SE3,0,0.0,0.08920293292180492,7.806696372521179,-0.02179288369464416,515.8
2024-01-01 22:00:00,SE3,0,0.0,0.1877253928341096,7.798112628829788,-0.0038328790328687745,286.3
2024-01-01 23:00:00,SE3,0,0.0,0.19932814490872364,7.791522819150732,0.022758949705254494,92.5
2024-01-02 00:00:00,SE3,0,0.0,0.037647035107644555,7.769378609513984,-0.033262668431074616,432.8
2024-01-02 01:00:00,SE3,0,0.0,0.03120216232145978,7.771067086065406,-0.0160668615518329,364.9
2024-01-02 02:00:00,SE3,0,0.0,0.01580713173654047,7.773594467360194,-0.023691825082917006,321.4
2024-01-02 03:00:00,SE3,0,0.0,0.03452507632303359,7.773594467360194,-0.019721208530910417,358.9
2024-01-02 04:00:00,SE3,0,0.0,0.06205342928168989,7.767687277186908,-0.017056693413447732,376.9
2024-01-02 05:00:00,SE3,0,0.0,0.04648665565509713,7.7664168980196555,-0.030807543602206167,677.9
2024-01-02 06:00:00,SE3,0,0.0,-0.028080177807269457,7.765569081097317,-0.05209075662226681,1433.9
2024-01-02 07:00:00,SE3,0,0.0,-0.1478766907957736,7.763446388727362,-0.061677558646552555,1988.6
2024-01-02 08:00:00,SE3,0,0.0,-0.1769400431029915,7.757478766584179,-0.04516851065115368,2283.2
2024-01-02 09:00:00,SE3,0,0.0,-0.13293200670293093,7.752764808851328,-0.028164070729999935,2424.6
2024-01-02 10:00:00,SE3,0,0.0,-0.07795319736014594,7.748460023899697,-0.018085032839579185,2524.3
2024-01-02 11:00:00,SE3,0,0.0,-0.010135752387059327,7.742402021815782,-0.02204959083726088,2538.8
2024-01-02 12:00:00,SE3,0,0.0,0.05092171114155608,7.741533589281828,0.0007512555914992447,2597.6
2024-01-02 13:00:00,SE3,0,0.0,0.06518864607171082,7.7475968386928855,0.011410354132582512,2513.8
2024-01-02 14:00:00,SE3,0,0.0,0.0338839750254758,7.776535028185241,0.008651923498629088,2493.8
2024-01-02 15:00:00,SE3,0,0.0,0.03315088826586443,7.806289289267033,0.017866831188637633,2558.5
2024-01-02 16:00:00,SE3,0,0.0,-0.03534720457696672,7.8336002236611035,0.005055857397715968,2567.8
